alpha,gk_gamma,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std,run_time
0.01,0.001,0.65,0.0823,0.6493,0.0825,0.6987,0.077,2515.7012
0.01,0.001129,0.6565,0.0779,0.6558,0.0782,0.7,0.0758,2515.7012
0.01,0.001274,0.663,0.0789,0.6624,0.079,0.7007,0.0742,2515.7012
0.01,0.001438,0.6674,0.0664,0.6669,0.0666,0.6992,0.0719,2515.7012
0.01,0.001624,0.6761,0.0527,0.6754,0.0531,0.6999,0.0715,2515.7012
0.01,0.001833,0.6739,0.0502,0.6733,0.0506,0.6972,0.0704,2515.7012
0.01,0.002069,0.6739,0.0502,0.6733,0.0506,0.6972,0.0699,2515.7012
0.01,0.002336,0.6674,0.0513,0.6666,0.0517,0.695,0.0701,2515.7012
0.01,0.002637,0.663,0.0473,0.6622,0.0475,0.6924,0.0702,2515.7012
0.01,0.002976,0.6587,0.0481,0.6576,0.0486,0.6901,0.0714,2515.7012
0.01,0.00336,0.6565,0.0456,0.6553,0.046,0.6899,0.0714,2515.7012
0.01,0.003793,0.6587,0.0447,0.6574,0.0452,0.6905,0.0707,2515.7012
0.01,0.004281,0.6587,0.0447,0.6574,0.0452,0.6905,0.0707,2515.7012
0.01,0.004833,0.6587,0.0447,0.6574,0.0452,0.6912,0.0711,2515.7012
0.01,0.005456,0.6587,0.0447,0.6574,0.0452,0.6914,0.0711,2515.7012
0.01,0.006158,0.6587,0.0447,0.6574,0.0452,0.6914,0.0711,2515.7012
0.01,0.006952,0.6587,0.0447,0.6574,0.0452,0.6914,0.0711,2515.7012
0.01,0.007848,0.6587,0.0447,0.6574,0.0452,0.6914,0.0711,2515.7012
0.01,0.008859,0.6587,0.0447,0.6574,0.0452,0.6914,0.0711,2515.7012
0.01,0.01,0.6587,0.0447,0.6574,0.0452,0.6914,0.0711,2515.7012
0.013895,0.001,0.6457,0.0845,0.6449,0.0849,0.7006,0.0767,2515.7012
0.013895,0.001129,0.6522,0.08,0.6514,0.0804,0.7022,0.0768,2515.7012
0.013895,0.001274,0.6544,0.0784,0.6537,0.0785,0.7013,0.0756,2515.7012
0.013895,0.001438,0.663,0.0789,0.6624,0.079,0.7008,0.0755,2515.7012
0.013895,0.001624,0.663,0.0762,0.6625,0.0762,0.6997,0.0735,2515.7012
0.013895,0.001833,0.6761,0.0527,0.6754,0.0531,0.6994,0.0718,2515.7012
0.013895,0.002069,0.6739,0.0502,0.6733,0.0506,0.6977,0.0707,2515.7012
0.013895,0.002336,0.6717,0.0486,0.6711,0.0489,0.6965,0.07,2515.7012
0.013895,0.002637,0.6652,0.0483,0.6644,0.0486,0.6941,0.071,2515.7012
0.013895,0.002976,0.663,0.0473,0.6622,0.0475,0.692,0.0702,2515.7012
0.013895,0.00336,0.6587,0.0435,0.6577,0.0437,0.6911,0.0709,2515.7012
0.013895,0.003793,0.6565,0.0456,0.6553,0.046,0.6894,0.071,2515.7012
0.013895,0.004281,0.6587,0.0447,0.6574,0.0452,0.6905,0.0707,2515.7012
0.013895,0.004833,0.6587,0.0447,0.6574,0.0452,0.6905,0.0707,2515.7012
0.013895,0.005456,0.6587,0.0447,0.6574,0.0452,0.6902,0.0712,2515.7012
0.013895,0.006158,0.6587,0.0447,0.6574,0.0452,0.6906,0.0711,2515.7012
0.013895,0.006952,0.6587,0.0447,0.6574,0.0452,0.6914,0.0711,2515.7012
0.013895,0.007848,0.6587,0.0447,0.6574,0.0452,0.6914,0.0711,2515.7012
0.013895,0.008859,0.6587,0.0447,0.6574,0.0452,0.6914,0.0711,2515.7012
0.013895,0.01,0.6587,0.0447,0.6574,0.0452,0.6914,0.0711,2515.7012
0.019307,0.001,0.6522,0.0833,0.6516,0.0834,0.7028,0.0778,2515.7012
0.019307,0.001129,0.6544,0.081,0.6538,0.0811,0.7037,0.0771,2515.7012
0.019307,0.001274,0.6522,0.0807,0.6513,0.0809,0.7023,0.0763,2515.7012
0.019307,0.001438,0.6565,0.0779,0.6557,0.078,0.7034,0.0758,2515.7012
0.019307,0.001624,0.6652,0.0789,0.6645,0.0789,0.7034,0.076,2515.7012
0.019307,0.001833,0.6652,0.0775,0.6647,0.0776,0.7008,0.0733,2515.7012
0.019307,0.002069,0.6782,0.054,0.6776,0.0544,0.701,0.0712,2515.7012
0.019307,0.002336,0.6739,0.0502,0.6733,0.0506,0.6967,0.0703,2515.7012
0.019307,0.002637,0.6696,0.0489,0.6689,0.0492,0.6966,0.0695,2515.7012
0.019307,0.002976,0.6652,0.0437,0.6642,0.0441,0.6946,0.0692,2515.7012
0.019307,0.00336,0.6609,0.0461,0.66,0.0463,0.692,0.0706,2515.7012
0.019307,0.003793,0.6565,0.0456,0.6553,0.046,0.6901,0.0706,2515.7012
0.019307,0.004281,0.6565,0.0456,0.6553,0.046,0.6896,0.0698,2515.7012
0.019307,0.004833,0.6587,0.0447,0.6574,0.0452,0.6903,0.0697,2515.7012
0.019307,0.005456,0.6587,0.0447,0.6574,0.0452,0.6903,0.0697,2515.7012
