alpha,gk_gamma,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std,run_time
0.01,0.0001,0.8754,0.032,0.8648,0.0384,0.8755,0.0425,23.7358
0.01,0.000127,0.8754,0.032,0.8648,0.0384,0.8755,0.0425,23.7358
0.01,0.000162,0.8754,0.032,0.8648,0.0384,0.8755,0.0425,23.7358
0.01,0.000207,0.8754,0.032,0.8648,0.0384,0.8755,0.0425,23.7358
0.01,0.000264,0.8754,0.032,0.8648,0.0384,0.8755,0.0425,23.7358
0.01,0.000336,0.8754,0.032,0.8648,0.0384,0.8756,0.0424,23.7358
0.01,0.000428,0.8754,0.032,0.8648,0.0384,0.8756,0.0424,23.7358
0.01,0.000546,0.8754,0.032,0.8648,0.0384,0.8756,0.0424,23.7358
0.01,0.000695,0.8754,0.032,0.8648,0.0384,0.8758,0.0421,23.7358
0.01,0.000886,0.8754,0.032,0.8648,0.0384,0.8758,0.0421,23.7358
0.01,0.001129,0.8754,0.032,0.8648,0.0384,0.8758,0.0421,23.7358
0.01,0.001438,0.8754,0.032,0.8648,0.0384,0.8758,0.0421,23.7358
0.01,0.001833,0.8754,0.032,0.8648,0.0384,0.8758,0.0421,23.7358
0.01,0.002336,0.8754,0.032,0.8648,0.0384,0.876,0.0421,23.7358
0.01,0.002976,0.8754,0.032,0.8648,0.0384,0.876,0.0421,23.7358
0.01,0.003793,0.8754,0.032,0.8648,0.0384,0.876,0.0421,23.7358
0.01,0.004833,0.8754,0.032,0.8648,0.0384,0.8764,0.0419,23.7358
0.01,0.006158,0.8754,0.032,0.8648,0.0384,0.8766,0.0416,23.7358
0.01,0.007848,0.8754,0.032,0.8648,0.0384,0.8766,0.0416,23.7358
0.01,0.01,0.8754,0.032,0.8648,0.0384,0.8764,0.0419,23.7358
0.013895,0.0001,0.8754,0.032,0.8648,0.0384,0.8755,0.0425,23.7358
0.013895,0.000127,0.8754,0.032,0.8648,0.0384,0.8755,0.0425,23.7358
0.013895,0.000162,0.8754,0.032,0.8648,0.0384,0.8755,0.0425,23.7358
0.013895,0.000207,0.8754,0.032,0.8648,0.0384,0.8756,0.0424,23.7358
0.013895,0.000264,0.8754,0.032,0.8648,0.0384,0.8756,0.0424,23.7358
0.013895,0.000336,0.8754,0.032,0.8648,0.0384,0.8756,0.0424,23.7358
0.013895,0.000428,0.8754,0.032,0.8648,0.0384,0.8756,0.0424,23.7358
0.013895,0.000546,0.8754,0.032,0.8648,0.0384,0.8758,0.0421,23.7358
0.013895,0.000695,0.8754,0.032,0.8648,0.0384,0.8758,0.0421,23.7358
0.013895,0.000886,0.8754,0.032,0.8648,0.0384,0.8758,0.0421,23.7358
0.013895,0.001129,0.8754,0.032,0.8648,0.0384,0.8758,0.0421,23.7358
0.013895,0.001438,0.8754,0.032,0.8648,0.0384,0.876,0.0421,23.7358
0.013895,0.001833,0.8754,0.032,0.8648,0.0384,0.876,0.0421,23.7358
0.013895,0.002336,0.8754,0.032,0.8648,0.0384,0.876,0.0421,23.7358
0.013895,0.002976,0.8754,0.032,0.8648,0.0384,0.8761,0.0419,23.7358
0.013895,0.003793,0.8754,0.032,0.8648,0.0384,0.8764,0.0419,23.7358
0.013895,0.004833,0.8754,0.032,0.8648,0.0384,0.8766,0.0416,23.7358
0.013895,0.006158,0.8754,0.032,0.8648,0.0384,0.8764,0.0419,23.7358
0.013895,0.007848,0.8754,0.032,0.8648,0.0384,0.8764,0.0424,23.7358
0.013895,0.01,0.8754,0.032,0.8648,0.0384,0.8766,0.0423,23.7358
0.019307,0.0001,0.8754,0.032,0.8648,0.0384,0.8755,0.0425,23.7358
0.019307,0.000127,0.8754,0.032,0.8648,0.0384,0.8755,0.0425,23.7358
0.019307,0.000162,0.8754,0.032,0.8648,0.0384,0.8756,0.0424,23.7358
0.019307,0.000207,0.8754,0.032,0.8648,0.0384,0.8756,0.0424,23.7358
0.019307,0.000264,0.8754,0.032,0.8648,0.0384,0.8756,0.0424,23.7358
0.019307,0.000336,0.8754,0.032,0.8648,0.0384,0.8758,0.0421,23.7358
0.019307,0.000428,0.8754,0.032,0.8648,0.0384,0.8758,0.0421,23.7358
0.019307,0.000546,0.8754,0.032,0.8648,0.0384,0.8758,0.0421,23.7358
0.019307,0.000695,0.8754,0.032,0.8648,0.0384,0.8758,0.0421,23.7358
0.019307,0.000886,0.8754,0.032,0.8648,0.0384,0.8758,0.0421,23.7358
0.019307,0.001129,0.8754,0.032,0.8648,0.0384,0.876,0.0421,23.7358
0.019307,0.001438,0.8754,0.032,0.8648,0.0384,0.876,0.0421,23.7358
0.019307,0.001833,0.8754,0.032,0.8648,0.0384,0.8761,0.0419,23.7358
0.019307,0.002336,0.8754,0.032,0.8648,0.0384,0.8764,0.0419,23.7358
0.019307,0.002976,0.8754,0.032,0.8648,0.0384,0.8766,0.0416,23.7358
0.019307,0.003793,0.8754,0.032,0.8648,0.0384,0.8764,0.0419,23.7358
0.019307,0.004833,0.8754,0.032,0.8648,0.0384,0.8764,0.0424,23.7358
0.019307,0.006158,0.8754,0.032,0.8648,0.0384,0.8766,0.0423,23.7358
0.019307,0.007848,0.8754,0.032,0.8648,0.0384,0.8768,0.0421,23.7358
0.019307,0.01,0.8754,0.032,0.8648,0.0384,0.8771,0.0421,23.7358
0.026827,0.0001,0.8754,0.032,0.8648,0.0384,0.8755,0.0425,23.7358
0.026827,0.000127,0.8754,0.032,0.8648,0.0384,0.8756,0.0424,23.7358
0.026827,0.000162,0.8754,0.032,0.8648,0.0384,0.8756,0.0424,23.7358
0.026827,0.000207,0.8754,0.032,0.8648,0.0384,0.8756,0.0424,23.7358
0.026827,0.000264,0.8754,0.032,0.8648,0.0384,0.8758,0.0421,23.7358
0.026827,0.000336,0.8754,0.032,0.8648,0.0384,0.8758,0.0421,23.7358
0.026827,0.000428,0.8754,0.032,0.8648,0.0384,0.8758,0.0421,23.7358
0.026827,0.000546,0.8754,0.032,0.8648,0.0384,0.8758,0.0421,23.7358
0.026827,0.000695,0.8754,0.032,0.8648,0.0384,0.8758,0.0421,23.7358
0.026827,0.000886,0.8754,0.032,0.8648,0.0384,0.876,0.0421,23.7358
0.026827,0.001129,0.8754,0.032,0.8648,0.0384,0.876,0.0421,23.7358
0.026827,0.001438,0.8754,0.032,0.8648,0.0384,0.8763,0.0417,23.7358
0.026827,0.001833,0.8754,0.032,0.8648,0.0384,0.8766,0.0416,23.7358
0.026827,0.002336,0.8754,0.032,0.8648,0.0384,0.8766,0.0416,23.7358
0.026827,0.002976,0.8754,0.032,0.8648,0.0384,0.8764,0.0419,23.7358
