alpha,gk_gamma,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std,run_time
0.01,0.0001,0.7187,0.0164,0.6489,0.0331,0.7113,0.0625,8287.071
0.01,0.000113,0.7187,0.0164,0.6489,0.0331,0.712,0.0629,8287.071
0.01,0.000127,0.7187,0.0164,0.6489,0.0331,0.7118,0.063,8287.071
0.01,0.000144,0.7187,0.0164,0.6489,0.0331,0.7129,0.0625,8287.071
0.01,0.000162,0.7187,0.0164,0.6489,0.0331,0.7137,0.0623,8287.071
0.01,0.000183,0.7187,0.0164,0.6489,0.0331,0.7141,0.0635,8287.071
0.01,0.000207,0.7187,0.0164,0.6489,0.0331,0.7142,0.0639,8287.071
0.01,0.000234,0.7204,0.0144,0.6524,0.0269,0.7141,0.0637,8287.071
0.01,0.000264,0.7204,0.0144,0.6524,0.0269,0.7149,0.064,8287.071
0.01,0.000298,0.7204,0.0144,0.6524,0.0269,0.7157,0.0643,8287.071
0.01,0.000336,0.7204,0.0144,0.6524,0.0269,0.7164,0.065,8287.071
0.01,0.000379,0.7204,0.0144,0.6524,0.0269,0.7168,0.0654,8287.071
0.01,0.000428,0.7204,0.0144,0.6524,0.0269,0.7179,0.0652,8287.071
0.01,0.000483,0.7204,0.0144,0.6524,0.0269,0.718,0.0655,8287.071
0.01,0.000546,0.7204,0.0144,0.6524,0.0269,0.7186,0.0661,8287.071
0.01,0.000616,0.7204,0.0144,0.6524,0.0269,0.7183,0.0658,8287.071
0.01,0.000695,0.7204,0.0144,0.6524,0.0269,0.7178,0.0659,8287.071
0.01,0.000785,0.7204,0.0144,0.6524,0.0269,0.7174,0.0651,8287.071
0.01,0.000886,0.7204,0.0144,0.6524,0.0269,0.7164,0.0644,8287.071
0.01,0.001,0.7204,0.0144,0.6524,0.0269,0.7154,0.0639,8287.071
0.013895,0.0001,0.7187,0.0164,0.6489,0.0331,0.7121,0.063,8287.071
0.013895,0.000113,0.7187,0.0164,0.6489,0.0331,0.7132,0.0626,8287.071
