alpha,gk_gamma,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std,run_time
0.01,0.0001,0.8158,0.036,0.8122,0.037,0.8927,0.0357,73.9079
0.01,0.000127,0.8158,0.036,0.8122,0.037,0.8927,0.0357,73.9079
0.01,0.000162,0.8158,0.036,0.8122,0.037,0.8927,0.0357,73.9079
0.01,0.000207,0.8158,0.036,0.8122,0.037,0.8927,0.0357,73.9079
0.01,0.000264,0.8158,0.036,0.8122,0.037,0.8927,0.0357,73.9079
0.01,0.000336,0.8158,0.036,0.8122,0.037,0.8927,0.0357,73.9079
0.01,0.000428,0.8158,0.036,0.8122,0.037,0.8928,0.0357,73.9079
0.01,0.000546,0.8158,0.036,0.8122,0.037,0.8929,0.0357,73.9079
0.01,0.000695,0.8158,0.036,0.8122,0.037,0.8929,0.0357,73.9079
0.01,0.000886,0.8158,0.036,0.8122,0.037,0.8929,0.0356,73.9079
0.01,0.001129,0.8158,0.036,0.8122,0.037,0.8929,0.0356,73.9079
0.01,0.001438,0.8158,0.036,0.8122,0.037,0.8928,0.0358,73.9079
0.01,0.001833,0.8158,0.036,0.8122,0.037,0.8929,0.0356,73.9079
0.01,0.002336,0.8158,0.036,0.8122,0.037,0.8929,0.0356,73.9079
0.01,0.002976,0.8158,0.036,0.8122,0.037,0.893,0.0355,73.9079
0.01,0.003793,0.8158,0.036,0.8122,0.037,0.8931,0.0355,73.9079
0.01,0.004833,0.8158,0.036,0.8122,0.037,0.8932,0.0353,73.9079
0.01,0.006158,0.8158,0.036,0.8122,0.037,0.8932,0.0354,73.9079
0.01,0.007848,0.8158,0.036,0.8122,0.037,0.8932,0.0355,73.9079
0.01,0.01,0.8166,0.0354,0.8132,0.0362,0.8934,0.0354,73.9079
0.013895,0.0001,0.8158,0.036,0.8122,0.037,0.8927,0.0357,73.9079
0.013895,0.000127,0.8158,0.036,0.8122,0.037,0.8927,0.0357,73.9079
0.013895,0.000162,0.8158,0.036,0.8122,0.037,0.8927,0.0357,73.9079
0.013895,0.000207,0.8158,0.036,0.8122,0.037,0.8927,0.0357,73.9079
0.013895,0.000264,0.8158,0.036,0.8122,0.037,0.8928,0.0357,73.9079
0.013895,0.000336,0.8158,0.036,0.8122,0.037,0.8928,0.0357,73.9079
0.013895,0.000428,0.8158,0.036,0.8122,0.037,0.8929,0.0357,73.9079
0.013895,0.000546,0.8158,0.036,0.8122,0.037,0.8929,0.0356,73.9079
0.013895,0.000695,0.8158,0.036,0.8122,0.037,0.8929,0.0356,73.9079
0.013895,0.000886,0.8158,0.036,0.8122,0.037,0.8929,0.0356,73.9079
0.013895,0.001129,0.8158,0.036,0.8122,0.037,0.8928,0.0358,73.9079
0.013895,0.001438,0.8158,0.036,0.8122,0.037,0.8928,0.0356,73.9079
0.013895,0.001833,0.8158,0.036,0.8122,0.037,0.8929,0.0356,73.9079
0.013895,0.002336,0.8158,0.036,0.8122,0.037,0.8931,0.0355,73.9079
0.013895,0.002976,0.8158,0.036,0.8122,0.037,0.8931,0.0354,73.9079
0.013895,0.003793,0.8158,0.036,0.8122,0.037,0.8932,0.0353,73.9079
0.013895,0.004833,0.8158,0.036,0.8122,0.037,0.8931,0.0356,73.9079
0.013895,0.006158,0.8158,0.036,0.8122,0.037,0.8933,0.0354,73.9079
0.013895,0.007848,0.8166,0.0354,0.8132,0.0362,0.8934,0.0353,73.9079
0.013895,0.01,0.8158,0.0346,0.8124,0.0355,0.8935,0.0354,73.9079
0.019307,0.0001,0.8158,0.036,0.8122,0.037,0.8927,0.0357,73.9079
0.019307,0.000127,0.8158,0.036,0.8122,0.037,0.8927,0.0357,73.9079
0.019307,0.000162,0.8158,0.036,0.8122,0.037,0.8927,0.0357,73.9079
0.019307,0.000207,0.8158,0.036,0.8122,0.037,0.8928,0.0357,73.9079
0.019307,0.000264,0.8158,0.036,0.8122,0.037,0.8928,0.0356,73.9079
0.019307,0.000336,0.8158,0.036,0.8122,0.037,0.8929,0.0357,73.9079
0.019307,0.000428,0.8158,0.036,0.8122,0.037,0.8929,0.0356,73.9079
0.019307,0.000546,0.8158,0.036,0.8122,0.037,0.8929,0.0356,73.9079
0.019307,0.000695,0.8158,0.036,0.8122,0.037,0.8928,0.0358,73.9079
0.019307,0.000886,0.8158,0.036,0.8122,0.037,0.8928,0.0356,73.9079
0.019307,0.001129,0.8158,0.036,0.8122,0.037,0.8929,0.0356,73.9079
0.019307,0.001438,0.8158,0.036,0.8122,0.037,0.893,0.0355,73.9079
0.019307,0.001833,0.8158,0.036,0.8122,0.037,0.8931,0.0355,73.9079
0.019307,0.002336,0.8158,0.036,0.8122,0.037,0.8932,0.0353,73.9079
0.019307,0.002976,0.8158,0.036,0.8122,0.037,0.8932,0.0354,73.9079
0.019307,0.003793,0.8158,0.036,0.8122,0.037,0.8933,0.0355,73.9079
0.019307,0.004833,0.8158,0.036,0.8122,0.037,0.8933,0.0353,73.9079
0.019307,0.006158,0.8166,0.0354,0.8132,0.0362,0.8935,0.0353,73.9079
0.019307,0.007848,0.8158,0.0346,0.8124,0.0355,0.8937,0.0352,73.9079
0.019307,0.01,0.8184,0.0298,0.8152,0.0306,0.8939,0.0351,73.9079
0.026827,0.0001,0.8158,0.036,0.8122,0.037,0.8927,0.0357,73.9079
0.026827,0.000127,0.8158,0.036,0.8122,0.037,0.8927,0.0357,73.9079
0.026827,0.000162,0.8158,0.036,0.8122,0.037,0.8928,0.0357,73.9079
0.026827,0.000207,0.8158,0.036,0.8122,0.037,0.8929,0.0357,73.9079
0.026827,0.000264,0.8158,0.036,0.8122,0.037,0.8929,0.0357,73.9079
0.026827,0.000336,0.8158,0.036,0.8122,0.037,0.8929,0.0356,73.9079
0.026827,0.000428,0.8158,0.036,0.8122,0.037,0.8929,0.0356,73.9079
0.026827,0.000546,0.8158,0.036,0.8122,0.037,0.8928,0.0358,73.9079
0.026827,0.000695,0.8158,0.036,0.8122,0.037,0.8928,0.0356,73.9079
0.026827,0.000886,0.8158,0.036,0.8122,0.037,0.8929,0.0356,73.9079
0.026827,0.001129,0.8158,0.036,0.8122,0.037,0.8931,0.0355,73.9079
0.026827,0.001438,0.8158,0.036,0.8122,0.037,0.8931,0.0353,73.9079
0.026827,0.001833,0.8158,0.036,0.8122,0.037,0.8932,0.0353,73.9079
0.026827,0.002336,0.8158,0.036,0.8122,0.037,0.8931,0.0356,73.9079
0.026827,0.002976,0.8158,0.036,0.8122,0.037,0.8933,0.0353,73.9079
0.026827,0.003793,0.8166,0.0354,0.8132,0.0362,0.8933,0.0353,73.9079
0.026827,0.004833,0.8158,0.0346,0.8124,0.0355,0.8936,0.0352,73.9079
0.026827,0.006158,0.8175,0.032,0.8144,0.0325,0.8939,0.0351,73.9079
0.026827,0.007848,0.8184,0.0298,0.8152,0.0306,0.8941,0.0351,73.9079
0.026827,0.01,0.8184,0.0298,0.8152,0.0306,0.8943,0.0348,73.9079
0.037276,0.0001,0.8158,0.036,0.8122,0.037,0.8928,0.0357,73.9079
0.037276,0.000127,0.8158,0.036,0.8122,0.037,0.8928,0.0356,73.9079
0.037276,0.000162,0.8158,0.036,0.8122,0.037,0.8929,0.0357,73.9079
0.037276,0.000207,0.8158,0.036,0.8122,0.037,0.8929,0.0356,73.9079
0.037276,0.000264,0.8158,0.036,0.8122,0.037,0.8929,0.0356,73.9079
0.037276,0.000336,0.8158,0.036,0.8122,0.037,0.8929,0.0358,73.9079
0.037276,0.000428,0.8158,0.036,0.8122,0.037,0.8928,0.0356,73.9079
0.037276,0.000546,0.8158,0.036,0.8122,0.037,0.8929,0.0356,73.9079
0.037276,0.000695,0.8158,0.036,0.8122,0.037,0.893,0.0355,73.9079
0.037276,0.000886,0.8158,0.036,0.8122,0.037,0.8931,0.0355,73.9079
0.037276,0.001129,0.8158,0.036,0.8122,0.037,0.8932,0.0353,73.9079
0.037276,0.001438,0.8158,0.036,0.8122,0.037,0.8932,0.0353,73.9079
0.037276,0.001833,0.8158,0.036,0.8122,0.037,0.8932,0.0355,73.9079
0.037276,0.002336,0.8158,0.036,0.8122,0.037,0.8933,0.0353,73.9079
0.037276,0.002976,0.8166,0.0354,0.8132,0.0362,0.8936,0.0352,73.9079
0.037276,0.003793,0.8166,0.0342,0.8134,0.0349,0.8938,0.0352,73.9079
0.037276,0.004833,0.8184,0.0298,0.8152,0.0306,0.8941,0.0352,73.9079
0.037276,0.006158,0.8184,0.0298,0.8152,0.0306,0.8941,0.0349,73.9079
0.037276,0.007848,0.8184,0.0298,0.8152,0.0306,0.8948,0.035,73.9079
0.037276,0.01,0.8184,0.0298,0.8152,0.0306,0.895,0.035,73.9079
0.051795,0.0001,0.8158,0.036,0.8122,0.037,0.8929,0.0357,73.9079
0.051795,0.000127,0.8158,0.036,0.8122,0.037,0.8929,0.0357,73.9079
