alpha,gk_gamma,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std,run_time
0.01,0.0001,0.4067,0.0413,0.3973,0.0377,0.7611,0.0392,512.9411
0.01,0.000113,0.4067,0.0413,0.3973,0.0377,0.7611,0.0392,512.9411
0.01,0.000127,0.4067,0.0413,0.3973,0.0377,0.7611,0.0392,512.9411
0.01,0.000144,0.4067,0.0413,0.3973,0.0377,0.7611,0.0392,512.9411
0.01,0.000162,0.4067,0.0413,0.3973,0.0377,0.7611,0.0392,512.9411
0.01,0.000183,0.4067,0.0413,0.3973,0.0377,0.7611,0.0391,512.9411
0.01,0.000207,0.4067,0.0413,0.3973,0.0377,0.7611,0.0392,512.9411
0.01,0.000234,0.4067,0.0413,0.3973,0.0377,0.7611,0.0392,512.9411
0.01,0.000264,0.4067,0.0413,0.3973,0.0377,0.7611,0.0392,512.9411
0.01,0.000298,0.4067,0.0413,0.3973,0.0377,0.7611,0.0392,512.9411
0.01,0.000336,0.4067,0.0413,0.3973,0.0377,0.7611,0.0392,512.9411
0.01,0.000379,0.4067,0.0413,0.3973,0.0377,0.7611,0.0392,512.9411
0.01,0.000428,0.4067,0.0413,0.3973,0.0377,0.7611,0.0392,512.9411
0.01,0.000483,0.4067,0.0413,0.3973,0.0377,0.7611,0.0392,512.9411
0.01,0.000546,0.4067,0.0413,0.3973,0.0377,0.7611,0.0392,512.9411
0.01,0.000616,0.4067,0.0413,0.3973,0.0377,0.7612,0.0393,512.9411
0.01,0.000695,0.4067,0.0413,0.3973,0.0377,0.7612,0.0393,512.9411
0.01,0.000785,0.4067,0.0413,0.3973,0.0377,0.7612,0.0393,512.9411
0.01,0.000886,0.4067,0.0413,0.3973,0.0377,0.7612,0.0393,512.9411
0.01,0.001,0.4067,0.0413,0.3973,0.0377,0.7612,0.0393,512.9411
0.013895,0.0001,0.4067,0.0413,0.3973,0.0377,0.7611,0.0392,512.9411
0.013895,0.000113,0.4067,0.0413,0.3973,0.0377,0.7611,0.0392,512.9411
0.013895,0.000127,0.4067,0.0413,0.3973,0.0377,0.7611,0.0392,512.9411
0.013895,0.000144,0.4067,0.0413,0.3973,0.0377,0.7611,0.0392,512.9411
0.013895,0.000162,0.4067,0.0413,0.3973,0.0377,0.7611,0.0392,512.9411
0.013895,0.000183,0.4067,0.0413,0.3973,0.0377,0.7611,0.0392,512.9411
0.013895,0.000207,0.4067,0.0413,0.3973,0.0377,0.7611,0.0392,512.9411
0.013895,0.000234,0.4067,0.0413,0.3973,0.0377,0.7611,0.0392,512.9411
0.013895,0.000264,0.4067,0.0413,0.3973,0.0377,0.7611,0.0392,512.9411
0.013895,0.000298,0.4067,0.0413,0.3973,0.0377,0.7611,0.0392,512.9411
