alpha,gk_gamma,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std,run_time
0.01,0.0001,0.7119,0.0345,0.6842,0.0483,0.8033,0.0452,10025.2992
0.01,0.000127,0.7164,0.0345,0.6902,0.0476,0.8046,0.045,10025.2992
0.01,0.000162,0.7209,0.0352,0.696,0.0482,0.806,0.0454,10025.2992
0.01,0.000207,0.7239,0.0332,0.7001,0.0456,0.8079,0.0475,10025.2992
0.01,0.000264,0.7268,0.0345,0.7038,0.0471,0.8082,0.0487,10025.2992
0.01,0.000336,0.7268,0.0345,0.7038,0.0471,0.8091,0.0501,10025.2992
0.01,0.000428,0.7268,0.0345,0.7038,0.0471,0.8098,0.0503,10025.2992
0.01,0.000546,0.7283,0.0364,0.7056,0.0491,0.8102,0.0501,10025.2992
0.01,0.000695,0.7298,0.0355,0.7076,0.048,0.8103,0.0484,10025.2992
0.01,0.000886,0.7254,0.0353,0.7019,0.0478,0.8103,0.0466,10025.2992
0.01,0.001129,0.7194,0.0397,0.6937,0.0539,0.8082,0.0465,10025.2992
0.01,0.001438,0.7119,0.0366,0.6846,0.0507,0.8047,0.0454,10025.2992
0.01,0.001833,0.709,0.0374,0.6808,0.0511,0.8015,0.0436,10025.2992
0.01,0.002336,0.7104,0.0367,0.682,0.0504,0.799,0.0426,10025.2992
0.01,0.002976,0.7104,0.0374,0.6811,0.0504,0.7969,0.0424,10025.2992
0.01,0.003793,0.7104,0.0374,0.6811,0.0504,0.796,0.0426,10025.2992
0.01,0.004833,0.7104,0.0374,0.6811,0.0504,0.7956,0.0426,10025.2992
0.01,0.006158,0.7104,0.0374,0.6811,0.0504,0.7956,0.0425,10025.2992
0.01,0.007848,0.7104,0.0374,0.6811,0.0504,0.7953,0.0426,10025.2992
0.01,0.01,0.7104,0.0374,0.6811,0.0504,0.7953,0.0426,10025.2992
0.013895,0.0001,0.7164,0.0345,0.6902,0.0476,0.8048,0.0449,10025.2992
0.013895,0.000127,0.7224,0.0346,0.698,0.0474,0.8064,0.0455,10025.2992
0.013895,0.000162,0.7254,0.0332,0.702,0.0456,0.808,0.049,10025.2992
