alpha,gk_gamma,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std,run_time
0.01,1e-05,0.7413,0.0381,0.741,0.0381,0.815,0.0387,3676.02
0.01,1.3e-05,0.7413,0.0381,0.741,0.0381,0.8151,0.0388,3676.02
0.01,1.6e-05,0.7413,0.0381,0.741,0.0381,0.8151,0.0388,3676.02
0.01,2.1e-05,0.7413,0.0381,0.741,0.0381,0.8151,0.0388,3676.02
0.01,2.6e-05,0.7413,0.0381,0.741,0.0381,0.815,0.0388,3676.02
0.01,3.4e-05,0.7413,0.0381,0.741,0.0381,0.8151,0.0388,3676.02
0.01,4.3e-05,0.7413,0.0381,0.741,0.0381,0.8151,0.0388,3676.02
0.01,5.5e-05,0.7413,0.0381,0.741,0.0381,0.8151,0.0388,3676.02
0.01,7e-05,0.7413,0.0381,0.741,0.0381,0.8152,0.0388,3676.02
0.01,8.9e-05,0.7413,0.0381,0.741,0.0381,0.8151,0.0388,3676.02
0.01,0.000113,0.7407,0.0374,0.7403,0.0373,0.8151,0.0388,3676.02
0.01,0.000144,0.7407,0.0374,0.7403,0.0373,0.815,0.0388,3676.02
0.01,0.000183,0.74,0.0372,0.7396,0.0371,0.815,0.0388,3676.02
0.01,0.000234,0.74,0.0372,0.7396,0.0371,0.815,0.0388,3676.02
0.01,0.000298,0.74,0.0372,0.7396,0.0371,0.8149,0.0388,3676.02
0.01,0.000379,0.74,0.0372,0.7396,0.0371,0.815,0.0389,3676.02
0.01,0.000483,0.74,0.0372,0.7396,0.0371,0.8149,0.0388,3676.02
0.01,0.000616,0.74,0.0372,0.7396,0.0371,0.8148,0.0388,3676.02
0.01,0.000785,0.74,0.0372,0.7396,0.0371,0.815,0.0388,3676.02
0.01,0.001,0.74,0.0371,0.7396,0.037,0.8151,0.0387,3676.02
0.013895,1e-05,0.7413,0.0381,0.741,0.0381,0.8151,0.0388,3676.02
0.013895,1.3e-05,0.7413,0.0381,0.741,0.0381,0.8151,0.0388,3676.02
0.013895,1.6e-05,0.7413,0.0381,0.741,0.0381,0.8151,0.0388,3676.02
0.013895,2.1e-05,0.7413,0.0381,0.741,0.0381,0.8151,0.0388,3676.02
0.013895,2.6e-05,0.7413,0.0381,0.741,0.0381,0.815,0.0388,3676.02
0.013895,3.4e-05,0.7413,0.0381,0.741,0.0381,0.815,0.0388,3676.02
0.013895,4.3e-05,0.7413,0.0381,0.741,0.0381,0.815,0.0388,3676.02
0.013895,5.5e-05,0.7413,0.0381,0.741,0.0381,0.8151,0.0388,3676.02
0.013895,7e-05,0.7413,0.0381,0.741,0.0381,0.8151,0.0388,3676.02
0.013895,8.9e-05,0.7413,0.0381,0.741,0.0381,0.8152,0.0392,3676.02
0.013895,0.000113,0.74,0.0372,0.7396,0.0371,0.815,0.0388,3676.02
0.013895,0.000144,0.74,0.0372,0.7396,0.0371,0.8151,0.0386,3676.02
0.013895,0.000183,0.74,0.0372,0.7396,0.0371,0.815,0.0389,3676.02
0.013895,0.000234,0.74,0.0372,0.7396,0.0371,0.8151,0.039,3676.02
0.013895,0.000298,0.74,0.0372,0.7396,0.0371,0.815,0.0385,3676.02
0.013895,0.000379,0.74,0.0372,0.7396,0.0371,0.815,0.0387,3676.02
0.013895,0.000483,0.74,0.0372,0.7396,0.0371,0.8151,0.0385,3676.02
0.013895,0.000616,0.74,0.0372,0.7396,0.0371,0.815,0.0389,3676.02
0.013895,0.000785,0.74,0.0372,0.7396,0.0371,0.8151,0.0388,3676.02
0.013895,0.001,0.7407,0.038,0.7403,0.038,0.815,0.0387,3676.02
0.019307,1e-05,0.7413,0.0381,0.741,0.0381,0.8151,0.0388,3676.02
0.019307,1.3e-05,0.7413,0.0381,0.741,0.0381,0.8151,0.0388,3676.02
0.019307,1.6e-05,0.7413,0.0381,0.741,0.0381,0.8151,0.0388,3676.02
0.019307,2.1e-05,0.7413,0.0381,0.741,0.0381,0.8151,0.0388,3676.02
0.019307,2.6e-05,0.7413,0.0381,0.741,0.0381,0.8151,0.0389,3676.02
0.019307,3.4e-05,0.7413,0.0381,0.741,0.0381,0.815,0.0388,3676.02
0.019307,4.3e-05,0.7413,0.0381,0.741,0.0381,0.8151,0.0388,3676.02
0.019307,5.5e-05,0.7413,0.0381,0.741,0.0381,0.815,0.0388,3676.02
0.019307,7e-05,0.7413,0.0381,0.741,0.0381,0.8152,0.0388,3676.02
0.019307,8.9e-05,0.7407,0.0379,0.7403,0.0379,0.8151,0.0389,3676.02
0.019307,0.000113,0.74,0.0372,0.7396,0.0371,0.8152,0.0388,3676.02
