alpha,gk_gamma,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std,run_time
0.01,0.0001,0.4947,0.0209,0.4877,0.0209,0.679,0.0169,3772.7249
0.01,0.000113,0.4947,0.0209,0.4877,0.0209,0.6794,0.0169,3772.7249
0.01,0.000127,0.4947,0.0209,0.4877,0.0209,0.6797,0.0171,3772.7249
0.01,0.000144,0.4947,0.0209,0.4877,0.0209,0.6793,0.0171,3772.7249
0.01,0.000162,0.4951,0.0218,0.4881,0.0216,0.6795,0.0171,3772.7249
0.01,0.000183,0.4951,0.0218,0.4881,0.0216,0.68,0.0177,3772.7249
0.01,0.000207,0.4951,0.0218,0.4881,0.0216,0.6778,0.0165,3772.7249
0.01,0.000234,0.4951,0.0218,0.4881,0.0216,0.6791,0.0176,3772.7249
0.01,0.000264,0.4951,0.0218,0.4881,0.0216,0.6795,0.0171,3772.7249
0.01,0.000298,0.4951,0.0218,0.4881,0.0216,0.6794,0.0168,3772.7249
0.01,0.000336,0.4951,0.0218,0.4881,0.0216,0.6795,0.0174,3772.7249
0.01,0.000379,0.4951,0.0218,0.4881,0.0216,0.6791,0.0172,3772.7249
0.01,0.000428,0.4951,0.0218,0.4881,0.0216,0.679,0.0173,3772.7249
0.01,0.000483,0.4951,0.0218,0.4881,0.0216,0.6791,0.0166,3772.7249
0.01,0.000546,0.4951,0.0218,0.4881,0.0216,0.6791,0.0171,3772.7249
0.01,0.000616,0.4951,0.0218,0.4881,0.0216,0.6796,0.0166,3772.7249
0.01,0.000695,0.4951,0.0218,0.4881,0.0216,0.6797,0.0174,3772.7249
0.01,0.000785,0.4951,0.0218,0.4881,0.0216,0.6791,0.0173,3772.7249
0.01,0.000886,0.4947,0.0215,0.4877,0.0213,0.6791,0.0182,3772.7249
0.01,0.001,0.4947,0.0215,0.4877,0.0213,0.6787,0.0176,3772.7249
0.013895,0.0001,0.4947,0.0209,0.4877,0.0209,0.6791,0.0166,3772.7249
0.013895,0.000113,0.4947,0.0209,0.4877,0.0209,0.6793,0.0171,3772.7249
0.013895,0.000127,0.4951,0.0218,0.4881,0.0216,0.6793,0.0168,3772.7249
0.013895,0.000144,0.4951,0.0218,0.4881,0.0216,0.6789,0.0179,3772.7249
0.013895,0.000162,0.4951,0.0218,0.4881,0.0216,0.6808,0.0192,3772.7249
0.013895,0.000183,0.4951,0.0218,0.4881,0.0216,0.6796,0.0171,3772.7249
0.013895,0.000207,0.4951,0.0218,0.4881,0.0216,0.6783,0.018,3772.7249
0.013895,0.000234,0.4951,0.0218,0.4881,0.0216,0.6799,0.0168,3772.7249
0.013895,0.000264,0.4951,0.0218,0.4881,0.0216,0.6783,0.0173,3772.7249
0.013895,0.000298,0.4951,0.0218,0.4881,0.0216,0.6791,0.0192,3772.7249
0.013895,0.000336,0.4951,0.0218,0.4881,0.0216,0.6796,0.0172,3772.7249
0.013895,0.000379,0.4951,0.0218,0.4881,0.0216,0.6793,0.0166,3772.7249
0.013895,0.000428,0.4951,0.0218,0.4881,0.0216,0.6777,0.0161,3772.7249
0.013895,0.000483,0.4951,0.0218,0.4881,0.0216,0.6761,0.0177,3772.7249
0.013895,0.000546,0.4951,0.0218,0.4881,0.0216,0.6783,0.0166,3772.7249
0.013895,0.000616,0.4951,0.0218,0.4881,0.0216,0.68,0.0174,3772.7249
0.013895,0.000695,0.4951,0.0218,0.4881,0.0216,0.6801,0.0169,3772.7249
0.013895,0.000785,0.4951,0.0218,0.4881,0.0216,0.6781,0.0196,3772.7249
0.013895,0.000886,0.4947,0.0215,0.4877,0.0213,0.6789,0.0187,3772.7249
0.013895,0.001,0.4947,0.0215,0.4877,0.0213,0.6751,0.0176,3772.7249
0.019307,0.0001,0.4951,0.0218,0.4881,0.0216,0.6785,0.0174,3772.7249
