alpha,gk_gamma,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std,run_time
0.01,0.0001,0.8282,0.0434,0.827,0.0423,0.9886,0.0058,4410.9441
0.01,0.000113,0.8282,0.0434,0.827,0.0423,0.9886,0.0058,4410.9441
0.01,0.000127,0.8282,0.0434,0.827,0.0423,0.9886,0.0058,4410.9441
0.01,0.000144,0.8282,0.0434,0.827,0.0423,0.9886,0.0058,4410.9441
0.01,0.000162,0.8282,0.0434,0.827,0.0423,0.9886,0.0058,4410.9441
0.01,0.000183,0.8282,0.0434,0.827,0.0423,0.9886,0.0058,4410.9441
0.01,0.000207,0.8282,0.0434,0.827,0.0423,0.9886,0.0058,4410.9441
0.01,0.000234,0.8282,0.0434,0.827,0.0423,0.9886,0.0058,4410.9441
0.01,0.000264,0.8282,0.0434,0.827,0.0423,0.9886,0.0058,4410.9441
0.01,0.000298,0.8282,0.0434,0.827,0.0423,0.9886,0.0058,4410.9441
0.01,0.000336,0.8282,0.0434,0.827,0.0423,0.9886,0.0058,4410.9441
0.01,0.000379,0.8282,0.0434,0.827,0.0423,0.9886,0.0058,4410.9441
0.01,0.000428,0.8282,0.0434,0.827,0.0423,0.9886,0.0058,4410.9441
0.01,0.000483,0.8282,0.0434,0.827,0.0423,0.9886,0.0058,4410.9441
0.01,0.000546,0.8282,0.0434,0.827,0.0423,0.9886,0.0058,4410.9441
0.01,0.000616,0.8282,0.0434,0.827,0.0423,0.9886,0.0058,4410.9441
0.01,0.000695,0.8282,0.0434,0.827,0.0423,0.9886,0.0058,4410.9441
0.01,0.000785,0.8294,0.0427,0.8282,0.0417,0.9886,0.0058,4410.9441
0.01,0.000886,0.8294,0.0427,0.8282,0.0417,0.9886,0.0058,4410.9441
0.01,0.001,0.8294,0.0427,0.8282,0.0417,0.9886,0.0058,4410.9441
0.013895,0.0001,0.8282,0.0434,0.827,0.0423,0.9886,0.0058,4410.9441
0.013895,0.000113,0.8282,0.0434,0.827,0.0423,0.9886,0.0058,4410.9441
0.013895,0.000127,0.8282,0.0434,0.827,0.0423,0.9886,0.0058,4410.9441
0.013895,0.000144,0.8282,0.0434,0.827,0.0423,0.9886,0.0058,4410.9441
0.013895,0.000162,0.8282,0.0434,0.827,0.0423,0.9886,0.0058,4410.9441
0.013895,0.000183,0.8282,0.0434,0.827,0.0423,0.9886,0.0058,4410.9441
0.013895,0.000207,0.8282,0.0434,0.827,0.0423,0.9886,0.0058,4410.9441
0.013895,0.000234,0.8282,0.0434,0.827,0.0423,0.9886,0.0058,4410.9441
0.013895,0.000264,0.8282,0.0434,0.827,0.0423,0.9886,0.0058,4410.9441
0.013895,0.000298,0.8282,0.0434,0.827,0.0423,0.9886,0.0058,4410.9441
0.013895,0.000336,0.8282,0.0434,0.827,0.0423,0.9886,0.0058,4410.9441
0.013895,0.000379,0.8282,0.0434,0.827,0.0423,0.9886,0.0058,4410.9441
0.013895,0.000428,0.8282,0.0434,0.827,0.0423,0.9886,0.0058,4410.9441
0.013895,0.000483,0.8282,0.0434,0.827,0.0423,0.9886,0.0058,4410.9441
0.013895,0.000546,0.8294,0.0427,0.8282,0.0417,0.9886,0.0058,4410.9441
0.013895,0.000616,0.8294,0.0427,0.8282,0.0417,0.9886,0.0058,4410.9441
0.013895,0.000695,0.8294,0.0427,0.8282,0.0417,0.9886,0.0058,4410.9441
0.013895,0.000785,0.8294,0.0427,0.8282,0.0417,0.9886,0.0058,4410.9441
0.013895,0.000886,0.8294,0.0427,0.8282,0.0417,0.9886,0.0058,4410.9441
0.013895,0.001,0.8306,0.0419,0.8297,0.0405,0.9886,0.0058,4410.9441
0.019307,0.0001,0.8282,0.0434,0.827,0.0423,0.9886,0.0058,4410.9441
0.019307,0.000113,0.8282,0.0434,0.827,0.0423,0.9886,0.0058,4410.9441
0.019307,0.000127,0.8282,0.0434,0.827,0.0423,0.9886,0.0058,4410.9441
0.019307,0.000144,0.8282,0.0434,0.827,0.0423,0.9886,0.0058,4410.9441
0.019307,0.000162,0.8282,0.0434,0.827,0.0423,0.9886,0.0058,4410.9441
0.019307,0.000183,0.8282,0.0434,0.827,0.0423,0.9886,0.0058,4410.9441
0.019307,0.000207,0.8282,0.0434,0.827,0.0423,0.9886,0.0058,4410.9441
0.019307,0.000234,0.8282,0.0434,0.827,0.0423,0.9886,0.0058,4410.9441
0.019307,0.000264,0.8282,0.0434,0.827,0.0423,0.9886,0.0058,4410.9441
0.019307,0.000298,0.8282,0.0434,0.827,0.0423,0.9886,0.0058,4410.9441
