alpha,gk_gamma,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std,run_time
0.01,1e-06,0.7953,0.0118,0.7951,0.0119,0.8688,0.0093,929.2548
0.01,2e-06,0.7953,0.0121,0.7951,0.0122,0.8688,0.0095,929.2548
0.01,3e-06,0.7953,0.0121,0.7951,0.0122,0.8688,0.0095,929.2548
0.01,4e-06,0.7953,0.0121,0.7951,0.0122,0.8688,0.0095,929.2548
0.01,6e-06,0.7953,0.0121,0.7951,0.0122,0.8688,0.0095,929.2548
0.01,9e-06,0.7953,0.0121,0.7951,0.0122,0.8688,0.0095,929.2548
0.01,1.3e-05,0.7953,0.0121,0.7951,0.0122,0.8688,0.0095,929.2548
0.01,1.8e-05,0.7953,0.0121,0.7951,0.0122,0.8688,0.0095,929.2548
0.01,2.6e-05,0.7953,0.0121,0.7951,0.0122,0.8688,0.0095,929.2548
0.01,3.8e-05,0.7953,0.0121,0.7951,0.0122,0.8688,0.0095,929.2548
0.01,5.5e-05,0.7953,0.0121,0.7951,0.0122,0.8688,0.0095,929.2548
0.01,7.8e-05,0.7953,0.0121,0.7951,0.0122,0.8688,0.0095,929.2548
0.01,0.000113,0.7953,0.0121,0.7951,0.0122,0.8688,0.0095,929.2548
0.01,0.000162,0.7953,0.0121,0.7951,0.0122,0.8688,0.0095,929.2548
0.01,0.000234,0.7953,0.0121,0.7951,0.0122,0.8688,0.0095,929.2548
0.01,0.000336,0.7953,0.0121,0.7951,0.0122,0.8688,0.0095,929.2548
0.01,0.000483,0.7953,0.0121,0.7951,0.0122,0.8688,0.0095,929.2548
0.01,0.000695,0.7955,0.0122,0.7952,0.0123,0.8689,0.0095,929.2548
0.01,0.001,0.7956,0.0121,0.7954,0.0122,0.8689,0.0095,929.2548
0.013895,1e-06,0.7953,0.0118,0.7951,0.0119,0.8688,0.0093,929.2548
0.013895,2e-06,0.7953,0.0121,0.7951,0.0122,0.8688,0.0095,929.2548
0.013895,3e-06,0.7953,0.0121,0.7951,0.0122,0.8688,0.0095,929.2548
0.013895,4e-06,0.7953,0.0121,0.7951,0.0122,0.8688,0.0095,929.2548
0.013895,6e-06,0.7953,0.0121,0.7951,0.0122,0.8688,0.0095,929.2548
0.013895,9e-06,0.7953,0.0121,0.7951,0.0122,0.8688,0.0095,929.2548
0.013895,1.3e-05,0.7953,0.0121,0.7951,0.0122,0.8688,0.0095,929.2548
0.013895,1.8e-05,0.7953,0.0121,0.7951,0.0122,0.8688,0.0095,929.2548
0.013895,2.6e-05,0.7953,0.0121,0.7951,0.0122,0.8688,0.0095,929.2548
0.013895,3.8e-05,0.7953,0.0121,0.7951,0.0122,0.8688,0.0095,929.2548
0.013895,5.5e-05,0.7953,0.0121,0.7951,0.0122,0.8688,0.0095,929.2548
0.013895,7.8e-05,0.7953,0.0121,0.7951,0.0122,0.8688,0.0095,929.2548
0.013895,0.000113,0.7953,0.0121,0.7951,0.0122,0.8688,0.0095,929.2548
0.013895,0.000162,0.7953,0.0121,0.7951,0.0122,0.8688,0.0095,929.2548
0.013895,0.000234,0.7953,0.0121,0.7951,0.0122,0.8688,0.0095,929.2548
0.013895,0.000336,0.7953,0.0121,0.7951,0.0122,0.8688,0.0095,929.2548
0.013895,0.000483,0.7955,0.0122,0.7952,0.0123,0.8689,0.0095,929.2548
0.013895,0.000695,0.7956,0.0121,0.7954,0.0122,0.8689,0.0095,929.2548
