alpha,gk_gamma,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std,run_time
0.01,0.001,0.6522,0.08,0.6516,0.0802,0.6995,0.0772,508.0117
0.01,0.001129,0.6565,0.0766,0.6558,0.0768,0.7007,0.0747,508.0117
0.01,0.001274,0.6587,0.0739,0.6581,0.0741,0.6996,0.075,508.0117
0.01,0.001438,0.663,0.0689,0.6625,0.0691,0.6999,0.0734,508.0117
0.01,0.001624,0.6696,0.0646,0.6689,0.0648,0.6997,0.0733,508.0117
0.01,0.001833,0.6739,0.0502,0.6733,0.0506,0.6984,0.0704,508.0117
0.01,0.002069,0.6739,0.0502,0.6733,0.0506,0.6969,0.0711,508.0117
0.01,0.002336,0.6696,0.0521,0.6689,0.0523,0.6957,0.0697,508.0117
0.01,0.002637,0.6674,0.0523,0.6666,0.0527,0.6944,0.0704,508.0117
0.01,0.002976,0.6652,0.0504,0.6645,0.0508,0.6921,0.0704,508.0117
0.01,0.00336,0.663,0.0473,0.6622,0.0475,0.6916,0.0721,508.0117
0.01,0.003793,0.6587,0.0435,0.6577,0.0437,0.6908,0.0711,508.0117
0.01,0.004281,0.6587,0.0435,0.6577,0.0437,0.69,0.0704,508.0117
0.01,0.004833,0.6587,0.0435,0.6577,0.0437,0.6898,0.0705,508.0117
0.01,0.005456,0.6587,0.0435,0.6577,0.0437,0.6895,0.071,508.0117
0.01,0.006158,0.6587,0.0435,0.6577,0.0437,0.6893,0.0713,508.0117
0.01,0.006952,0.6587,0.0435,0.6577,0.0437,0.6893,0.0713,508.0117
0.01,0.007848,0.6587,0.0435,0.6577,0.0437,0.6893,0.0713,508.0117
0.01,0.008859,0.6587,0.0435,0.6577,0.0437,0.6893,0.0713,508.0117
0.01,0.01,0.6587,0.0435,0.6577,0.0437,0.6893,0.0713,508.0117
0.013895,0.001,0.6478,0.0825,0.6472,0.0828,0.7008,0.0759,508.0117
0.013895,0.001129,0.6522,0.08,0.6516,0.0802,0.7031,0.0765,508.0117
0.013895,0.001274,0.6522,0.08,0.6516,0.0802,0.7015,0.0765,508.0117
0.013895,0.001438,0.6587,0.076,0.6581,0.0762,0.7016,0.0756,508.0117
0.013895,0.001624,0.6609,0.074,0.6604,0.0742,0.7008,0.0732,508.0117
0.013895,0.001833,0.6674,0.0664,0.6669,0.0666,0.7002,0.0726,508.0117
0.013895,0.002069,0.6761,0.0527,0.6754,0.0531,0.6988,0.0704,508.0117
0.013895,0.002336,0.6739,0.0502,0.6733,0.0506,0.6961,0.0709,508.0117
0.013895,0.002637,0.6696,0.0521,0.6689,0.0523,0.694,0.0699,508.0117
0.013895,0.002976,0.6652,0.0504,0.6644,0.0507,0.6932,0.0702,508.0117
0.013895,0.00336,0.663,0.0473,0.6622,0.0475,0.6918,0.0701,508.0117
0.013895,0.003793,0.6609,0.0461,0.66,0.0463,0.6905,0.0699,508.0117
0.013895,0.004281,0.6587,0.0435,0.6577,0.0437,0.6899,0.069,508.0117
0.013895,0.004833,0.6587,0.0435,0.6577,0.0437,0.6897,0.0691,508.0117
0.013895,0.005456,0.6587,0.0435,0.6577,0.0437,0.6895,0.0694,508.0117
0.013895,0.006158,0.6587,0.0435,0.6577,0.0437,0.6895,0.0694,508.0117
0.013895,0.006952,0.6587,0.0435,0.6577,0.0437,0.6895,0.0694,508.0117
0.013895,0.007848,0.6587,0.0435,0.6577,0.0437,0.6897,0.07,508.0117
0.013895,0.008859,0.6587,0.0435,0.6577,0.0437,0.6895,0.0699,508.0117
0.013895,0.01,0.6587,0.0435,0.6577,0.0437,0.6895,0.0699,508.0117
0.019307,0.001,0.6587,0.0781,0.6579,0.0784,0.7056,0.077,508.0117
0.019307,0.001129,0.6565,0.0792,0.656,0.0794,0.7048,0.0771,508.0117
0.019307,0.001274,0.6544,0.0797,0.6537,0.0799,0.7047,0.0759,508.0117
0.019307,0.001438,0.6544,0.0797,0.6536,0.0797,0.7048,0.0767,508.0117
0.019307,0.001624,0.6587,0.076,0.6579,0.0762,0.7043,0.076,508.0117
0.019307,0.001833,0.6609,0.074,0.6602,0.0741,0.7026,0.074,508.0117
0.019307,0.002069,0.6696,0.0678,0.669,0.0679,0.7006,0.0731,508.0117
0.019307,0.002336,0.6761,0.0575,0.6754,0.0579,0.6998,0.0704,508.0117
0.019307,0.002637,0.6761,0.0517,0.6754,0.052,0.6976,0.0709,508.0117
0.019307,0.002976,0.6652,0.0534,0.6644,0.0538,0.6944,0.0701,508.0117
0.019307,0.00336,0.663,0.0461,0.662,0.0465,0.6924,0.0704,508.0117
0.019307,0.003793,0.6652,0.0437,0.6643,0.0442,0.6914,0.0702,508.0117
0.019307,0.004281,0.6609,0.04,0.6597,0.0403,0.6895,0.0689,508.0117
0.019307,0.004833,0.6609,0.04,0.6597,0.0403,0.6901,0.069,508.0117
0.019307,0.005456,0.6609,0.04,0.6597,0.0403,0.6904,0.0688,508.0117
0.019307,0.006158,0.6609,0.04,0.6597,0.0403,0.6901,0.0691,508.0117
0.019307,0.006952,0.6609,0.04,0.6597,0.0403,0.6901,0.0691,508.0117
