alpha,gk_gamma,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std,run_time
0.01,0.0001,0.8787,0.0388,0.8699,0.0437,0.8742,0.0443,14.9238
0.01,0.000127,0.8787,0.0388,0.8699,0.0437,0.8742,0.0443,14.9238
0.01,0.000162,0.8787,0.0388,0.8699,0.0437,0.8742,0.0443,14.9238
0.01,0.000207,0.8787,0.0388,0.8699,0.0437,0.8742,0.0443,14.9238
0.01,0.000264,0.877,0.0347,0.8683,0.0399,0.8744,0.0443,14.9238
0.01,0.000336,0.877,0.0347,0.8683,0.0399,0.8744,0.0443,14.9238
0.01,0.000428,0.877,0.0347,0.8683,0.0399,0.8744,0.0443,14.9238
0.01,0.000546,0.877,0.0347,0.8683,0.0399,0.8744,0.0443,14.9238
0.01,0.000695,0.877,0.0347,0.8683,0.0399,0.8744,0.0443,14.9238
0.01,0.000886,0.877,0.0347,0.8683,0.0399,0.8744,0.0443,14.9238
0.01,0.001129,0.877,0.0347,0.8683,0.0399,0.8744,0.0443,14.9238
0.01,0.001438,0.877,0.0347,0.8683,0.0399,0.8744,0.0443,14.9238
0.01,0.001833,0.877,0.0347,0.8683,0.0399,0.8744,0.0443,14.9238
0.01,0.002336,0.877,0.0347,0.8683,0.0399,0.8744,0.0443,14.9238
0.01,0.002976,0.877,0.0347,0.8683,0.0399,0.8744,0.0441,14.9238
0.01,0.003793,0.877,0.0347,0.8683,0.0399,0.8742,0.0442,14.9238
0.01,0.004833,0.877,0.0347,0.8683,0.0399,0.8744,0.0441,14.9238
0.01,0.006158,0.877,0.0347,0.8683,0.0399,0.8745,0.0444,14.9238
0.01,0.007848,0.877,0.0347,0.8683,0.0399,0.8745,0.0444,14.9238
0.01,0.01,0.877,0.0347,0.8683,0.0399,0.8745,0.0444,14.9238
0.013895,0.0001,0.8787,0.0388,0.8699,0.0437,0.8742,0.0443,14.9238
0.013895,0.000127,0.8787,0.0388,0.8699,0.0437,0.8742,0.0443,14.9238
0.013895,0.000162,0.8787,0.0388,0.8699,0.0437,0.8742,0.0443,14.9238
0.013895,0.000207,0.877,0.0347,0.8683,0.0399,0.8744,0.0443,14.9238
0.013895,0.000264,0.877,0.0347,0.8683,0.0399,0.8744,0.0443,14.9238
0.013895,0.000336,0.877,0.0347,0.8683,0.0399,0.8744,0.0443,14.9238
0.013895,0.000428,0.877,0.0347,0.8683,0.0399,0.8744,0.0443,14.9238
0.013895,0.000546,0.877,0.0347,0.8683,0.0399,0.8744,0.0443,14.9238
0.013895,0.000695,0.877,0.0347,0.8683,0.0399,0.8744,0.0443,14.9238
0.013895,0.000886,0.877,0.0347,0.8683,0.0399,0.8744,0.0443,14.9238
0.013895,0.001129,0.877,0.0347,0.8683,0.0399,0.8744,0.0443,14.9238
0.013895,0.001438,0.877,0.0347,0.8683,0.0399,0.8744,0.0443,14.9238
0.013895,0.001833,0.877,0.0347,0.8683,0.0399,0.8744,0.0441,14.9238
0.013895,0.002336,0.877,0.0347,0.8683,0.0399,0.8742,0.0442,14.9238
0.013895,0.002976,0.877,0.0347,0.8683,0.0399,0.8744,0.0441,14.9238
0.013895,0.003793,0.877,0.0347,0.8683,0.0399,0.8744,0.0441,14.9238
0.013895,0.004833,0.877,0.0347,0.8683,0.0399,0.8745,0.0444,14.9238
0.013895,0.006158,0.877,0.0347,0.8683,0.0399,0.8744,0.0444,14.9238
0.013895,0.007848,0.877,0.0347,0.8683,0.0399,0.8745,0.0442,14.9238
0.013895,0.01,0.877,0.0347,0.8683,0.0399,0.8745,0.0441,14.9238
0.019307,0.0001,0.8787,0.0388,0.8699,0.0437,0.8742,0.0443,14.9238
0.019307,0.000127,0.877,0.0347,0.8683,0.0399,0.8744,0.0443,14.9238
0.019307,0.000162,0.877,0.0347,0.8683,0.0399,0.8744,0.0443,14.9238
0.019307,0.000207,0.877,0.0347,0.8683,0.0399,0.8744,0.0443,14.9238
