alpha,gk_gamma,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std,run_time
0.01,0.0001,0.6891,0.0732,0.6873,0.074,0.7517,0.0682,5316.3869
0.01,0.000113,0.6891,0.0732,0.6873,0.074,0.7511,0.0685,5316.3869
0.01,0.000127,0.6891,0.0732,0.6873,0.074,0.7511,0.0685,5316.3869
0.01,0.000144,0.6891,0.0732,0.6873,0.074,0.7513,0.0684,5316.3869
0.01,0.000162,0.687,0.0748,0.6851,0.0755,0.7511,0.0682,5316.3869
0.01,0.000183,0.687,0.0748,0.6851,0.0755,0.7511,0.0682,5316.3869
0.01,0.000207,0.687,0.0748,0.6851,0.0755,0.7509,0.0683,5316.3869
0.01,0.000234,0.6891,0.0732,0.6872,0.0741,0.7509,0.0683,5316.3869
0.01,0.000264,0.6891,0.0732,0.6872,0.0741,0.7506,0.0687,5316.3869
0.01,0.000298,0.6891,0.0732,0.6872,0.0741,0.7506,0.069,5316.3869
0.01,0.000336,0.6891,0.0732,0.6872,0.0741,0.7506,0.069,5316.3869
0.01,0.000379,0.6891,0.0732,0.6872,0.0741,0.7506,0.069,5316.3869
0.01,0.000428,0.6891,0.0732,0.6872,0.0741,0.7506,0.069,5316.3869
0.01,0.000483,0.687,0.0748,0.6851,0.0755,0.7508,0.0687,5316.3869
0.01,0.000546,0.687,0.0748,0.6851,0.0755,0.7508,0.0687,5316.3869
0.01,0.000616,0.687,0.0748,0.6851,0.0755,0.7509,0.0686,5316.3869
0.01,0.000695,0.6891,0.0732,0.6873,0.074,0.7509,0.0681,5316.3869
0.01,0.000785,0.6891,0.0732,0.6873,0.074,0.7509,0.0681,5316.3869
0.01,0.000886,0.6891,0.0732,0.6873,0.074,0.7513,0.0679,5316.3869
0.01,0.001,0.6891,0.0732,0.6873,0.074,0.7517,0.0682,5316.3869
0.013895,0.0001,0.6891,0.0732,0.6873,0.074,0.7511,0.0685,5316.3869
0.013895,0.000113,0.6891,0.0732,0.6873,0.074,0.7511,0.0682,5316.3869
0.013895,0.000127,0.6891,0.0732,0.6873,0.074,0.7511,0.0682,5316.3869
0.013895,0.000144,0.6891,0.0732,0.6872,0.0741,0.7509,0.0683,5316.3869
0.013895,0.000162,0.6891,0.0732,0.6872,0.0741,0.7508,0.0686,5316.3869
0.013895,0.000183,0.6891,0.0732,0.6872,0.0741,0.7506,0.0687,5316.3869
0.013895,0.000207,0.6891,0.0732,0.6872,0.0741,0.7506,0.0691,5316.3869
0.013895,0.000234,0.6891,0.0732,0.6872,0.0741,0.7504,0.069,5316.3869
0.013895,0.000264,0.6891,0.0732,0.6872,0.0741,0.7508,0.0684,5316.3869
0.013895,0.000298,0.6891,0.0732,0.6872,0.0741,0.7508,0.0684,5316.3869
0.013895,0.000336,0.6891,0.0732,0.6872,0.0741,0.7511,0.0683,5316.3869
0.013895,0.000379,0.6891,0.0732,0.6872,0.0741,0.7511,0.0683,5316.3869
0.013895,0.000428,0.6891,0.0732,0.6872,0.0741,0.7511,0.0683,5316.3869
0.013895,0.000483,0.6891,0.0732,0.6872,0.0741,0.7511,0.0683,5316.3869
0.013895,0.000546,0.6891,0.0732,0.6872,0.0741,0.7509,0.0684,5316.3869
0.013895,0.000616,0.687,0.0748,0.6851,0.0755,0.7511,0.0683,5316.3869
0.013895,0.000695,0.6891,0.0732,0.6873,0.074,0.7509,0.0686,5316.3869
0.013895,0.000785,0.6891,0.0732,0.6873,0.074,0.7511,0.0685,5316.3869
0.013895,0.000886,0.6891,0.0732,0.6873,0.074,0.7509,0.0681,5316.3869
0.013895,0.001,0.6891,0.0732,0.6873,0.074,0.7511,0.068,5316.3869
0.019307,0.0001,0.6913,0.0716,0.6894,0.0725,0.7511,0.0682,5316.3869
0.019307,0.000113,0.6913,0.0716,0.6894,0.0725,0.7509,0.0683,5316.3869
0.019307,0.000127,0.6891,0.0732,0.6872,0.0741,0.7506,0.0687,5316.3869
0.019307,0.000144,0.6891,0.0732,0.6872,0.0741,0.7506,0.0691,5316.3869
0.019307,0.000162,0.6891,0.0732,0.6872,0.0741,0.7506,0.0691,5316.3869
0.019307,0.000183,0.6891,0.0732,0.6872,0.0741,0.7508,0.0684,5316.3869
0.019307,0.000207,0.6891,0.0732,0.6872,0.0741,0.7508,0.0682,5316.3869
0.019307,0.000234,0.6891,0.0732,0.6872,0.0741,0.7508,0.0683,5316.3869
