alpha,gk_gamma,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std,run_time
0.01,0.0001,0.7134,0.0371,0.686,0.0511,0.7996,0.0446,5361.7298
0.01,0.000127,0.7149,0.0355,0.6881,0.0489,0.8015,0.0447,5361.7298
0.01,0.000162,0.7209,0.0352,0.696,0.0482,0.8035,0.0456,5361.7298
0.01,0.000207,0.7239,0.0332,0.7001,0.0456,0.8054,0.0474,5361.7298
0.01,0.000264,0.7254,0.0332,0.702,0.0456,0.806,0.049,5361.7298
0.01,0.000336,0.7268,0.0345,0.7038,0.0471,0.807,0.0501,5361.7298
0.01,0.000428,0.7268,0.0345,0.7038,0.0471,0.8082,0.0501,5361.7298
0.01,0.000546,0.7283,0.0364,0.7056,0.0491,0.8086,0.0499,5361.7298
0.01,0.000695,0.7298,0.0333,0.708,0.0436,0.8087,0.0477,5361.7298
0.01,0.000886,0.7254,0.0332,0.7022,0.0435,0.8074,0.0468,5361.7298
0.01,0.001129,0.7209,0.0373,0.696,0.0496,0.8065,0.0469,5361.7298
0.01,0.001438,0.7119,0.0379,0.6839,0.0526,0.8028,0.0463,5361.7298
0.01,0.001833,0.709,0.0374,0.6808,0.0511,0.7999,0.0442,5361.7298
0.01,0.002336,0.7075,0.0374,0.6785,0.0503,0.7969,0.0424,5361.7298
0.01,0.002976,0.709,0.0367,0.6797,0.0494,0.7943,0.0426,5361.7298
0.01,0.003793,0.709,0.0367,0.6797,0.0494,0.7933,0.0428,5361.7298
0.01,0.004833,0.709,0.0367,0.6797,0.0494,0.7924,0.043,5361.7298
0.01,0.006158,0.709,0.0367,0.6797,0.0494,0.7923,0.043,5361.7298
0.01,0.007848,0.709,0.0367,0.6797,0.0494,0.7923,0.043,5361.7298
0.01,0.01,0.709,0.0367,0.6797,0.0494,0.7924,0.0431,5361.7298
0.013895,0.0001,0.7149,0.0355,0.6881,0.0489,0.8021,0.0447,5361.7298
0.013895,0.000127,0.7224,0.0346,0.698,0.0474,0.804,0.0463,5361.7298
0.013895,0.000162,0.7239,0.0332,0.7001,0.0456,0.8046,0.0488,5361.7298
0.013895,0.000207,0.7254,0.0332,0.7024,0.0461,0.8055,0.0499,5361.7298
0.013895,0.000264,0.7239,0.0339,0.7012,0.0468,0.8073,0.0514,5361.7298
0.013895,0.000336,0.7239,0.0339,0.7027,0.0441,0.8082,0.0537,5361.7298
0.013895,0.000428,0.7239,0.0339,0.7027,0.0441,0.8093,0.0535,5361.7298
0.013895,0.000546,0.7283,0.0313,0.7078,0.038,0.8098,0.0528,5361.7298
0.013895,0.000695,0.7328,0.0294,0.7122,0.0372,0.8104,0.0506,5361.7298
0.013895,0.000886,0.7328,0.0294,0.7122,0.0372,0.8096,0.0483,5361.7298
0.013895,0.001129,0.7254,0.0332,0.7022,0.0435,0.8082,0.0471,5361.7298
0.013895,0.001438,0.7179,0.0362,0.6922,0.0482,0.8056,0.0463,5361.7298
0.013895,0.001833,0.709,0.0374,0.6808,0.0511,0.8015,0.0455,5361.7298
0.013895,0.002336,0.7075,0.038,0.679,0.0511,0.7978,0.0427,5361.7298
0.013895,0.002976,0.709,0.0367,0.6797,0.0494,0.7949,0.0425,5361.7298
0.013895,0.003793,0.709,0.0367,0.6797,0.0494,0.7936,0.0428,5361.7298
0.013895,0.004833,0.709,0.0367,0.6797,0.0494,0.7929,0.0429,5361.7298
0.013895,0.006158,0.709,0.0367,0.6797,0.0494,0.7924,0.043,5361.7298
0.013895,0.007848,0.709,0.0367,0.6797,0.0494,0.7924,0.0431,5361.7298
0.013895,0.01,0.709,0.0367,0.6797,0.0494,0.7924,0.0431,5361.7298
0.019307,0.0001,0.7224,0.0346,0.698,0.0474,0.8043,0.0469,5361.7298
0.019307,0.000127,0.7254,0.0332,0.702,0.0456,0.8052,0.0487,5361.7298
0.019307,0.000162,0.7239,0.0339,0.7012,0.0468,0.8065,0.0504,5361.7298
0.019307,0.000207,0.7209,0.0345,0.6996,0.0468,0.8088,0.0528,5361.7298
0.019307,0.000264,0.7239,0.0332,0.7042,0.0432,0.8082,0.0551,5361.7298
0.019307,0.000336,0.7224,0.0346,0.703,0.0444,0.8088,0.0536,5361.7298
0.019307,0.000428,0.7254,0.0346,0.7067,0.0442,0.8102,0.0544,5361.7298
0.019307,0.000546,0.7224,0.0283,0.7035,0.0352,0.811,0.0545,5361.7298
0.019307,0.000695,0.7283,0.0305,0.7081,0.0375,0.8115,0.0524,5361.7298
0.019307,0.000886,0.7328,0.0294,0.7122,0.0372,0.8128,0.0508,5361.7298
0.019307,0.001129,0.7328,0.0294,0.7122,0.0372,0.81,0.0469,5361.7298
0.019307,0.001438,0.7224,0.0353,0.6981,0.0468,0.8076,0.0472,5361.7298
0.019307,0.001833,0.7119,0.0352,0.6848,0.0478,0.8037,0.046,5361.7298
0.019307,0.002336,0.709,0.0374,0.6808,0.0511,0.7999,0.0439,5361.7298
0.019307,0.002976,0.709,0.0367,0.6797,0.0494,0.7962,0.0428,5361.7298
0.019307,0.003793,0.709,0.0367,0.6797,0.0494,0.7942,0.0429,5361.7298
0.019307,0.004833,0.709,0.0367,0.6797,0.0494,0.7931,0.0431,5361.7298
0.019307,0.006158,0.709,0.0367,0.6797,0.0494,0.7924,0.043,5361.7298
0.019307,0.007848,0.7104,0.036,0.681,0.0488,0.7925,0.0429,5361.7298
0.019307,0.01,0.709,0.0367,0.6797,0.0494,0.7925,0.0429,5361.7298
0.026827,0.0001,0.7239,0.0317,0.7006,0.0444,0.8051,0.0494,5361.7298
0.026827,0.000127,0.7239,0.0309,0.7018,0.0441,0.8068,0.0516,5361.7298
0.026827,0.000162,0.7224,0.0367,0.7019,0.049,0.8087,0.0549,5361.7298
0.026827,0.000207,0.7254,0.0332,0.707,0.0411,0.807,0.0546,5361.7298
0.026827,0.000264,0.7254,0.0367,0.7092,0.0431,0.8079,0.0554,5361.7298
