alpha,gk_gamma,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std,run_time
0.01,0.0001,0.4964,0.0232,0.4896,0.023,0.6793,0.018,11885.5337
0.01,0.000113,0.4964,0.0232,0.4896,0.023,0.6795,0.0187,11885.5337
0.01,0.000127,0.4964,0.0232,0.4896,0.023,0.6804,0.0184,11885.5337
0.01,0.000144,0.4964,0.0232,0.4896,0.023,0.6797,0.0195,11885.5337
0.01,0.000162,0.4964,0.0232,0.4896,0.023,0.6801,0.0186,11885.5337
0.01,0.000183,0.4964,0.0232,0.4896,0.023,0.6793,0.0185,11885.5337
0.01,0.000207,0.4964,0.0232,0.4896,0.023,0.679,0.0185,11885.5337
0.01,0.000234,0.4964,0.0232,0.4896,0.023,0.6797,0.019,11885.5337
0.01,0.000264,0.4964,0.0232,0.4896,0.023,0.6797,0.0187,11885.5337
0.01,0.000298,0.4964,0.0232,0.4896,0.023,0.68,0.0181,11885.5337
0.01,0.000336,0.4964,0.0232,0.4896,0.023,0.6795,0.019,11885.5337
0.01,0.000379,0.4964,0.0232,0.4896,0.023,0.6802,0.0186,11885.5337
0.01,0.000428,0.4964,0.0232,0.4896,0.023,0.6796,0.0189,11885.5337
0.01,0.000483,0.4964,0.0232,0.4896,0.023,0.6806,0.0185,11885.5337
0.01,0.000546,0.4964,0.0232,0.4896,0.023,0.68,0.0195,11885.5337
0.01,0.000616,0.4964,0.0232,0.4896,0.023,0.6791,0.0197,11885.5337
0.01,0.000695,0.4964,0.0232,0.4896,0.023,0.6799,0.0175,11885.5337
0.01,0.000785,0.4964,0.0232,0.4896,0.023,0.6792,0.019,11885.5337
0.01,0.000886,0.4964,0.0232,0.4896,0.023,0.6796,0.0178,11885.5337
0.01,0.001,0.4964,0.0232,0.4896,0.023,0.6809,0.0182,11885.5337
0.013895,0.0001,0.4964,0.0232,0.4896,0.023,0.6799,0.0185,11885.5337
0.013895,0.000113,0.4964,0.0232,0.4896,0.023,0.6793,0.0184,11885.5337
0.013895,0.000127,0.4964,0.0232,0.4896,0.023,0.6796,0.0188,11885.5337
0.013895,0.000144,0.4964,0.0232,0.4896,0.023,0.6799,0.0182,11885.5337
0.013895,0.000162,0.4964,0.0232,0.4896,0.023,0.6801,0.0188,11885.5337
0.013895,0.000183,0.4964,0.0232,0.4896,0.023,0.6805,0.0194,11885.5337
0.013895,0.000207,0.4964,0.0232,0.4896,0.023,0.6804,0.0184,11885.5337
0.013895,0.000234,0.4964,0.0232,0.4896,0.023,0.6797,0.0188,11885.5337
0.013895,0.000264,0.4964,0.0232,0.4896,0.023,0.6792,0.0206,11885.5337
0.013895,0.000298,0.4964,0.0232,0.4896,0.023,0.6802,0.0183,11885.5337
0.013895,0.000336,0.4964,0.0232,0.4896,0.023,0.6783,0.0196,11885.5337
0.013895,0.000379,0.4964,0.0232,0.4896,0.023,0.6784,0.0192,11885.5337
0.013895,0.000428,0.4964,0.0232,0.4896,0.023,0.6794,0.0192,11885.5337
