alpha,gk_gamma,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std,run_time
0.01,1e-06,0.829,0.0198,0.8289,0.0198,0.8871,0.016,1338.8409
0.01,2e-06,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.01,3e-06,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.01,4e-06,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.01,6e-06,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.01,9e-06,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.01,1.3e-05,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.01,1.8e-05,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.01,2.6e-05,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.01,3.8e-05,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.01,5.5e-05,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.01,7.8e-05,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.01,0.000113,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.01,0.000162,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.01,0.000234,0.829,0.0203,0.8289,0.0203,0.8872,0.0164,1338.8409
0.01,0.000336,0.829,0.0203,0.8289,0.0203,0.8872,0.0164,1338.8409
0.01,0.000483,0.829,0.0203,0.8289,0.0203,0.8872,0.0164,1338.8409
0.01,0.000695,0.829,0.0203,0.8289,0.0203,0.8872,0.0164,1338.8409
0.01,0.001,0.8292,0.0203,0.8291,0.0203,0.8872,0.0164,1338.8409
0.013895,1e-06,0.829,0.0198,0.8289,0.0198,0.8871,0.016,1338.8409
0.013895,2e-06,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.013895,3e-06,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.013895,4e-06,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.013895,6e-06,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.013895,9e-06,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.013895,1.3e-05,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.013895,1.8e-05,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.013895,2.6e-05,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.013895,3.8e-05,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.013895,5.5e-05,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.013895,7.8e-05,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.013895,0.000113,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.013895,0.000162,0.829,0.0203,0.8289,0.0203,0.8872,0.0164,1338.8409
0.013895,0.000234,0.829,0.0203,0.8289,0.0203,0.8872,0.0164,1338.8409
0.013895,0.000336,0.829,0.0203,0.8289,0.0203,0.8872,0.0164,1338.8409
0.013895,0.000483,0.829,0.0203,0.8289,0.0203,0.8872,0.0164,1338.8409
0.013895,0.000695,0.829,0.0203,0.8289,0.0203,0.8872,0.0164,1338.8409
0.013895,0.001,0.8292,0.0203,0.8291,0.0203,0.8872,0.0164,1338.8409
0.019307,1e-06,0.829,0.0198,0.8289,0.0198,0.8871,0.016,1338.8409
0.019307,2e-06,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.019307,3e-06,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.019307,4e-06,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.019307,6e-06,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.019307,9e-06,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.019307,1.3e-05,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.019307,1.8e-05,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.019307,2.6e-05,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.019307,3.8e-05,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.019307,5.5e-05,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.019307,7.8e-05,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.019307,0.000113,0.829,0.0203,0.8289,0.0203,0.8872,0.0164,1338.8409
0.019307,0.000162,0.829,0.0203,0.8289,0.0203,0.8872,0.0164,1338.8409
0.019307,0.000234,0.829,0.0203,0.8289,0.0203,0.8872,0.0164,1338.8409
0.019307,0.000336,0.829,0.0203,0.8289,0.0203,0.8872,0.0164,1338.8409
0.019307,0.000483,0.829,0.0203,0.8289,0.0203,0.8872,0.0164,1338.8409
0.019307,0.000695,0.8292,0.0203,0.8291,0.0203,0.8872,0.0164,1338.8409
0.019307,0.001,0.8294,0.0202,0.8292,0.0203,0.8873,0.0164,1338.8409
0.026827,1e-06,0.829,0.0198,0.8289,0.0198,0.8871,0.016,1338.8409
0.026827,2e-06,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.026827,3e-06,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.026827,4e-06,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.026827,6e-06,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.026827,9e-06,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.026827,1.3e-05,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.026827,1.8e-05,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.026827,2.6e-05,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.026827,3.8e-05,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.026827,5.5e-05,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.026827,7.8e-05,0.829,0.0203,0.8289,0.0203,0.8872,0.0164,1338.8409
0.026827,0.000113,0.829,0.0203,0.8289,0.0203,0.8872,0.0164,1338.8409
0.026827,0.000162,0.829,0.0203,0.8289,0.0203,0.8872,0.0164,1338.8409
0.026827,0.000234,0.829,0.0203,0.8289,0.0203,0.8872,0.0164,1338.8409
0.026827,0.000336,0.829,0.0203,0.8289,0.0203,0.8872,0.0164,1338.8409
0.026827,0.000483,0.8292,0.0203,0.8291,0.0203,0.8872,0.0164,1338.8409
0.026827,0.000695,0.8294,0.0202,0.8292,0.0203,0.8873,0.0164,1338.8409
0.026827,0.001,0.8294,0.0202,0.8292,0.0203,0.8874,0.0164,1338.8409
0.037276,1e-06,0.829,0.0198,0.8289,0.0198,0.8871,0.016,1338.8409
0.037276,2e-06,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.037276,3e-06,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.037276,4e-06,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.037276,6e-06,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.037276,9e-06,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.037276,1.3e-05,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.037276,1.8e-05,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.037276,2.6e-05,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.037276,3.8e-05,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.037276,5.5e-05,0.829,0.0203,0.8289,0.0203,0.8872,0.0164,1338.8409
0.037276,7.8e-05,0.829,0.0203,0.8289,0.0203,0.8872,0.0164,1338.8409
0.037276,0.000113,0.829,0.0203,0.8289,0.0203,0.8872,0.0164,1338.8409
0.037276,0.000162,0.829,0.0203,0.8289,0.0203,0.8872,0.0164,1338.8409
0.037276,0.000234,0.829,0.0203,0.8289,0.0203,0.8872,0.0164,1338.8409
0.037276,0.000336,0.8292,0.0203,0.8291,0.0203,0.8872,0.0164,1338.8409
0.037276,0.000483,0.8292,0.0203,0.8291,0.0203,0.8873,0.0164,1338.8409
0.037276,0.000695,0.8294,0.0202,0.8292,0.0203,0.8874,0.0164,1338.8409
0.037276,0.001,0.8294,0.0202,0.8292,0.0203,0.8874,0.0164,1338.8409
0.051795,1e-06,0.829,0.0198,0.8289,0.0198,0.8871,0.016,1338.8409
0.051795,2e-06,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.051795,3e-06,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.051795,4e-06,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.051795,6e-06,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.051795,9e-06,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.051795,1.3e-05,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.051795,1.8e-05,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.051795,2.6e-05,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.051795,3.8e-05,0.829,0.0203,0.8289,0.0203,0.8872,0.0164,1338.8409
0.051795,5.5e-05,0.829,0.0203,0.8289,0.0203,0.8872,0.0164,1338.8409
0.051795,7.8e-05,0.829,0.0203,0.8289,0.0203,0.8872,0.0164,1338.8409
0.051795,0.000113,0.829,0.0203,0.8289,0.0203,0.8872,0.0164,1338.8409
0.051795,0.000162,0.829,0.0203,0.8289,0.0203,0.8872,0.0164,1338.8409
0.051795,0.000234,0.8292,0.0203,0.8291,0.0203,0.8872,0.0164,1338.8409
0.051795,0.000336,0.8292,0.0203,0.8291,0.0203,0.8873,0.0164,1338.8409
0.051795,0.000483,0.8294,0.0202,0.8292,0.0203,0.8874,0.0164,1338.8409
0.051795,0.000695,0.8294,0.0202,0.8292,0.0203,0.8874,0.0164,1338.8409
0.051795,0.001,0.8295,0.0204,0.8294,0.0204,0.8876,0.0164,1338.8409
0.071969,1e-06,0.829,0.0198,0.8289,0.0198,0.8871,0.016,1338.8409
0.071969,2e-06,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.071969,3e-06,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.071969,4e-06,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.071969,6e-06,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.071969,9e-06,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.071969,1.3e-05,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.071969,1.8e-05,0.829,0.0203,0.8289,0.0203,0.8871,0.0164,1338.8409
0.071969,2.6e-05,0.829,0.0203,0.8289,0.0203,0.8872,0.0164,1338.8409
0.071969,3.8e-05,0.829,0.0203,0.8289,0.0203,0.8872,0.0164,1338.8409
0.071969,5.5e-05,0.829,0.0203,0.8289,0.0203,0.8872,0.0164,1338.8409
