alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std,run_time,selected_metric
1.0,0.000234,3,0,0.9059,0.0323,0.902,0.0333,0.9947,0.0027,64.1735,acc;f1_score;roc_auc_score
1.0,0.000264,3,0,0.9059,0.0323,0.902,0.0333,0.9947,0.0027,64.1735,acc;f1_score;roc_auc_score
1.0,0.000298,3,0,0.9059,0.0323,0.902,0.0333,0.9947,0.0027,64.1735,acc;f1_score;roc_auc_score
1.0,0.000336,3,0,0.9059,0.0323,0.902,0.0333,0.9947,0.0027,64.1735,acc;f1_score;roc_auc_score
1.0,0.000379,3,0,0.9059,0.0323,0.902,0.0333,0.9947,0.0027,64.1735,acc;f1_score;roc_auc_score
1.0,0.000428,3,0,0.9059,0.0323,0.902,0.0333,0.9947,0.0027,64.1735,acc;f1_score;roc_auc_score
1.0,0.000483,3,0,0.9059,0.0323,0.902,0.0333,0.9947,0.0027,64.1735,acc;f1_score;roc_auc_score
1.0,0.000546,3,0,0.9059,0.0323,0.902,0.0333,0.9947,0.0027,64.1735,acc;f1_score;roc_auc_score
1.0,0.000616,3,0,0.9059,0.0323,0.902,0.0333,0.9947,0.0027,64.1735,acc;f1_score;roc_auc_score
1.0,0.000695,3,0,0.9059,0.0323,0.902,0.0333,0.9947,0.0027,64.1735,acc;f1_score;roc_auc_score
1.0,0.000785,3,0,0.9059,0.0323,0.902,0.0333,0.9947,0.0027,64.1735,acc;f1_score;roc_auc_score
1.0,0.000886,3,0,0.9059,0.0323,0.902,0.0333,0.9947,0.0027,64.1735,acc;f1_score;roc_auc_score
1.0,0.001,3,0,0.9059,0.0323,0.902,0.0333,0.9947,0.0027,64.1735,acc;f1_score;roc_auc_score
