alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std,run_time,selected_metric
0.01,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245,3026.1338,acc
0.013895,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245,3026.1338,acc
0.019307,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245,3026.1338,acc
0.026827,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245,3026.1338,acc
0.037276,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245,3026.1338,acc
0.051795,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245,3026.1338,acc
0.071969,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245,3026.1338,acc
0.1,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245,3026.1338,acc
0.13895,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245,3026.1338,acc
0.19307,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245,3026.1338,acc
0.26827,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245,3026.1338,acc
0.372759,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245,3026.1338,acc
0.517947,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245,3026.1338,acc
0.719686,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245,3026.1338,acc
0.719686,0.001,3,4,0.7569,0.024,0.7549,0.0229,0.8345,0.0261,3026.1338,roc_auc_score
0.01,0.001,3,5,0.7652,0.0239,0.763,0.0227,0.8326,0.0256,3740.7295,f1_score
0.013895,0.000756,3,5,0.7652,0.0239,0.763,0.0227,0.8326,0.0256,3740.7295,f1_score
0.013895,0.00083,3,5,0.7652,0.0239,0.763,0.0227,0.8326,0.0256,3740.7295,f1_score
0.013895,0.000911,3,5,0.7652,0.0239,0.763,0.0227,0.8326,0.0256,3740.7295,f1_score
0.013895,0.001,3,5,0.7652,0.0239,0.763,0.0227,0.8326,0.0256,3740.7295,f1_score
0.019307,0.000521,3,5,0.7652,0.0239,0.763,0.0227,0.8326,0.0256,3740.7295,f1_score
