dataset,alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std
BZR_MD,0.517947,0.002976,3,1,0.6891,0.0665,0.6787,0.0704,0.7163,0.0864
BZR,1.0,0.007848,3,1,0.8852,0.0328,0.8793,0.0336,0.9094,0.0372
COX2_MD,0.719686,0.000234,3,4,0.7261,0.046,0.7244,0.0469,0.737,0.0708
COX2_MD,0.719686,0.000234,3,5,0.7261,0.046,0.7244,0.0469,0.737,0.0709
COX2,1.0,0.000379,3,7,0.8282,0.0247,0.7928,0.0356,0.8099,0.0243
DHFR_MD,0.037276,0.000207,3,0,0.7305,0.0218,0.6696,0.0419,0.726,0.0614
DHFR_MD,0.071969,0.000113,3,0,0.7305,0.0218,0.6696,0.0419,0.726,0.0608
DHFR,1.0,0.007848,3,5,0.85,0.0187,0.8476,0.0188,0.9151,0.0207
ENZYMES,1.0,0.0001,3,0,0.5866,0.0539,0.5853,0.0535,0.8556,0.0371
ENZYMES,1.0,0.000127,3,0,0.5866,0.0539,0.5853,0.0535,0.8556,0.037
ENZYMES,1.0,0.000144,3,0,0.5866,0.0539,0.5853,0.0535,0.8556,0.037
ENZYMES,1.0,0.000162,3,0,0.5866,0.0539,0.5853,0.0535,0.8556,0.0372
ENZYMES,1.0,0.000207,3,0,0.5866,0.0539,0.5853,0.0535,0.8556,0.0372
ENZYMES,1.0,0.000234,3,0,0.5866,0.0539,0.5853,0.0535,0.8556,0.0371
ER_MD,0.1,0.001129,3,0,0.7492,0.0663,0.7462,0.068,0.8066,0.0587
IMDB-BINARY,0.719686,7e-05,3,1,0.744,0.0386,0.7437,0.0386,0.8146,0.0384
IMDB-BINARY,0.719686,8.9e-05,3,1,0.744,0.0389,0.7437,0.0389,0.8146,0.0381
IMDB-MULTI,0.1,0.000234,3,4,0.5005,0.0231,0.4935,0.0232,0.6782,0.0195
MSRC_21,1.0,0.000234,3,0,0.9059,0.0323,0.902,0.0333,0.9947,0.0027
MSRC_21,1.0,0.000264,3,0,0.9059,0.0323,0.902,0.0333,0.9947,0.0027
MSRC_21,1.0,0.000298,3,0,0.9059,0.0323,0.902,0.0333,0.9947,0.0027
MSRC_21,1.0,0.000336,3,0,0.9059,0.0323,0.902,0.0333,0.9947,0.0027
MSRC_21,1.0,0.000379,3,0,0.9059,0.0323,0.902,0.0333,0.9947,0.0027
MSRC_21,1.0,0.000428,3,0,0.9059,0.0323,0.902,0.0333,0.9947,0.0027
MSRC_21,1.0,0.000483,3,0,0.9059,0.0323,0.902,0.0333,0.9947,0.0027
MSRC_21,1.0,0.000546,3,0,0.9059,0.0323,0.902,0.0333,0.9947,0.0027
MSRC_21,1.0,0.000616,3,0,0.9059,0.0323,0.902,0.0333,0.9947,0.0027
MSRC_21,1.0,0.000695,3,0,0.9059,0.0323,0.902,0.0333,0.9947,0.0027
MSRC_21,1.0,0.000785,3,0,0.9059,0.0323,0.902,0.0333,0.9947,0.0027
MSRC_21,1.0,0.000886,3,0,0.9059,0.0323,0.902,0.0333,0.9947,0.0027
MSRC_21,1.0,0.001,3,0,0.9059,0.0323,0.902,0.0333,0.9947,0.0027
MSRC_9,1.0,0.009326,3,5,0.9294,0.0345,0.9207,0.0409,0.9823,0.0066
MSRC_9,1.0,0.008111,3,6,0.9294,0.0345,0.9207,0.0409,0.9823,0.0066
MSRC_9,1.0,0.006579,3,7,0.9294,0.0345,0.9207,0.0409,0.9823,0.0066
Mutagenicity,1.0,0.000616,3,6,0.8419,0.0062,0.8419,0.0064,0.9152,0.0053
NCI109,1.0,6e-06,3,5,0.8573,0.0187,0.8571,0.0187,0.9121,0.0122
NCI1,1.0,0.000113,3,4,0.8608,0.0115,0.8606,0.0115,0.9142,0.0068
NCI1,1.0,0.000162,3,4,0.8608,0.0114,0.8606,0.0114,0.9142,0.0069
NCI1,1.0,0.000234,3,4,0.8608,0.0114,0.8606,0.0114,0.9142,0.0068
NCI1,1.0,0.000483,3,4,0.8608,0.0112,0.8606,0.0112,0.9142,0.0068
PROTEINS,0.01,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
PROTEINS,0.013895,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
PROTEINS,0.019307,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
PROTEINS,0.026827,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
PROTEINS,0.037276,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
PROTEINS,0.051795,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
PROTEINS,0.071969,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
PROTEINS,0.1,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
PROTEINS,0.13895,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
PROTEINS,0.19307,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
PROTEINS,0.26827,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
PROTEINS,0.372759,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
PROTEINS,0.517947,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
PROTEINS,0.719686,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
