alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std
0.01,0.002976,3,1,0.6652,0.0504,0.6645,0.0508,0.6921,0.0704
0.013895,0.002976,3,1,0.6652,0.0504,0.6644,0.0507,0.6932,0.0702
0.019307,0.002976,3,1,0.6652,0.0534,0.6644,0.0538,0.6944,0.0701
0.026827,0.002976,3,1,0.6717,0.0507,0.671,0.0509,0.6965,0.0698
0.037276,0.002976,3,1,0.6739,0.0552,0.6732,0.0556,0.6994,0.0714
0.051795,0.002976,3,1,0.6761,0.0565,0.6753,0.0569,0.7021,0.0702
0.071969,0.002976,3,1,0.6674,0.0607,0.6664,0.0611,0.7024,0.0735
0.1,0.002976,3,1,0.6565,0.0752,0.6553,0.0756,0.7042,0.0767
0.13895,0.002976,3,1,0.6587,0.0851,0.6575,0.0853,0.7051,0.0772
0.19307,0.002976,3,1,0.6674,0.0794,0.6642,0.0803,0.7092,0.0721
0.26827,0.002976,3,1,0.6652,0.0894,0.6592,0.0917,0.7124,0.0751
0.372759,0.002976,3,1,0.6739,0.0687,0.6658,0.0728,0.7144,0.0821
0.517947,0.002976,3,1,0.6891,0.0665,0.6787,0.0704,0.7163,0.0864
0.719686,0.002976,3,1,0.6652,0.0754,0.6446,0.0859,0.7121,0.0892
1.0,0.002976,3,1,0.6239,0.0717,0.5886,0.0877,0.6653,0.0998
