alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std
0.01,0.007848,3,1,0.877,0.0347,0.8683,0.0399,0.8745,0.0444
0.013895,0.007848,3,1,0.877,0.0347,0.8683,0.0399,0.8745,0.0442
0.019307,0.007848,3,1,0.877,0.0347,0.8683,0.0399,0.8745,0.0441
0.026827,0.007848,3,1,0.877,0.0347,0.8683,0.0399,0.8758,0.0433
0.037276,0.007848,3,1,0.877,0.0372,0.8689,0.0417,0.8764,0.0428
0.051795,0.007848,3,1,0.8787,0.0364,0.8704,0.0405,0.8771,0.0426
0.071969,0.007848,3,1,0.8803,0.0346,0.8718,0.0394,0.8779,0.0417
0.1,0.007848,3,1,0.8803,0.0346,0.8718,0.0394,0.8808,0.0404
0.13895,0.007848,3,1,0.8787,0.0364,0.8704,0.0405,0.8812,0.0399
0.19307,0.007848,3,1,0.8803,0.0363,0.8727,0.0395,0.8832,0.0379
0.26827,0.007848,3,1,0.8803,0.0371,0.8735,0.0384,0.887,0.0382
0.372759,0.007848,3,1,0.8803,0.0371,0.8735,0.0384,0.8896,0.037
0.517947,0.007848,3,1,0.8787,0.0347,0.8714,0.0361,0.8939,0.0382
0.719686,0.007848,3,1,0.882,0.0344,0.8754,0.0355,0.9021,0.0392
1.0,0.007848,3,1,0.8852,0.0328,0.8793,0.0336,0.9094,0.0372
