alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std
0.01,0.000234,3,4,0.6891,0.0732,0.6873,0.074,0.7511,0.0687
0.013895,0.000234,3,4,0.6913,0.0716,0.6894,0.0725,0.7506,0.0688
0.019307,0.000234,3,4,0.6891,0.0665,0.6873,0.0675,0.7509,0.0681
0.026827,0.000234,3,4,0.6891,0.0665,0.6873,0.0675,0.7508,0.0681
0.037276,0.000234,3,4,0.6891,0.0665,0.6873,0.0675,0.7508,0.0687
0.051795,0.000234,3,4,0.6848,0.0634,0.683,0.0645,0.7496,0.0695
0.071969,0.000234,3,4,0.6848,0.0634,0.683,0.0645,0.7502,0.0691
0.1,0.000234,3,4,0.687,0.0608,0.6854,0.0614,0.749,0.0694
0.13895,0.000234,3,4,0.6848,0.0505,0.6832,0.0512,0.7494,0.0709
0.19307,0.000234,3,4,0.6891,0.047,0.6877,0.0474,0.7476,0.0719
0.26827,0.000234,3,4,0.6935,0.0475,0.692,0.048,0.7454,0.0711
0.372759,0.000234,3,4,0.7044,0.0554,0.7027,0.056,0.7428,0.0725
0.517947,0.000234,3,4,0.7152,0.0486,0.7133,0.0497,0.7391,0.0727
0.719686,0.000234,3,4,0.7261,0.046,0.7244,0.0469,0.737,0.0708
1.0,0.000234,3,4,0.7218,0.053,0.7198,0.0541,0.7358,0.072
0.01,0.000234,3,5,0.6891,0.0732,0.6872,0.0741,0.7509,0.0683
0.013895,0.000234,3,5,0.6891,0.0732,0.6872,0.0741,0.7504,0.069
0.019307,0.000234,3,5,0.6891,0.0732,0.6872,0.0741,0.7508,0.0683
0.026827,0.000234,3,5,0.687,0.0681,0.6851,0.0691,0.7506,0.0683
0.037276,0.000234,3,5,0.687,0.0681,0.6851,0.0691,0.7506,0.0692
0.051795,0.000234,3,5,0.6848,0.0634,0.683,0.0645,0.7494,0.0693
0.071969,0.000234,3,5,0.6848,0.0634,0.683,0.0645,0.7502,0.0691
0.1,0.000234,3,5,0.687,0.0608,0.6854,0.0614,0.749,0.0698
0.13895,0.000234,3,5,0.6848,0.0505,0.6832,0.0512,0.7494,0.0709
0.19307,0.000234,3,5,0.6891,0.047,0.6877,0.0474,0.7472,0.0716
0.26827,0.000234,3,5,0.6935,0.0475,0.692,0.048,0.745,0.071
0.372759,0.000234,3,5,0.7044,0.0554,0.7027,0.056,0.7426,0.073
0.517947,0.000234,3,5,0.7152,0.0486,0.7133,0.0497,0.7389,0.073
0.719686,0.000234,3,5,0.7261,0.046,0.7244,0.0469,0.737,0.0709
1.0,0.000234,3,5,0.7218,0.053,0.7198,0.0541,0.7353,0.0714
