alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std
0.01,0.000379,3,7,0.8042,0.0253,0.7588,0.0327,0.7722,0.0391
0.013895,0.000379,3,7,0.8042,0.0253,0.7588,0.0327,0.7722,0.0391
0.019307,0.000379,3,7,0.8042,0.0253,0.7588,0.0327,0.7722,0.0391
0.026827,0.000379,3,7,0.8042,0.0253,0.7588,0.0327,0.7721,0.0391
0.037276,0.000379,3,7,0.8042,0.0253,0.7588,0.0327,0.7722,0.0391
0.051795,0.000379,3,7,0.8042,0.0253,0.7588,0.0327,0.7722,0.0391
0.071969,0.000379,3,7,0.8042,0.0253,0.7588,0.0327,0.7722,0.0391
0.1,0.000379,3,7,0.8042,0.0253,0.7588,0.0327,0.7722,0.0393
0.13895,0.000379,3,7,0.8028,0.0266,0.7578,0.0338,0.7722,0.0392
0.19307,0.000379,3,7,0.8028,0.0266,0.7578,0.0338,0.7723,0.039
0.26827,0.000379,3,7,0.8028,0.0266,0.7578,0.0338,0.773,0.0387
0.372759,0.000379,3,7,0.8028,0.0266,0.7578,0.0338,0.774,0.0382
0.517947,0.000379,3,7,0.8056,0.028,0.7627,0.0351,0.7765,0.0374
0.719686,0.000379,3,7,0.8113,0.0268,0.7705,0.036,0.7812,0.0372
1.0,0.000379,3,7,0.8282,0.0247,0.7928,0.0356,0.8099,0.0243
