alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std
0.01,0.000207,3,0,0.7254,0.0223,0.6601,0.0473,0.7209,0.0577
0.013895,0.000207,3,0,0.7254,0.0223,0.6601,0.0473,0.7218,0.0588
0.019307,0.000207,3,0,0.7271,0.0203,0.6636,0.0422,0.7244,0.0592
0.026827,0.000207,3,0,0.7271,0.0203,0.6636,0.0422,0.7246,0.0602
0.037276,0.000207,3,0,0.7305,0.0218,0.6696,0.0419,0.726,0.0614
0.051795,0.000207,3,0,0.7288,0.0226,0.6684,0.0421,0.7271,0.0598
0.071969,0.000207,3,0,0.7254,0.025,0.6659,0.0432,0.73,0.0594
0.1,0.000207,3,0,0.7254,0.025,0.6659,0.0432,0.7325,0.0614
0.13895,0.000207,3,0,0.7254,0.0208,0.6677,0.0383,0.7355,0.0606
0.19307,0.000207,3,0,0.722,0.0229,0.6654,0.0406,0.7382,0.0583
0.26827,0.000207,3,0,0.722,0.0229,0.6654,0.0406,0.7409,0.0584
0.372759,0.000207,3,0,0.7187,0.0199,0.6626,0.0375,0.7402,0.0573
0.517947,0.000207,3,0,0.717,0.0212,0.6612,0.0374,0.7415,0.0572
0.719686,0.000207,3,0,0.717,0.0212,0.661,0.0353,0.7378,0.0576
1.0,0.000207,3,0,0.7085,0.0237,0.6388,0.0403,0.6901,0.0924
0.01,0.000113,3,0,0.7254,0.0223,0.6601,0.0473,0.719,0.0568
0.013895,0.000113,3,0,0.7254,0.0223,0.6601,0.0473,0.72,0.0574
0.019307,0.000113,3,0,0.7254,0.0223,0.6601,0.0473,0.7206,0.0575
0.026827,0.000113,3,0,0.7254,0.0223,0.6601,0.0473,0.7219,0.0588
0.037276,0.000113,3,0,0.7271,0.0203,0.6636,0.0422,0.7245,0.0585
0.051795,0.000113,3,0,0.7271,0.0203,0.6636,0.0422,0.7242,0.0601
0.071969,0.000113,3,0,0.7305,0.0218,0.6696,0.0419,0.726,0.0608
0.1,0.000113,3,0,0.7288,0.0226,0.6684,0.0421,0.7271,0.0597
0.13895,0.000113,3,0,0.7254,0.025,0.6659,0.0432,0.7303,0.0599
0.19307,0.000113,3,0,0.7237,0.0227,0.6645,0.0418,0.7325,0.0616
0.26827,0.000113,3,0,0.7254,0.0208,0.6677,0.0383,0.7351,0.0608
0.372759,0.000113,3,0,0.722,0.0229,0.6654,0.0406,0.7392,0.0585
0.517947,0.000113,3,0,0.7187,0.0199,0.6626,0.0375,0.74,0.0586
0.719686,0.000113,3,0,0.717,0.0212,0.6612,0.0374,0.7395,0.0562
1.0,0.000113,3,0,0.7068,0.0197,0.6374,0.0372,0.685,0.0816
