alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std
0.01,0.007848,3,5,0.8167,0.0311,0.8139,0.0313,0.8938,0.0344
0.013895,0.007848,3,5,0.8167,0.0311,0.8139,0.0313,0.8942,0.0342
0.019307,0.007848,3,5,0.8167,0.0311,0.8139,0.0313,0.8944,0.0344
0.026827,0.007848,3,5,0.8167,0.0311,0.8139,0.0313,0.8947,0.0344
0.037276,0.007848,3,5,0.8167,0.0319,0.8141,0.0322,0.8951,0.0344
0.051795,0.007848,3,5,0.8184,0.0336,0.8158,0.0339,0.8956,0.0342
0.071969,0.007848,3,5,0.8202,0.0329,0.8174,0.0334,0.8963,0.0338
0.1,0.007848,3,5,0.8228,0.0338,0.8201,0.0344,0.8975,0.0333
0.13895,0.007848,3,5,0.8246,0.0312,0.822,0.0314,0.899,0.0324
0.19307,0.007848,3,5,0.8289,0.0329,0.8264,0.0333,0.9011,0.0312
0.26827,0.007848,3,5,0.8316,0.035,0.8292,0.0352,0.9037,0.0296
0.372759,0.007848,3,5,0.8395,0.0274,0.837,0.0279,0.9066,0.0293
0.517947,0.007848,3,5,0.8447,0.0255,0.8425,0.0256,0.9106,0.0267
0.719686,0.007848,3,5,0.8447,0.023,0.8422,0.0233,0.9138,0.0248
1.0,0.007848,3,5,0.85,0.0187,0.8476,0.0188,0.9151,0.0207
