alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std
0.01,0.0001,3,0,0.4122,0.0636,0.4023,0.0637,0.7473,0.0456
0.013895,0.0001,3,0,0.4122,0.0636,0.4023,0.0637,0.7473,0.0456
0.019307,0.0001,3,0,0.4122,0.0636,0.4023,0.0637,0.7474,0.0456
0.026827,0.0001,3,0,0.4122,0.0636,0.4023,0.0637,0.7474,0.0456
0.037276,0.0001,3,0,0.4122,0.0636,0.4023,0.0637,0.7474,0.0456
0.051795,0.0001,3,0,0.4122,0.0636,0.4023,0.0637,0.7475,0.0456
0.071969,0.0001,3,0,0.4122,0.0636,0.4023,0.0637,0.7476,0.0457
0.1,0.0001,3,0,0.4122,0.0636,0.4023,0.0637,0.7476,0.0457
0.13895,0.0001,3,0,0.4122,0.0636,0.4023,0.0637,0.7478,0.0458
0.19307,0.0001,3,0,0.4122,0.0636,0.4023,0.0637,0.7479,0.0458
0.26827,0.0001,3,0,0.4144,0.0663,0.4046,0.0666,0.7482,0.0458
0.372759,0.0001,3,0,0.4156,0.0675,0.4061,0.0682,0.7489,0.0459
0.517947,0.0001,3,0,0.42,0.0673,0.411,0.0677,0.75,0.046
0.719686,0.0001,3,0,0.4222,0.0679,0.4129,0.0684,0.7529,0.0461
1.0,0.0001,3,0,0.5866,0.0539,0.5853,0.0535,0.8556,0.0371
0.01,0.000127,3,0,0.4122,0.0636,0.4023,0.0637,0.7473,0.0456
0.013895,0.000127,3,0,0.4122,0.0636,0.4023,0.0637,0.7474,0.0456
0.019307,0.000127,3,0,0.4122,0.0636,0.4023,0.0637,0.7474,0.0456
0.026827,0.000127,3,0,0.4122,0.0636,0.4023,0.0637,0.7474,0.0456
0.037276,0.000127,3,0,0.4122,0.0636,0.4023,0.0637,0.7475,0.0456
0.051795,0.000127,3,0,0.4122,0.0636,0.4023,0.0637,0.7476,0.0457
0.071969,0.000127,3,0,0.4122,0.0636,0.4023,0.0637,0.7476,0.0457
0.1,0.000127,3,0,0.4122,0.0636,0.4023,0.0637,0.7477,0.0458
0.13895,0.000127,3,0,0.4122,0.0636,0.4023,0.0637,0.7478,0.0458
0.19307,0.000127,3,0,0.4133,0.0652,0.4034,0.0655,0.748,0.0458
0.26827,0.000127,3,0,0.4156,0.0675,0.4061,0.0682,0.7484,0.0458
0.372759,0.000127,3,0,0.4178,0.0671,0.4083,0.0675,0.7492,0.046
0.517947,0.000127,3,0,0.42,0.0673,0.411,0.0677,0.7507,0.0461
0.719686,0.000127,3,0,0.4267,0.0691,0.4179,0.069,0.7541,0.0462
1.0,0.000127,3,0,0.5866,0.0539,0.5853,0.0535,0.8556,0.037
0.01,0.000144,3,0,0.4122,0.0636,0.4023,0.0637,0.7473,0.0456
0.013895,0.000144,3,0,0.4122,0.0636,0.4023,0.0637,0.7474,0.0456
0.019307,0.000144,3,0,0.4122,0.0636,0.4023,0.0637,0.7474,0.0456
0.026827,0.000144,3,0,0.4122,0.0636,0.4023,0.0637,0.7474,0.0456
0.037276,0.000144,3,0,0.4122,0.0636,0.4023,0.0637,0.7476,0.0456
0.051795,0.000144,3,0,0.4122,0.0636,0.4023,0.0637,0.7476,0.0457
0.071969,0.000144,3,0,0.4122,0.0636,0.4023,0.0637,0.7476,0.0457
0.1,0.000144,3,0,0.4122,0.0636,0.4023,0.0637,0.7478,0.0458
0.13895,0.000144,3,0,0.4122,0.0636,0.4023,0.0637,0.7479,0.0458
0.19307,0.000144,3,0,0.4144,0.0663,0.4046,0.0666,0.7481,0.0458
0.26827,0.000144,3,0,0.4156,0.0675,0.4061,0.0682,0.7486,0.0459
0.372759,0.000144,3,0,0.42,0.0673,0.411,0.0677,0.7494,0.046
0.517947,0.000144,3,0,0.42,0.0673,0.411,0.0676,0.751,0.0461
0.719686,0.000144,3,0,0.4278,0.0688,0.4197,0.068,0.7549,0.0463
1.0,0.000144,3,0,0.5866,0.0539,0.5853,0.0535,0.8556,0.037
0.01,0.000162,3,0,0.4122,0.0636,0.4023,0.0637,0.7474,0.0456
0.013895,0.000162,3,0,0.4122,0.0636,0.4023,0.0637,0.7474,0.0456
0.019307,0.000162,3,0,0.4122,0.0636,0.4023,0.0637,0.7474,0.0456
0.026827,0.000162,3,0,0.4122,0.0636,0.4023,0.0637,0.7474,0.0456
0.037276,0.000162,3,0,0.4122,0.0636,0.4023,0.0637,0.7476,0.0457
0.051795,0.000162,3,0,0.4122,0.0636,0.4023,0.0637,0.7476,0.0457
0.071969,0.000162,3,0,0.4122,0.0636,0.4023,0.0637,0.7477,0.0457
0.1,0.000162,3,0,0.4122,0.0636,0.4023,0.0637,0.7478,0.0458
0.13895,0.000162,3,0,0.4122,0.0636,0.4023,0.0637,0.7479,0.0458
0.19307,0.000162,3,0,0.4144,0.0663,0.4046,0.0666,0.7482,0.0457
0.26827,0.000162,3,0,0.4156,0.0675,0.4061,0.0682,0.7489,0.0459
0.372759,0.000162,3,0,0.42,0.0673,0.411,0.0677,0.7497,0.0459
0.517947,0.000162,3,0,0.42,0.0673,0.411,0.0676,0.7513,0.046
0.719686,0.000162,3,0,0.43,0.0709,0.4218,0.0702,0.756,0.0461
1.0,0.000162,3,0,0.5866,0.0539,0.5853,0.0535,0.8556,0.0372
0.01,0.000207,3,0,0.4122,0.0636,0.4023,0.0637,0.7474,0.0456
0.013895,0.000207,3,0,0.4122,0.0636,0.4023,0.0637,0.7474,0.0456
0.019307,0.000207,3,0,0.4122,0.0636,0.4023,0.0637,0.7474,0.0456
0.026827,0.000207,3,0,0.4122,0.0636,0.4023,0.0637,0.7476,0.0456
0.037276,0.000207,3,0,0.4122,0.0636,0.4023,0.0637,0.7476,0.0457
0.051795,0.000207,3,0,0.4122,0.0636,0.4023,0.0637,0.7476,0.0457
0.071969,0.000207,3,0,0.4122,0.0636,0.4023,0.0637,0.7478,0.0458
0.1,0.000207,3,0,0.4122,0.0636,0.4023,0.0637,0.7479,0.0458
0.13895,0.000207,3,0,0.4133,0.0652,0.4035,0.0655,0.748,0.0458
0.19307,0.000207,3,0,0.4156,0.0675,0.4061,0.0682,0.7485,0.0459
0.26827,0.000207,3,0,0.4178,0.0671,0.4083,0.0675,0.7492,0.046
0.372759,0.000207,3,0,0.42,0.0673,0.411,0.0677,0.7503,0.046
0.517947,0.000207,3,0,0.4211,0.0684,0.412,0.0689,0.7524,0.0463
0.719686,0.000207,3,0,0.4289,0.0721,0.4212,0.0717,0.7583,0.0455
1.0,0.000207,3,0,0.5866,0.0539,0.5853,0.0535,0.8556,0.0372
0.01,0.000234,3,0,0.4122,0.0636,0.4023,0.0637,0.7474,0.0456
0.013895,0.000234,3,0,0.4122,0.0636,0.4023,0.0637,0.7474,0.0456
0.019307,0.000234,3,0,0.4122,0.0636,0.4023,0.0637,0.7475,0.0456
0.026827,0.000234,3,0,0.4122,0.0636,0.4023,0.0637,0.7476,0.0457
0.037276,0.000234,3,0,0.4122,0.0636,0.4023,0.0637,0.7476,0.0457
0.051795,0.000234,3,0,0.4122,0.0636,0.4023,0.0637,0.7477,0.0458
0.071969,0.000234,3,0,0.4122,0.0636,0.4023,0.0637,0.7478,0.0458
0.1,0.000234,3,0,0.4122,0.0636,0.4023,0.0637,0.7479,0.0459
0.13895,0.000234,3,0,0.4144,0.0663,0.4046,0.0666,0.7482,0.0458
0.19307,0.000234,3,0,0.4156,0.0675,0.4061,0.0682,0.7487,0.046
0.26827,0.000234,3,0,0.42,0.0673,0.411,0.0677,0.7494,0.046
0.372759,0.000234,3,0,0.42,0.0673,0.411,0.0677,0.7507,0.0461
0.517947,0.000234,3,0,0.4222,0.0679,0.4129,0.0684,0.7528,0.0462
0.719686,0.000234,3,0,0.4289,0.0728,0.4209,0.0721,0.7596,0.0457
1.0,0.000234,3,0,0.5866,0.0539,0.5853,0.0535,0.8556,0.0371
