alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std
0.01,0.001129,3,0,0.7284,0.035,0.7103,0.0429,0.8043,0.0527
0.013895,0.001129,3,0,0.7254,0.0441,0.7081,0.0508,0.8073,0.0531
0.019307,0.001129,3,0,0.7209,0.0462,0.7056,0.0525,0.8099,0.0543
0.026827,0.001129,3,0,0.7343,0.0466,0.7221,0.054,0.8107,0.0561
0.037276,0.001129,3,0,0.7433,0.0516,0.7347,0.0568,0.8104,0.0567
0.051795,0.001129,3,0,0.7418,0.0478,0.7352,0.0517,0.8101,0.0574
0.071969,0.001129,3,0,0.7448,0.0565,0.7408,0.0584,0.809,0.0581
0.1,0.001129,3,0,0.7492,0.0663,0.7462,0.068,0.8066,0.0587
0.13895,0.001129,3,0,0.7403,0.0606,0.7379,0.0623,0.8032,0.0588
0.19307,0.001129,3,0,0.7268,0.0536,0.7248,0.0555,0.801,0.0579
0.26827,0.001129,3,0,0.7254,0.0541,0.7234,0.0559,0.7973,0.0576
0.372759,0.001129,3,0,0.7194,0.0516,0.7172,0.0528,0.7956,0.0581
0.517947,0.001129,3,0,0.7179,0.0547,0.7157,0.0558,0.7913,0.0562
0.719686,0.001129,3,0,0.7209,0.0589,0.7179,0.0599,0.7873,0.0536
1.0,0.001129,3,0,0.6955,0.0694,0.6763,0.0812,0.7569,0.0638
