alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std
0.01,7e-05,3,1,0.7413,0.0358,0.741,0.0357,0.815,0.0381
0.013895,7e-05,3,1,0.7413,0.0358,0.741,0.0357,0.8149,0.0382
0.019307,7e-05,3,1,0.7413,0.0358,0.741,0.0357,0.8149,0.0382
0.026827,7e-05,3,1,0.7413,0.0358,0.741,0.0357,0.815,0.0381
0.037276,7e-05,3,1,0.7413,0.0358,0.741,0.0357,0.8151,0.0381
0.051795,7e-05,3,1,0.7407,0.036,0.7403,0.036,0.815,0.0383
0.071969,7e-05,3,1,0.7407,0.036,0.7403,0.036,0.815,0.0381
0.1,7e-05,3,1,0.7407,0.0374,0.7403,0.0373,0.8151,0.0384
0.13895,7e-05,3,1,0.7407,0.0374,0.7403,0.0373,0.815,0.0382
0.19307,7e-05,3,1,0.7407,0.0382,0.7403,0.0381,0.815,0.0381
0.26827,7e-05,3,1,0.7413,0.0392,0.741,0.0392,0.8149,0.0378
0.372759,7e-05,3,1,0.7413,0.0392,0.741,0.0392,0.8145,0.0379
0.517947,7e-05,3,1,0.7427,0.0379,0.7423,0.0378,0.8146,0.0381
0.719686,7e-05,3,1,0.744,0.0386,0.7437,0.0386,0.8146,0.0384
1.0,7e-05,3,1,0.7373,0.0401,0.737,0.0401,0.7881,0.0407
0.01,8.9e-05,3,1,0.7413,0.0358,0.741,0.0357,0.815,0.0381
0.013895,8.9e-05,3,1,0.7413,0.0358,0.741,0.0357,0.815,0.0381
0.019307,8.9e-05,3,1,0.7413,0.0358,0.741,0.0357,0.815,0.0381
0.026827,8.9e-05,3,1,0.7413,0.0358,0.741,0.0357,0.815,0.038
0.037276,8.9e-05,3,1,0.7407,0.036,0.7403,0.036,0.8149,0.0382
0.051795,8.9e-05,3,1,0.7407,0.036,0.7403,0.036,0.8152,0.0378
0.071969,8.9e-05,3,1,0.74,0.0372,0.7397,0.0371,0.8149,0.038
0.1,8.9e-05,3,1,0.7407,0.0374,0.7403,0.0373,0.815,0.0382
0.13895,8.9e-05,3,1,0.7407,0.0382,0.7403,0.0381,0.8153,0.0383
0.19307,8.9e-05,3,1,0.7407,0.0382,0.7403,0.0381,0.815,0.0381
0.26827,8.9e-05,3,1,0.7413,0.0392,0.741,0.0392,0.8147,0.038
0.372759,8.9e-05,3,1,0.7413,0.039,0.741,0.0389,0.8147,0.0382
0.517947,8.9e-05,3,1,0.7427,0.0379,0.7423,0.0378,0.8145,0.0384
0.719686,8.9e-05,3,1,0.744,0.0389,0.7437,0.0389,0.8146,0.0381
1.0,8.9e-05,3,1,0.7373,0.0401,0.737,0.0401,0.7881,0.0403
