alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std
0.01,0.000234,3,4,0.4987,0.0238,0.4919,0.0239,0.6799,0.0183
0.013895,0.000234,3,4,0.4987,0.0238,0.4919,0.0239,0.6789,0.0194
0.019307,0.000234,3,4,0.4987,0.0238,0.4919,0.0239,0.6787,0.0192
0.026827,0.000234,3,4,0.4982,0.024,0.4915,0.0242,0.6797,0.0203
0.037276,0.000234,3,4,0.4982,0.024,0.4915,0.0242,0.6778,0.0207
0.051795,0.000234,3,4,0.4982,0.024,0.4915,0.0242,0.6791,0.0197
0.071969,0.000234,3,4,0.4996,0.0242,0.4927,0.0242,0.6765,0.0204
0.1,0.000234,3,4,0.5005,0.0231,0.4935,0.0232,0.6782,0.0195
0.13895,0.000234,3,4,0.4987,0.0225,0.4915,0.0228,0.6752,0.0184
0.19307,0.000234,3,4,0.4991,0.0223,0.492,0.0224,0.6774,0.0193
0.26827,0.000234,3,4,0.4978,0.0234,0.4906,0.0236,0.6798,0.0223
0.372759,0.000234,3,4,0.4978,0.0231,0.4907,0.0232,0.6781,0.0215
0.517947,0.000234,3,4,0.4965,0.0236,0.4893,0.0236,0.6786,0.0223
0.719686,0.000234,3,4,0.4929,0.0221,0.4856,0.022,0.6758,0.0204
1.0,0.000234,3,4,0.3827,0.0284,0.3506,0.0542,0.5665,0.0343
