alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std
0.01,0.009326,3,5,0.8794,0.0324,0.8646,0.0345,0.9781,0.0086
0.013895,0.009326,3,5,0.8794,0.0324,0.8646,0.0345,0.9781,0.0086
0.019307,0.009326,3,5,0.8794,0.0324,0.8646,0.0345,0.9781,0.0086
0.026827,0.009326,3,5,0.8794,0.0324,0.8646,0.0345,0.9781,0.0086
0.037276,0.009326,3,5,0.8824,0.0367,0.8697,0.0407,0.9782,0.0084
0.051795,0.009326,3,5,0.8853,0.0426,0.8733,0.0479,0.9783,0.0084
0.071969,0.009326,3,5,0.8853,0.0426,0.8733,0.0479,0.9783,0.0084
0.1,0.009326,3,5,0.8882,0.0411,0.8763,0.0453,0.9783,0.0084
0.13895,0.009326,3,5,0.8882,0.0411,0.8763,0.0453,0.9784,0.0084
0.19307,0.009326,3,5,0.8882,0.0411,0.8763,0.0453,0.9787,0.0085
0.26827,0.009326,3,5,0.8912,0.044,0.8794,0.0487,0.9787,0.0085
0.372759,0.009326,3,5,0.8912,0.044,0.8794,0.0487,0.979,0.0085
0.517947,0.009326,3,5,0.8971,0.0422,0.8854,0.0483,0.9796,0.0083
0.719686,0.009326,3,5,0.903,0.0393,0.8913,0.0459,0.98,0.0083
1.0,0.009326,3,5,0.9294,0.0345,0.9207,0.0409,0.9823,0.0066
0.01,0.008111,3,6,0.8794,0.0324,0.8646,0.0345,0.9781,0.0086
0.013895,0.008111,3,6,0.8794,0.0324,0.8646,0.0345,0.9781,0.0086
0.019307,0.008111,3,6,0.8794,0.0324,0.8646,0.0345,0.9781,0.0086
0.026827,0.008111,3,6,0.8794,0.0324,0.8646,0.0345,0.9781,0.0086
0.037276,0.008111,3,6,0.8794,0.0324,0.8646,0.0345,0.9782,0.0087
0.051795,0.008111,3,6,0.8794,0.0324,0.8646,0.0345,0.9782,0.0087
0.071969,0.008111,3,6,0.8794,0.0324,0.8646,0.0345,0.9783,0.0084
0.1,0.008111,3,6,0.8853,0.0352,0.8727,0.0379,0.9783,0.0084
0.13895,0.008111,3,6,0.8882,0.0411,0.8763,0.0453,0.9783,0.0084
0.19307,0.008111,3,6,0.8882,0.0411,0.8763,0.0453,0.9787,0.0085
0.26827,0.008111,3,6,0.8882,0.0411,0.8763,0.0453,0.9787,0.0085
0.372759,0.008111,3,6,0.8912,0.044,0.8794,0.0487,0.9789,0.0083
0.517947,0.008111,3,6,0.8971,0.0422,0.8854,0.0483,0.9795,0.0084
0.719686,0.008111,3,6,0.903,0.0393,0.8913,0.0459,0.9796,0.0083
1.0,0.008111,3,6,0.9294,0.0345,0.9207,0.0409,0.9823,0.0066
0.01,0.006579,3,7,0.8794,0.0324,0.8646,0.0345,0.9781,0.0086
0.013895,0.006579,3,7,0.8794,0.0324,0.8646,0.0345,0.9781,0.0086
0.019307,0.006579,3,7,0.8794,0.0324,0.8646,0.0345,0.9782,0.0087
0.026827,0.006579,3,7,0.8794,0.0324,0.8646,0.0345,0.9782,0.0087
0.037276,0.006579,3,7,0.8794,0.0324,0.8646,0.0345,0.9782,0.0087
0.051795,0.006579,3,7,0.8794,0.0324,0.8646,0.0345,0.9782,0.0087
0.071969,0.006579,3,7,0.8794,0.0324,0.8646,0.0345,0.9782,0.0087
0.1,0.006579,3,7,0.8794,0.0324,0.8646,0.0345,0.9783,0.0084
0.13895,0.006579,3,7,0.8824,0.031,0.8676,0.0316,0.9783,0.0084
0.19307,0.006579,3,7,0.8882,0.0411,0.8763,0.0453,0.9787,0.0085
0.26827,0.006579,3,7,0.8882,0.0411,0.8763,0.0453,0.9786,0.0086
0.372759,0.006579,3,7,0.8912,0.044,0.8794,0.0487,0.9788,0.0085
0.517947,0.006579,3,7,0.8941,0.0421,0.8824,0.0476,0.9796,0.0084
0.719686,0.006579,3,7,0.903,0.0393,0.8913,0.0459,0.9797,0.0083
1.0,0.006579,3,7,0.9294,0.0345,0.9207,0.0409,0.9823,0.0066
