alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std
0.01,0.000616,3,6,0.8146,0.0089,0.8144,0.0089,0.8884,0.0066
0.013895,0.000616,3,6,0.8148,0.009,0.8146,0.009,0.8884,0.0066
0.019307,0.000616,3,6,0.8148,0.009,0.8146,0.009,0.8885,0.0066
0.026827,0.000616,3,6,0.8149,0.0087,0.8147,0.0087,0.8885,0.0066
0.037276,0.000616,3,6,0.8148,0.0089,0.8146,0.0089,0.8886,0.0066
0.051795,0.000616,3,6,0.8152,0.0091,0.815,0.0091,0.8887,0.0066
0.071969,0.000616,3,6,0.8152,0.0091,0.815,0.0092,0.8889,0.0066
0.1,0.000616,3,6,0.8152,0.0091,0.815,0.0092,0.8891,0.0065
0.13895,0.000616,3,6,0.8155,0.0093,0.8153,0.0093,0.8896,0.0065
0.19307,0.000616,3,6,0.8169,0.0076,0.8168,0.0076,0.8901,0.0065
0.26827,0.000616,3,6,0.8166,0.0079,0.8164,0.0079,0.891,0.0065
0.372759,0.000616,3,6,0.8178,0.0074,0.8177,0.0075,0.8925,0.0065
0.517947,0.000616,3,6,0.8198,0.0074,0.8197,0.0075,0.8953,0.0063
0.719686,0.000616,3,6,0.8287,0.0077,0.8285,0.0078,0.9009,0.0063
1.0,0.000616,3,6,0.8419,0.0062,0.8419,0.0064,0.9152,0.0053
