alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std
0.01,6e-06,3,5,0.8277,0.0201,0.8276,0.0201,0.8868,0.0172
0.013895,6e-06,3,5,0.8277,0.0201,0.8276,0.0201,0.8868,0.0172
0.019307,6e-06,3,5,0.8277,0.0201,0.8276,0.0201,0.8868,0.0172
0.026827,6e-06,3,5,0.8277,0.0201,0.8276,0.0201,0.8868,0.0172
0.037276,6e-06,3,5,0.8277,0.0201,0.8276,0.0201,0.8868,0.0172
0.051795,6e-06,3,5,0.8277,0.0201,0.8276,0.0201,0.8868,0.0172
0.071969,6e-06,3,5,0.8277,0.0201,0.8276,0.0201,0.8868,0.0172
0.1,6e-06,3,5,0.8277,0.0201,0.8276,0.0201,0.8868,0.0172
0.13895,6e-06,3,5,0.8277,0.0201,0.8276,0.0201,0.8868,0.0172
0.19307,6e-06,3,5,0.8277,0.0201,0.8276,0.0201,0.8868,0.0172
0.26827,6e-06,3,5,0.8277,0.0201,0.8276,0.0201,0.8868,0.0172
0.372759,6e-06,3,5,0.8277,0.0201,0.8276,0.0201,0.8868,0.0172
0.517947,6e-06,3,5,0.8277,0.0201,0.8276,0.0201,0.8868,0.0172
0.719686,6e-06,3,5,0.8279,0.0197,0.8278,0.0198,0.8868,0.0172
1.0,6e-06,3,5,0.8573,0.0187,0.8571,0.0187,0.9121,0.0122
