alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std
0.517947,0.001,3,1,0.6674,0.076,0.6624,0.0778,0.694,0.0947
0.517947,0.001129,3,1,0.6674,0.0827,0.6617,0.0846,0.694,0.0955
0.517947,0.001274,3,1,0.6717,0.0803,0.6656,0.0822,0.6934,0.0944
0.517947,0.001438,3,1,0.6717,0.0803,0.6653,0.0821,0.6944,0.0957
0.517947,0.001624,3,1,0.6761,0.0749,0.6694,0.0775,0.6976,0.095
0.517947,0.001833,3,1,0.6696,0.0716,0.6623,0.0742,0.7009,0.0944
0.517947,0.002069,3,1,0.6696,0.0701,0.6614,0.0731,0.7078,0.0891
0.517947,0.002336,3,1,0.6804,0.0718,0.6703,0.0748,0.7117,0.0877
0.517947,0.002637,3,1,0.687,0.0689,0.6768,0.0726,0.7131,0.088
0.517947,0.002976,3,1,0.6891,0.0665,0.6787,0.0704,0.7163,0.0864
0.517947,0.00336,3,1,0.6804,0.0571,0.6665,0.0649,0.7144,0.0797
0.517947,0.003793,3,1,0.6739,0.058,0.6576,0.0662,0.7095,0.0758
0.517947,0.004281,3,1,0.6674,0.0533,0.648,0.0601,0.7051,0.0761
0.517947,0.004833,3,1,0.6565,0.067,0.6314,0.0799,0.7026,0.0766
0.517947,0.005456,3,1,0.6522,0.0615,0.6254,0.0775,0.6988,0.0724
0.517947,0.006158,3,1,0.6239,0.0552,0.585,0.0882,0.6935,0.071
0.517947,0.006952,3,1,0.6087,0.0589,0.5649,0.0953,0.6868,0.0754
0.517947,0.007848,3,1,0.6022,0.0571,0.5557,0.0936,0.6379,0.1496
0.517947,0.008859,3,1,0.6022,0.0543,0.555,0.0916,0.6369,0.1488
0.517947,0.01,3,1,0.6,0.0591,0.5528,0.0959,0.6361,0.1486
