alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std
1.0,0.0001,3,1,0.882,0.0344,0.8758,0.0343,0.9068,0.0402
1.0,0.000127,3,1,0.882,0.0344,0.8758,0.0343,0.9066,0.0401
1.0,0.000162,3,1,0.882,0.0344,0.8758,0.0343,0.9066,0.0401
1.0,0.000207,3,1,0.882,0.0344,0.8758,0.0343,0.9066,0.0401
1.0,0.000264,3,1,0.882,0.0344,0.8758,0.0343,0.9066,0.0401
1.0,0.000336,3,1,0.882,0.0344,0.8758,0.0343,0.9066,0.0401
1.0,0.000428,3,1,0.882,0.0344,0.8758,0.0343,0.9066,0.0401
1.0,0.000546,3,1,0.882,0.0344,0.8758,0.0343,0.9066,0.0401
1.0,0.000695,3,1,0.8803,0.0337,0.8742,0.0339,0.9066,0.0401
1.0,0.000886,3,1,0.8803,0.0337,0.8742,0.0339,0.9066,0.0401
1.0,0.001129,3,1,0.8803,0.0337,0.8742,0.0339,0.9066,0.0401
1.0,0.001438,3,1,0.8803,0.0337,0.8742,0.0339,0.9069,0.0405
1.0,0.001833,3,1,0.882,0.0344,0.8763,0.0345,0.9067,0.0404
1.0,0.002336,3,1,0.882,0.0344,0.8763,0.0345,0.9067,0.0398
1.0,0.002976,3,1,0.8836,0.0313,0.8777,0.0323,0.9069,0.04
1.0,0.003793,3,1,0.8836,0.0313,0.8777,0.0323,0.9069,0.0396
1.0,0.004833,3,1,0.8836,0.0313,0.8777,0.0323,0.9075,0.0392
1.0,0.006158,3,1,0.8836,0.0323,0.8778,0.0332,0.9082,0.0381
1.0,0.007848,3,1,0.8852,0.0328,0.8793,0.0336,0.9094,0.0372
1.0,0.01,3,1,0.8852,0.0337,0.8788,0.0348,0.9088,0.0371
