alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std
0.719686,0.0001,3,4,0.7087,0.0449,0.707,0.0459,0.745,0.073
0.719686,0.000113,3,4,0.7109,0.0435,0.7091,0.0445,0.7436,0.0737
0.719686,0.000127,3,4,0.7131,0.0467,0.7112,0.0477,0.743,0.0726
0.719686,0.000144,3,4,0.7131,0.0467,0.7112,0.0477,0.7408,0.0733
0.719686,0.000162,3,4,0.7196,0.0507,0.7178,0.0518,0.7398,0.0724
0.719686,0.000183,3,4,0.7196,0.0517,0.718,0.0525,0.7383,0.0718
0.719686,0.000207,3,4,0.7218,0.0489,0.7201,0.0499,0.7386,0.0713
0.719686,0.000234,3,4,0.7261,0.046,0.7244,0.0469,0.737,0.0708
0.719686,0.000264,3,4,0.7239,0.0492,0.7222,0.0501,0.7368,0.0709
0.719686,0.000298,3,4,0.7196,0.0474,0.7176,0.0483,0.735,0.071
0.719686,0.000336,3,4,0.7174,0.0491,0.7156,0.0499,0.7342,0.0706
0.719686,0.000379,3,4,0.7131,0.052,0.7114,0.0527,0.7312,0.0706
0.719686,0.000428,3,4,0.7152,0.0556,0.7136,0.0563,0.7289,0.071
0.719686,0.000483,3,4,0.7152,0.0517,0.7135,0.0523,0.7291,0.0708
0.719686,0.000546,3,4,0.7131,0.0489,0.7114,0.0495,0.7278,0.0688
0.719686,0.000616,3,4,0.7152,0.0485,0.7137,0.0491,0.7269,0.0691
0.719686,0.000695,3,4,0.7131,0.0489,0.7116,0.0494,0.7236,0.0693
0.719686,0.000785,3,4,0.7109,0.0523,0.7095,0.0526,0.7233,0.0686
0.719686,0.000886,3,4,0.7065,0.0591,0.7048,0.06,0.7219,0.0699
0.719686,0.001,3,4,0.7,0.0613,0.6982,0.0622,0.7224,0.0698
0.719686,0.0001,3,5,0.7087,0.0449,0.707,0.0459,0.7448,0.0728
0.719686,0.000113,3,5,0.7109,0.0435,0.7091,0.0445,0.7435,0.0736
0.719686,0.000127,3,5,0.7131,0.0467,0.7112,0.0477,0.7422,0.0728
0.719686,0.000144,3,5,0.7152,0.0496,0.7133,0.0506,0.7404,0.0731
0.719686,0.000162,3,5,0.7196,0.0507,0.7178,0.0518,0.7389,0.0727
0.719686,0.000183,3,5,0.7196,0.0517,0.718,0.0525,0.7385,0.0714
0.719686,0.000207,3,5,0.7218,0.0489,0.7201,0.0499,0.7388,0.0701
0.719686,0.000234,3,5,0.7261,0.046,0.7244,0.0469,0.737,0.0709
0.719686,0.000264,3,5,0.7239,0.0481,0.7221,0.049,0.7359,0.0716
0.719686,0.000298,3,5,0.7196,0.0474,0.7176,0.0483,0.7347,0.0707
0.719686,0.000336,3,5,0.7174,0.0491,0.7156,0.0499,0.7332,0.0709
0.719686,0.000379,3,5,0.7152,0.0517,0.7135,0.0523,0.7308,0.0704
0.719686,0.000428,3,5,0.7174,0.0552,0.7157,0.0559,0.7281,0.0714
0.719686,0.000483,3,5,0.7152,0.0517,0.7135,0.0523,0.7289,0.0695
0.719686,0.000546,3,5,0.7131,0.0489,0.7114,0.0495,0.7278,0.0684
0.719686,0.000616,3,5,0.7152,0.0485,0.7137,0.0491,0.7258,0.0691
0.719686,0.000695,3,5,0.7131,0.0489,0.7116,0.0494,0.7234,0.0688
0.719686,0.000785,3,5,0.7087,0.0554,0.7072,0.0559,0.7221,0.069
0.719686,0.000886,3,5,0.7065,0.0591,0.7048,0.06,0.7213,0.0693
0.719686,0.001,3,5,0.6978,0.0584,0.696,0.0592,0.7214,0.07
