alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std
1.0,1e-05,3,7,0.8282,0.028,0.7926,0.0399,0.8099,0.0243
1.0,1.3e-05,3,7,0.8282,0.028,0.7926,0.0399,0.8099,0.0247
1.0,1.6e-05,3,7,0.8282,0.028,0.7926,0.0399,0.81,0.0242
1.0,2.1e-05,3,7,0.8282,0.028,0.7926,0.0399,0.8098,0.0242
1.0,2.6e-05,3,7,0.8282,0.028,0.7926,0.0399,0.8099,0.0245
1.0,3.4e-05,3,7,0.8282,0.028,0.7926,0.0399,0.8099,0.0246
1.0,4.3e-05,3,7,0.8282,0.028,0.7926,0.0399,0.8099,0.0245
1.0,5.5e-05,3,7,0.8282,0.028,0.7926,0.0399,0.81,0.0248
1.0,7e-05,3,7,0.8282,0.028,0.7926,0.0399,0.8098,0.0246
1.0,8.9e-05,3,7,0.8282,0.028,0.7926,0.0399,0.8098,0.0248
1.0,0.000113,3,7,0.8282,0.028,0.7926,0.0399,0.8098,0.0246
1.0,0.000144,3,7,0.8282,0.028,0.7926,0.0399,0.8097,0.0247
1.0,0.000183,3,7,0.8282,0.028,0.7926,0.0399,0.8096,0.0246
1.0,0.000234,3,7,0.8282,0.028,0.7926,0.0399,0.8096,0.0244
1.0,0.000298,3,7,0.8268,0.0274,0.7905,0.0388,0.8097,0.0244
1.0,0.000379,3,7,0.8282,0.0247,0.7928,0.0356,0.8099,0.0243
1.0,0.000483,3,7,0.8282,0.0247,0.7928,0.0356,0.8098,0.0243
1.0,0.000616,3,7,0.8282,0.0247,0.7928,0.0356,0.8094,0.0244
1.0,0.000785,3,7,0.8282,0.0247,0.7928,0.0356,0.8092,0.0235
1.0,0.001,3,7,0.8282,0.0247,0.7928,0.0356,0.809,0.0238
