alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std
1.0,0.0001,3,5,0.8474,0.0199,0.8449,0.0204,0.9119,0.0186
1.0,0.000127,3,5,0.8474,0.0199,0.8449,0.0204,0.9119,0.0186
1.0,0.000162,3,5,0.8474,0.0199,0.8449,0.0204,0.9119,0.0186
1.0,0.000207,3,5,0.8474,0.0199,0.8449,0.0204,0.912,0.0186
1.0,0.000264,3,5,0.8474,0.0199,0.8449,0.0204,0.912,0.0186
1.0,0.000336,3,5,0.8474,0.0199,0.8449,0.0204,0.912,0.0187
1.0,0.000428,3,5,0.8465,0.0208,0.8441,0.0212,0.912,0.0186
1.0,0.000546,3,5,0.8465,0.0208,0.8441,0.0212,0.912,0.0185
1.0,0.000695,3,5,0.8474,0.0199,0.8449,0.0205,0.912,0.0186
1.0,0.000886,3,5,0.8474,0.0199,0.8449,0.0205,0.912,0.0185
1.0,0.001129,3,5,0.8474,0.0199,0.8449,0.0205,0.9126,0.0185
1.0,0.001438,3,5,0.8482,0.0203,0.8459,0.0208,0.9128,0.0184
1.0,0.001833,3,5,0.8482,0.0203,0.8459,0.0208,0.9138,0.019
1.0,0.002336,3,5,0.8474,0.0199,0.8449,0.0204,0.9139,0.0192
1.0,0.002976,3,5,0.8474,0.0199,0.8449,0.0204,0.914,0.0197
1.0,0.003793,3,5,0.8474,0.0199,0.8449,0.0204,0.9144,0.02
1.0,0.004833,3,5,0.8465,0.0204,0.844,0.0207,0.9142,0.0201
1.0,0.006158,3,5,0.8482,0.0207,0.8459,0.0208,0.9146,0.0207
1.0,0.007848,3,5,0.85,0.0187,0.8476,0.0188,0.9151,0.0207
1.0,0.01,3,5,0.8491,0.0198,0.8466,0.02,0.9151,0.021
