alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std
1.0,0.0001,3,0,0.5866,0.0539,0.5853,0.0535,0.8556,0.0371
1.0,0.000113,3,0,0.5855,0.0529,0.584,0.0524,0.8556,0.0372
1.0,0.000127,3,0,0.5866,0.0539,0.5853,0.0535,0.8556,0.037
1.0,0.000144,3,0,0.5866,0.0539,0.5853,0.0535,0.8556,0.037
1.0,0.000162,3,0,0.5866,0.0539,0.5853,0.0535,0.8556,0.0372
1.0,0.000183,3,0,0.5855,0.0529,0.584,0.0524,0.8556,0.0371
1.0,0.000207,3,0,0.5866,0.0539,0.5853,0.0535,0.8556,0.0372
1.0,0.000234,3,0,0.5866,0.0539,0.5853,0.0535,0.8556,0.0371
1.0,0.000264,3,0,0.5855,0.0554,0.5841,0.0551,0.8557,0.0371
1.0,0.000298,3,0,0.5855,0.0554,0.5841,0.0551,0.8556,0.0372
1.0,0.000336,3,0,0.5855,0.0554,0.5841,0.0551,0.8556,0.0372
1.0,0.000379,3,0,0.5855,0.0554,0.5841,0.0551,0.8556,0.0372
1.0,0.000428,3,0,0.5855,0.0554,0.5841,0.0551,0.8555,0.0372
1.0,0.000483,3,0,0.5855,0.0554,0.5841,0.0551,0.8556,0.0371
1.0,0.000546,3,0,0.5855,0.0554,0.5841,0.0551,0.8556,0.0371
1.0,0.000616,3,0,0.5855,0.0554,0.5841,0.0551,0.8557,0.037
1.0,0.000695,3,0,0.5855,0.0554,0.5841,0.0551,0.8557,0.037
1.0,0.000785,3,0,0.5855,0.0554,0.5841,0.0551,0.8557,0.0369
1.0,0.000886,3,0,0.5855,0.0554,0.5841,0.0551,0.8557,0.0369
1.0,0.001,3,0,0.5855,0.0554,0.5841,0.0551,0.8556,0.037
1.0,0.0001,3,0,0.5866,0.0539,0.5853,0.0535,0.8556,0.0371
1.0,0.000113,3,0,0.5855,0.0529,0.584,0.0524,0.8556,0.0372
1.0,0.000127,3,0,0.5866,0.0539,0.5853,0.0535,0.8556,0.037
1.0,0.000144,3,0,0.5866,0.0539,0.5853,0.0535,0.8556,0.037
1.0,0.000162,3,0,0.5866,0.0539,0.5853,0.0535,0.8556,0.0372
1.0,0.000183,3,0,0.5855,0.0529,0.584,0.0524,0.8556,0.0371
1.0,0.000207,3,0,0.5866,0.0539,0.5853,0.0535,0.8556,0.0372
1.0,0.000234,3,0,0.5866,0.0539,0.5853,0.0535,0.8556,0.0371
1.0,0.000264,3,0,0.5855,0.0554,0.5841,0.0551,0.8557,0.0371
1.0,0.000298,3,0,0.5855,0.0554,0.5841,0.0551,0.8556,0.0372
1.0,0.000336,3,0,0.5855,0.0554,0.5841,0.0551,0.8556,0.0372
1.0,0.000379,3,0,0.5855,0.0554,0.5841,0.0551,0.8556,0.0372
1.0,0.000428,3,0,0.5855,0.0554,0.5841,0.0551,0.8555,0.0372
1.0,0.000483,3,0,0.5855,0.0554,0.5841,0.0551,0.8556,0.0371
1.0,0.000546,3,0,0.5855,0.0554,0.5841,0.0551,0.8556,0.0371
1.0,0.000616,3,0,0.5855,0.0554,0.5841,0.0551,0.8557,0.037
1.0,0.000695,3,0,0.5855,0.0554,0.5841,0.0551,0.8557,0.037
1.0,0.000785,3,0,0.5855,0.0554,0.5841,0.0551,0.8557,0.0369
1.0,0.000886,3,0,0.5855,0.0554,0.5841,0.0551,0.8557,0.0369
1.0,0.001,3,0,0.5855,0.0554,0.5841,0.0551,0.8556,0.037
1.0,0.0001,3,0,0.5866,0.0539,0.5853,0.0535,0.8556,0.0371
1.0,0.000113,3,0,0.5855,0.0529,0.584,0.0524,0.8556,0.0372
1.0,0.000127,3,0,0.5866,0.0539,0.5853,0.0535,0.8556,0.037
1.0,0.000144,3,0,0.5866,0.0539,0.5853,0.0535,0.8556,0.037
1.0,0.000162,3,0,0.5866,0.0539,0.5853,0.0535,0.8556,0.0372
1.0,0.000183,3,0,0.5855,0.0529,0.584,0.0524,0.8556,0.0371
1.0,0.000207,3,0,0.5866,0.0539,0.5853,0.0535,0.8556,0.0372
1.0,0.000234,3,0,0.5866,0.0539,0.5853,0.0535,0.8556,0.0371
1.0,0.000264,3,0,0.5855,0.0554,0.5841,0.0551,0.8557,0.0371
1.0,0.000298,3,0,0.5855,0.0554,0.5841,0.0551,0.8556,0.0372
