alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std
0.1,0.0001,3,0,0.7209,0.0379,0.7055,0.0441,0.8078,0.0558
0.1,0.000127,3,0,0.7313,0.0445,0.7189,0.0491,0.8087,0.0561
0.1,0.000162,3,0,0.7433,0.046,0.733,0.051,0.809,0.0584
0.1,0.000207,3,0,0.7358,0.0559,0.7283,0.06,0.8092,0.0584
0.1,0.000264,3,0,0.7373,0.0551,0.7304,0.0578,0.8074,0.0583
0.1,0.000336,3,0,0.7373,0.0537,0.7319,0.0553,0.8072,0.0588
0.1,0.000428,3,0,0.7388,0.0523,0.7341,0.054,0.8051,0.059
0.1,0.000546,3,0,0.7388,0.056,0.735,0.0578,0.8046,0.0586
0.1,0.000695,3,0,0.7418,0.0626,0.7388,0.0642,0.8046,0.0581
0.1,0.000886,3,0,0.7418,0.0653,0.7391,0.0666,0.8048,0.0585
0.1,0.001129,3,0,0.7492,0.0663,0.7462,0.068,0.8066,0.0587
0.1,0.001438,3,0,0.7492,0.0636,0.746,0.0655,0.8084,0.0576
0.1,0.001833,3,0,0.7418,0.0503,0.7363,0.0541,0.8103,0.0564
0.1,0.002336,3,0,0.7358,0.0445,0.7247,0.0529,0.8112,0.0524
0.1,0.002976,3,0,0.7343,0.0433,0.718,0.0505,0.8108,0.0506
0.1,0.003793,3,0,0.7343,0.035,0.7172,0.0439,0.8072,0.0496
0.1,0.004833,3,0,0.7284,0.035,0.7103,0.0429,0.8013,0.0483
0.1,0.006158,3,0,0.7298,0.0341,0.7115,0.0418,0.7987,0.0461
0.1,0.007848,3,0,0.7254,0.0367,0.7059,0.0456,0.7948,0.0459
0.1,0.01,3,0,0.7254,0.0339,0.7055,0.0426,0.7918,0.047
