alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std
0.719686,1e-05,3,1,0.742,0.0394,0.7417,0.0394,0.8148,0.0381
0.719686,1.3e-05,3,1,0.742,0.0394,0.7417,0.0394,0.8147,0.038
0.719686,1.6e-05,3,1,0.742,0.0394,0.7417,0.0394,0.8148,0.0382
0.719686,2.1e-05,3,1,0.7427,0.0383,0.7423,0.0382,0.8145,0.0382
0.719686,2.6e-05,3,1,0.7433,0.038,0.743,0.038,0.8146,0.0382
0.719686,3.4e-05,3,1,0.7433,0.038,0.743,0.038,0.8146,0.0383
0.719686,4.3e-05,3,1,0.744,0.0386,0.7437,0.0386,0.8145,0.0384
0.719686,5.5e-05,3,1,0.744,0.0386,0.7437,0.0386,0.8145,0.0386
0.719686,7e-05,3,1,0.744,0.0386,0.7437,0.0386,0.8146,0.0384
0.719686,8.9e-05,3,1,0.744,0.0389,0.7437,0.0389,0.8146,0.0381
0.719686,0.000113,3,1,0.7433,0.0394,0.743,0.0394,0.8148,0.038
0.719686,0.000144,3,1,0.7433,0.0391,0.743,0.0391,0.8141,0.0384
0.719686,0.000183,3,1,0.7433,0.0399,0.743,0.0399,0.8139,0.0388
0.719686,0.000234,3,1,0.7427,0.0389,0.7423,0.0389,0.8134,0.039
0.719686,0.000298,3,1,0.7427,0.0389,0.7423,0.0389,0.8135,0.0386
0.719686,0.000379,3,1,0.742,0.0399,0.7416,0.0399,0.8129,0.0389
0.719686,0.000483,3,1,0.7413,0.0422,0.741,0.0422,0.8118,0.0388
0.719686,0.000616,3,1,0.7413,0.0422,0.741,0.0422,0.8105,0.0387
0.719686,0.000785,3,1,0.74,0.0411,0.7397,0.0411,0.8087,0.0396
0.719686,0.001,3,1,0.738,0.043,0.7377,0.0429,0.8068,0.0406
0.719686,1e-05,3,1,0.742,0.0394,0.7417,0.0394,0.8148,0.0381
0.719686,1.3e-05,3,1,0.742,0.0394,0.7417,0.0394,0.8147,0.038
0.719686,1.6e-05,3,1,0.742,0.0394,0.7417,0.0394,0.8148,0.0382
0.719686,2.1e-05,3,1,0.7427,0.0383,0.7423,0.0382,0.8145,0.0382
0.719686,2.6e-05,3,1,0.7433,0.038,0.743,0.038,0.8146,0.0382
0.719686,3.4e-05,3,1,0.7433,0.038,0.743,0.038,0.8146,0.0383
0.719686,4.3e-05,3,1,0.744,0.0386,0.7437,0.0386,0.8145,0.0384
0.719686,5.5e-05,3,1,0.744,0.0386,0.7437,0.0386,0.8145,0.0386
0.719686,7e-05,3,1,0.744,0.0386,0.7437,0.0386,0.8146,0.0384
0.719686,8.9e-05,3,1,0.744,0.0389,0.7437,0.0389,0.8146,0.0381
0.719686,0.000113,3,1,0.7433,0.0394,0.743,0.0394,0.8148,0.038
0.719686,0.000144,3,1,0.7433,0.0391,0.743,0.0391,0.8141,0.0384
0.719686,0.000183,3,1,0.7433,0.0399,0.743,0.0399,0.8139,0.0388
0.719686,0.000234,3,1,0.7427,0.0389,0.7423,0.0389,0.8134,0.039
0.719686,0.000298,3,1,0.7427,0.0389,0.7423,0.0389,0.8135,0.0386
0.719686,0.000379,3,1,0.742,0.0399,0.7416,0.0399,0.8129,0.0389
0.719686,0.000483,3,1,0.7413,0.0422,0.741,0.0422,0.8118,0.0388
0.719686,0.000616,3,1,0.7413,0.0422,0.741,0.0422,0.8105,0.0387
0.719686,0.000785,3,1,0.74,0.0411,0.7397,0.0411,0.8087,0.0396
0.719686,0.001,3,1,0.738,0.043,0.7377,0.0429,0.8068,0.0406
