alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std
0.1,0.0001,3,4,0.4987,0.0244,0.4919,0.0245,0.6787,0.02
0.1,0.000113,3,4,0.4987,0.0244,0.4919,0.0245,0.677,0.017
0.1,0.000127,3,4,0.4987,0.0244,0.4919,0.0245,0.6795,0.0214
0.1,0.000144,3,4,0.4991,0.0241,0.4922,0.0242,0.6781,0.019
0.1,0.000162,3,4,0.4996,0.0242,0.4927,0.0242,0.6778,0.0198
0.1,0.000183,3,4,0.4996,0.0242,0.4927,0.0242,0.6789,0.0192
0.1,0.000207,3,4,0.5,0.0236,0.4931,0.0237,0.6794,0.0193
0.1,0.000234,3,4,0.5005,0.0231,0.4935,0.0232,0.6782,0.0195
0.1,0.000264,3,4,0.4996,0.0231,0.4924,0.0232,0.6772,0.0176
0.1,0.000298,3,4,0.4987,0.0223,0.4915,0.0225,0.6794,0.0182
0.1,0.000336,3,4,0.4987,0.0223,0.4915,0.0225,0.6781,0.0202
0.1,0.000379,3,4,0.4987,0.0223,0.4915,0.0225,0.6781,0.0177
0.1,0.000428,3,4,0.4987,0.0223,0.4915,0.0225,0.6769,0.0208
0.1,0.000483,3,4,0.4987,0.0223,0.4915,0.0225,0.6776,0.0198
0.1,0.000546,3,4,0.4982,0.0226,0.491,0.0229,0.6766,0.0207
0.1,0.000616,3,4,0.4987,0.0222,0.4916,0.0224,0.6757,0.0216
0.1,0.000695,3,4,0.4987,0.0222,0.4916,0.0224,0.6756,0.0189
0.1,0.000785,3,4,0.4978,0.0224,0.4908,0.0226,0.6758,0.0194
0.1,0.000886,3,4,0.4978,0.0226,0.491,0.0229,0.6766,0.0189
0.1,0.001,3,4,0.4969,0.0226,0.49,0.0227,0.6786,0.0205
