alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std
1.0,0.0001,3,0,0.9047,0.0335,0.9012,0.0342,0.9947,0.0027
1.0,0.000113,3,0,0.9047,0.0335,0.9012,0.0342,0.9947,0.0027
1.0,0.000127,3,0,0.9047,0.0335,0.9012,0.0342,0.9947,0.0027
1.0,0.000144,3,0,0.9047,0.0335,0.9012,0.0342,0.9947,0.0027
1.0,0.000162,3,0,0.9047,0.0335,0.9012,0.0342,0.9947,0.0027
1.0,0.000183,3,0,0.9047,0.0335,0.9012,0.0342,0.9947,0.0027
1.0,0.000207,3,0,0.9047,0.0335,0.9012,0.0342,0.9947,0.0027
1.0,0.000234,3,0,0.9059,0.0323,0.902,0.0333,0.9947,0.0027
1.0,0.000264,3,0,0.9059,0.0323,0.902,0.0333,0.9947,0.0027
1.0,0.000298,3,0,0.9059,0.0323,0.902,0.0333,0.9947,0.0027
1.0,0.000336,3,0,0.9059,0.0323,0.902,0.0333,0.9947,0.0027
1.0,0.000379,3,0,0.9059,0.0323,0.902,0.0333,0.9947,0.0027
1.0,0.000428,3,0,0.9059,0.0323,0.902,0.0333,0.9947,0.0027
1.0,0.000483,3,0,0.9059,0.0323,0.902,0.0333,0.9947,0.0027
1.0,0.000546,3,0,0.9059,0.0323,0.902,0.0333,0.9947,0.0027
1.0,0.000616,3,0,0.9059,0.0323,0.902,0.0333,0.9947,0.0027
1.0,0.000695,3,0,0.9059,0.0323,0.902,0.0333,0.9947,0.0027
1.0,0.000785,3,0,0.9059,0.0323,0.902,0.0333,0.9947,0.0027
1.0,0.000886,3,0,0.9059,0.0323,0.902,0.0333,0.9947,0.0027
1.0,0.001,3,0,0.9059,0.0323,0.902,0.0333,0.9947,0.0027
1.0,0.0001,3,0,0.9047,0.0335,0.9012,0.0342,0.9947,0.0027
1.0,0.000113,3,0,0.9047,0.0335,0.9012,0.0342,0.9947,0.0027
1.0,0.000127,3,0,0.9047,0.0335,0.9012,0.0342,0.9947,0.0027
1.0,0.000144,3,0,0.9047,0.0335,0.9012,0.0342,0.9947,0.0027
1.0,0.000162,3,0,0.9047,0.0335,0.9012,0.0342,0.9947,0.0027
