alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std
1.0,0.0001,3,6,0.8415,0.0066,0.8414,0.0067,0.9148,0.0053
1.0,0.000113,3,6,0.8415,0.0066,0.8414,0.0067,0.9148,0.0053
1.0,0.000127,3,6,0.8416,0.0063,0.8416,0.0064,0.9149,0.0053
1.0,0.000144,3,6,0.8416,0.0063,0.8416,0.0064,0.9149,0.0053
1.0,0.000162,3,6,0.8415,0.0063,0.8414,0.0064,0.9149,0.0053
1.0,0.000183,3,6,0.8415,0.0063,0.8414,0.0064,0.9149,0.0053
1.0,0.000207,3,6,0.8413,0.0063,0.8413,0.0064,0.9149,0.0053
1.0,0.000234,3,6,0.8413,0.0063,0.8413,0.0064,0.9149,0.0053
1.0,0.000264,3,6,0.8413,0.0063,0.8413,0.0065,0.915,0.0053
1.0,0.000298,3,6,0.8413,0.0063,0.8413,0.0065,0.915,0.0053
1.0,0.000336,3,6,0.8413,0.0063,0.8413,0.0065,0.915,0.0053
1.0,0.000379,3,6,0.8415,0.0064,0.8414,0.0066,0.915,0.0053
1.0,0.000428,3,6,0.8416,0.0065,0.8416,0.0066,0.9151,0.0053
1.0,0.000483,3,6,0.8416,0.0065,0.8416,0.0066,0.9151,0.0053
1.0,0.000546,3,6,0.8416,0.0069,0.8416,0.007,0.9151,0.0053
1.0,0.000616,3,6,0.8419,0.0062,0.8419,0.0064,0.9152,0.0053
1.0,0.000695,3,6,0.8418,0.0064,0.8417,0.0065,0.9152,0.0053
1.0,0.000785,3,6,0.8416,0.006,0.8416,0.0061,0.9153,0.0053
1.0,0.000886,3,6,0.8415,0.0058,0.8414,0.006,0.9153,0.0053
1.0,0.001,3,6,0.8415,0.0063,0.8414,0.0064,0.9154,0.0053
