alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std
1.0,1e-06,3,4,0.8593,0.0113,0.8591,0.0114,0.9138,0.0065
1.0,2e-06,3,4,0.8593,0.0108,0.8591,0.0108,0.9141,0.0068
1.0,3e-06,3,4,0.8601,0.0115,0.8599,0.0115,0.9142,0.0066
1.0,4e-06,3,4,0.8591,0.0127,0.8589,0.0128,0.914,0.0068
1.0,6e-06,3,4,0.8598,0.0107,0.8596,0.0107,0.9141,0.0068
1.0,9e-06,3,4,0.8605,0.0117,0.8602,0.0116,0.9141,0.0068
1.0,1.3e-05,3,4,0.8605,0.0112,0.8602,0.0112,0.9141,0.0068
1.0,1.8e-05,3,4,0.8601,0.0111,0.8599,0.0111,0.9141,0.0069
1.0,2.6e-05,3,4,0.8606,0.0113,0.8604,0.0113,0.9141,0.0068
1.0,3.8e-05,3,4,0.8603,0.0118,0.8601,0.0118,0.9141,0.0069
1.0,5.5e-05,3,4,0.8606,0.0117,0.8604,0.0117,0.9142,0.0069
1.0,7.8e-05,3,4,0.8605,0.0115,0.8602,0.0115,0.9142,0.0068
1.0,0.000113,3,4,0.8608,0.0115,0.8606,0.0115,0.9142,0.0068
1.0,0.000162,3,4,0.8608,0.0114,0.8606,0.0114,0.9142,0.0069
1.0,0.000234,3,4,0.8608,0.0114,0.8606,0.0114,0.9142,0.0068
1.0,0.000336,3,4,0.8605,0.0114,0.8602,0.0114,0.9142,0.0069
1.0,0.000483,3,4,0.8608,0.0112,0.8606,0.0112,0.9142,0.0068
1.0,0.000695,3,4,0.8606,0.0111,0.8604,0.0111,0.9143,0.0068
1.0,0.001,3,4,0.8604,0.0111,0.8602,0.0111,0.9144,0.0068
1.0,1e-06,3,4,0.8593,0.0113,0.8591,0.0114,0.9138,0.0065
1.0,2e-06,3,4,0.8593,0.0108,0.8591,0.0108,0.9141,0.0068
1.0,3e-06,3,4,0.8601,0.0115,0.8599,0.0115,0.9142,0.0066
1.0,4e-06,3,4,0.8591,0.0127,0.8589,0.0128,0.914,0.0068
1.0,6e-06,3,4,0.8598,0.0107,0.8596,0.0107,0.9141,0.0068
1.0,9e-06,3,4,0.8605,0.0117,0.8602,0.0116,0.9141,0.0068
1.0,1.3e-05,3,4,0.8605,0.0112,0.8602,0.0112,0.9141,0.0068
1.0,1.8e-05,3,4,0.8601,0.0111,0.8599,0.0111,0.9141,0.0069
1.0,2.6e-05,3,4,0.8606,0.0113,0.8604,0.0113,0.9141,0.0068
1.0,3.8e-05,3,4,0.8603,0.0118,0.8601,0.0118,0.9141,0.0069
1.0,5.5e-05,3,4,0.8606,0.0117,0.8604,0.0117,0.9142,0.0069
1.0,7.8e-05,3,4,0.8605,0.0115,0.8602,0.0115,0.9142,0.0068
1.0,0.000113,3,4,0.8608,0.0115,0.8606,0.0115,0.9142,0.0068
1.0,0.000162,3,4,0.8608,0.0114,0.8606,0.0114,0.9142,0.0069
1.0,0.000234,3,4,0.8608,0.0114,0.8606,0.0114,0.9142,0.0068
1.0,0.000336,3,4,0.8605,0.0114,0.8602,0.0114,0.9142,0.0069
1.0,0.000483,3,4,0.8608,0.0112,0.8606,0.0112,0.9142,0.0068
1.0,0.000695,3,4,0.8606,0.0111,0.8604,0.0111,0.9143,0.0068
1.0,0.001,3,4,0.8604,0.0111,0.8602,0.0111,0.9144,0.0068
1.0,1e-06,3,4,0.8593,0.0113,0.8591,0.0114,0.9138,0.0065
1.0,2e-06,3,4,0.8593,0.0108,0.8591,0.0108,0.9141,0.0068
1.0,3e-06,3,4,0.8601,0.0115,0.8599,0.0115,0.9142,0.0066
1.0,4e-06,3,4,0.8591,0.0127,0.8589,0.0128,0.914,0.0068
1.0,6e-06,3,4,0.8598,0.0107,0.8596,0.0107,0.9141,0.0068
1.0,9e-06,3,4,0.8605,0.0117,0.8602,0.0116,0.9141,0.0068
1.0,1.3e-05,3,4,0.8605,0.0112,0.8602,0.0112,0.9141,0.0068
1.0,1.8e-05,3,4,0.8601,0.0111,0.8599,0.0111,0.9141,0.0069
1.0,2.6e-05,3,4,0.8606,0.0113,0.8604,0.0113,0.9141,0.0068
1.0,3.8e-05,3,4,0.8603,0.0118,0.8601,0.0118,0.9141,0.0069
1.0,5.5e-05,3,4,0.8606,0.0117,0.8604,0.0117,0.9142,0.0069
1.0,7.8e-05,3,4,0.8605,0.0115,0.8602,0.0115,0.9142,0.0068
1.0,0.000113,3,4,0.8608,0.0115,0.8606,0.0115,0.9142,0.0068
1.0,0.000162,3,4,0.8608,0.0114,0.8606,0.0114,0.9142,0.0069
1.0,0.000234,3,4,0.8608,0.0114,0.8606,0.0114,0.9142,0.0068
1.0,0.000336,3,4,0.8605,0.0114,0.8602,0.0114,0.9142,0.0069
1.0,0.000483,3,4,0.8608,0.0112,0.8606,0.0112,0.9142,0.0068
1.0,0.000695,3,4,0.8606,0.0111,0.8604,0.0111,0.9143,0.0068
1.0,0.001,3,4,0.8604,0.0111,0.8602,0.0111,0.9144,0.0068
1.0,1e-06,3,4,0.8593,0.0113,0.8591,0.0114,0.9138,0.0065
1.0,2e-06,3,4,0.8593,0.0108,0.8591,0.0108,0.9141,0.0068
1.0,3e-06,3,4,0.8601,0.0115,0.8599,0.0115,0.9142,0.0066
1.0,4e-06,3,4,0.8591,0.0127,0.8589,0.0128,0.914,0.0068
1.0,6e-06,3,4,0.8598,0.0107,0.8596,0.0107,0.9141,0.0068
1.0,9e-06,3,4,0.8605,0.0117,0.8602,0.0116,0.9141,0.0068
1.0,1.3e-05,3,4,0.8605,0.0112,0.8602,0.0112,0.9141,0.0068
1.0,1.8e-05,3,4,0.8601,0.0111,0.8599,0.0111,0.9141,0.0069
1.0,2.6e-05,3,4,0.8606,0.0113,0.8604,0.0113,0.9141,0.0068
1.0,3.8e-05,3,4,0.8603,0.0118,0.8601,0.0118,0.9141,0.0069
1.0,5.5e-05,3,4,0.8606,0.0117,0.8604,0.0117,0.9142,0.0069
1.0,7.8e-05,3,4,0.8605,0.0115,0.8602,0.0115,0.9142,0.0068
1.0,0.000113,3,4,0.8608,0.0115,0.8606,0.0115,0.9142,0.0068
1.0,0.000162,3,4,0.8608,0.0114,0.8606,0.0114,0.9142,0.0069
1.0,0.000234,3,4,0.8608,0.0114,0.8606,0.0114,0.9142,0.0068
1.0,0.000336,3,4,0.8605,0.0114,0.8602,0.0114,0.9142,0.0069
1.0,0.000483,3,4,0.8608,0.0112,0.8606,0.0112,0.9142,0.0068
1.0,0.000695,3,4,0.8606,0.0111,0.8604,0.0111,0.9143,0.0068
1.0,0.001,3,4,0.8604,0.0111,0.8602,0.0111,0.9144,0.0068
