alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std
0.01,0.0,3,4,0.7652,0.0237,0.7628,0.0227,0.8327,0.0243
0.01,1e-06,3,4,0.7652,0.0237,0.7628,0.0227,0.8327,0.0243
0.01,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.01,3e-06,3,4,0.7652,0.0239,0.7628,0.0229,0.8327,0.0245
0.01,4e-06,3,4,0.7652,0.0242,0.7628,0.0232,0.8327,0.0249
0.01,5e-06,3,4,0.7652,0.024,0.7628,0.023,0.8327,0.0246
0.01,6e-06,3,4,0.7652,0.0249,0.7628,0.0238,0.8327,0.0255
0.01,7e-06,3,4,0.7652,0.0242,0.7628,0.0232,0.8327,0.0249
0.01,8e-06,3,4,0.7652,0.0249,0.7628,0.0238,0.8327,0.0255
0.01,9e-06,3,4,0.7652,0.0249,0.7628,0.0238,0.8327,0.0255
0.01,1e-05,3,4,0.7652,0.0242,0.7628,0.0232,0.8327,0.0249
0.01,1.1e-05,3,4,0.7652,0.0249,0.7628,0.0238,0.8327,0.0255
0.01,1.3e-05,3,4,0.7652,0.0249,0.7628,0.0238,0.8327,0.0255
0.01,1.4e-05,3,4,0.7652,0.0249,0.7628,0.0238,0.8327,0.0255
0.01,1.5e-05,3,4,0.7652,0.0249,0.7628,0.0238,0.8327,0.0255
0.01,1.7e-05,3,4,0.7652,0.0249,0.7628,0.0238,0.8327,0.0255
0.01,1.8e-05,3,4,0.7652,0.0249,0.7628,0.0238,0.8327,0.0255
0.01,2e-05,3,4,0.7652,0.0249,0.7628,0.0238,0.8327,0.0255
0.01,2.2e-05,3,4,0.7652,0.0249,0.7628,0.0238,0.8327,0.0255
0.01,2.4e-05,3,4,0.7652,0.0249,0.7628,0.0238,0.8327,0.0255
0.01,2.7e-05,3,4,0.7652,0.0249,0.7628,0.0238,0.8327,0.0255
0.01,2.9e-05,3,4,0.7652,0.0249,0.7628,0.0238,0.8327,0.0255
0.01,3.2e-05,3,4,0.7652,0.0249,0.7628,0.0238,0.8327,0.0255
0.01,3.5e-05,3,4,0.7652,0.0249,0.7628,0.0238,0.8327,0.0255
0.01,3.9e-05,3,4,0.7652,0.0249,0.7628,0.0238,0.8327,0.0255
0.01,4.2e-05,3,4,0.7652,0.0249,0.7628,0.0238,0.8327,0.0255
0.01,4.6e-05,3,4,0.7652,0.0249,0.7628,0.0238,0.8327,0.0255
0.01,5.1e-05,3,4,0.7652,0.0249,0.7628,0.0238,0.8327,0.0255
0.01,5.6e-05,3,4,0.7652,0.0249,0.7628,0.0238,0.8327,0.0255
