alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std
0.719686,0.000234,3,0,0.6913,0.0444,0.6896,0.0446,0.7528,0.069
0.719686,0.000234,3,1,0.7239,0.0492,0.7222,0.0501,0.7372,0.0712
0.719686,0.000234,3,2,0.7239,0.0492,0.7222,0.0501,0.7365,0.0708
0.719686,0.000234,3,3,0.7261,0.046,0.7244,0.0469,0.7368,0.071
0.719686,0.000234,3,4,0.7261,0.046,0.7244,0.0469,0.737,0.0708
0.719686,0.000234,3,5,0.7261,0.046,0.7244,0.0469,0.737,0.0709
0.719686,0.000234,3,6,0.7239,0.0481,0.7221,0.049,0.7367,0.0713
0.719686,0.000234,3,7,0.7239,0.0481,0.7221,0.049,0.7366,0.0712
0.719686,0.000234,3,0,0.6913,0.0444,0.6896,0.0446,0.7528,0.069
0.719686,0.000234,3,1,0.7239,0.0492,0.7222,0.0501,0.7372,0.0712
0.719686,0.000234,3,2,0.7239,0.0492,0.7222,0.0501,0.7365,0.0708
0.719686,0.000234,3,3,0.7261,0.046,0.7244,0.0469,0.7368,0.071
0.719686,0.000234,3,4,0.7261,0.046,0.7244,0.0469,0.737,0.0708
0.719686,0.000234,3,5,0.7261,0.046,0.7244,0.0469,0.737,0.0709
0.719686,0.000234,3,6,0.7239,0.0481,0.7221,0.049,0.7367,0.0713
0.719686,0.000234,3,7,0.7239,0.0481,0.7221,0.049,0.7366,0.0712
