alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std
1.0,0.0001,3,0,0.5866,0.0539,0.5853,0.0535,0.8556,0.0371
1.0,0.0001,3,1,0.5678,0.0556,0.5674,0.0548,0.8476,0.038
1.0,0.0001,3,2,0.5578,0.0531,0.5561,0.0513,0.8445,0.0385
1.0,0.0001,3,3,0.5544,0.0512,0.5519,0.0494,0.8418,0.0393
1.0,0.0001,3,4,0.5478,0.0494,0.5446,0.0482,0.8393,0.0399
1.0,0.0001,3,5,0.54,0.0514,0.5361,0.0506,0.8366,0.0397
1.0,0.0001,3,6,0.5389,0.0524,0.535,0.0517,0.834,0.0402
1.0,0.0001,3,7,0.5311,0.0507,0.5266,0.0502,0.8321,0.0406
1.0,0.000127,3,0,0.5866,0.0539,0.5853,0.0535,0.8556,0.037
1.0,0.000127,3,1,0.5678,0.0556,0.5674,0.0548,0.8475,0.0379
1.0,0.000127,3,2,0.5578,0.0531,0.5561,0.0513,0.8445,0.0384
1.0,0.000127,3,3,0.5556,0.0505,0.5529,0.049,0.8418,0.0394
1.0,0.000127,3,4,0.5456,0.0484,0.5424,0.0476,0.8393,0.0399
1.0,0.000127,3,5,0.54,0.0514,0.5361,0.0506,0.8366,0.0398
1.0,0.000127,3,6,0.5378,0.05,0.534,0.0493,0.834,0.0403
1.0,0.000127,3,7,0.53,0.0486,0.5253,0.0476,0.832,0.0406
1.0,0.000144,3,0,0.5866,0.0539,0.5853,0.0535,0.8556,0.037
1.0,0.000144,3,1,0.5678,0.0556,0.5674,0.0548,0.8475,0.0379
1.0,0.000144,3,2,0.5578,0.0531,0.5561,0.0513,0.8445,0.0385
1.0,0.000144,3,3,0.5556,0.0505,0.5529,0.049,0.8418,0.0395
1.0,0.000144,3,4,0.5467,0.0488,0.5435,0.0478,0.8392,0.0398
1.0,0.000144,3,5,0.54,0.0514,0.5361,0.0506,0.8365,0.0399
1.0,0.000144,3,6,0.5378,0.05,0.5339,0.0493,0.834,0.0402
1.0,0.000144,3,7,0.53,0.0486,0.5253,0.0476,0.832,0.0406
1.0,0.000162,3,0,0.5866,0.0539,0.5853,0.0535,0.8556,0.0372
1.0,0.000162,3,1,0.5678,0.0556,0.5674,0.0548,0.8475,0.0379
1.0,0.000162,3,2,0.5556,0.0521,0.5538,0.0502,0.8444,0.0384
1.0,0.000162,3,3,0.5556,0.0505,0.5529,0.049,0.8416,0.0395
1.0,0.000162,3,4,0.5467,0.0488,0.5435,0.0478,0.8393,0.0398
1.0,0.000162,3,5,0.54,0.0514,0.5361,0.0506,0.8364,0.0399
1.0,0.000162,3,6,0.5378,0.05,0.5339,0.0493,0.834,0.0402
1.0,0.000162,3,7,0.53,0.0486,0.5253,0.0476,0.832,0.0406
1.0,0.000207,3,0,0.5866,0.0539,0.5853,0.0535,0.8556,0.0372
1.0,0.000207,3,1,0.5678,0.0556,0.5674,0.0548,0.8474,0.0379
1.0,0.000207,3,2,0.5567,0.052,0.555,0.0502,0.8445,0.0385
1.0,0.000207,3,3,0.5544,0.0517,0.5516,0.0506,0.8416,0.0395
1.0,0.000207,3,4,0.5467,0.0488,0.5434,0.0477,0.8392,0.0398
1.0,0.000207,3,5,0.54,0.0514,0.5361,0.0506,0.8363,0.0399
1.0,0.000207,3,6,0.5378,0.05,0.5339,0.0493,0.8339,0.0403
1.0,0.000207,3,7,0.53,0.0486,0.5253,0.0476,0.8319,0.0406
1.0,0.000234,3,0,0.5866,0.0539,0.5853,0.0535,0.8556,0.0371
1.0,0.000234,3,1,0.5678,0.0556,0.5674,0.0548,0.8475,0.0379
1.0,0.000234,3,2,0.5567,0.052,0.555,0.0502,0.8443,0.0385
1.0,0.000234,3,3,0.5544,0.0517,0.5516,0.0506,0.8416,0.0395
1.0,0.000234,3,4,0.5456,0.0501,0.5424,0.049,0.8392,0.0398
1.0,0.000234,3,5,0.54,0.0514,0.5361,0.0506,0.8363,0.0399
1.0,0.000234,3,6,0.5367,0.0477,0.5327,0.0465,0.8338,0.0403
1.0,0.000234,3,7,0.5311,0.0496,0.5263,0.0484,0.8318,0.0406
