alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std
0.719686,7e-05,3,0,0.736,0.0367,0.7358,0.0365,0.8193,0.0369
0.719686,7e-05,3,1,0.744,0.0386,0.7437,0.0386,0.8146,0.0384
0.719686,7e-05,3,2,0.7427,0.0385,0.7423,0.0385,0.8143,0.0389
0.719686,7e-05,3,3,0.7413,0.0405,0.741,0.0405,0.8149,0.0391
0.719686,7e-05,3,4,0.74,0.0411,0.7396,0.0411,0.8144,0.0388
0.719686,7e-05,3,5,0.7373,0.0402,0.737,0.0401,0.8142,0.0387
0.719686,7e-05,3,6,0.7393,0.0412,0.7391,0.0411,0.8137,0.0389
0.719686,7e-05,3,7,0.7393,0.0412,0.7391,0.0411,0.8134,0.0387
0.719686,8.9e-05,3,0,0.736,0.0357,0.7358,0.0356,0.819,0.0371
0.719686,8.9e-05,3,1,0.744,0.0389,0.7437,0.0389,0.8146,0.0381
0.719686,8.9e-05,3,2,0.7426,0.0391,0.7423,0.0391,0.8147,0.0388
0.719686,8.9e-05,3,3,0.7413,0.0405,0.741,0.0405,0.8149,0.0388
0.719686,8.9e-05,3,4,0.7407,0.0422,0.7403,0.0422,0.8144,0.0386
0.719686,8.9e-05,3,5,0.738,0.04,0.7377,0.04,0.8141,0.0393
0.719686,8.9e-05,3,6,0.7393,0.0407,0.7391,0.0407,0.8135,0.0388
0.719686,8.9e-05,3,7,0.7393,0.0402,0.7391,0.0402,0.8133,0.0387
