alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std
1.0,0.009326,3,0,0.9265,0.0318,0.9178,0.038,0.9846,0.0074
1.0,0.009326,3,1,0.9265,0.0318,0.9178,0.038,0.9832,0.0078
1.0,0.009326,3,2,0.9265,0.0318,0.9178,0.038,0.9833,0.0077
1.0,0.009326,3,3,0.9265,0.0318,0.9178,0.038,0.9831,0.0076
1.0,0.009326,3,4,0.9265,0.0318,0.9178,0.038,0.9827,0.0069
1.0,0.009326,3,5,0.9294,0.0345,0.9207,0.0409,0.9823,0.0066
1.0,0.009326,3,6,0.9236,0.0316,0.9119,0.0386,0.9816,0.0064
1.0,0.009326,3,7,0.9147,0.0324,0.9002,0.0382,0.9806,0.0058
1.0,0.008111,3,0,0.9265,0.0318,0.9178,0.038,0.9846,0.0074
1.0,0.008111,3,1,0.9265,0.0318,0.9178,0.038,0.9832,0.0078
1.0,0.008111,3,2,0.9265,0.0318,0.9178,0.038,0.9832,0.0075
1.0,0.008111,3,3,0.9265,0.0318,0.9178,0.038,0.9831,0.0076
1.0,0.008111,3,4,0.9265,0.0318,0.9178,0.038,0.9829,0.0072
1.0,0.008111,3,5,0.9265,0.0318,0.9178,0.038,0.9825,0.0066
1.0,0.008111,3,6,0.9294,0.0345,0.9207,0.0409,0.9823,0.0066
1.0,0.008111,3,7,0.9206,0.0368,0.9089,0.0433,0.9814,0.0066
1.0,0.006579,3,0,0.9265,0.0318,0.9178,0.038,0.9846,0.0074
1.0,0.006579,3,1,0.9265,0.0318,0.9178,0.038,0.9832,0.0078
1.0,0.006579,3,2,0.9265,0.0318,0.9178,0.038,0.9833,0.0076
1.0,0.006579,3,3,0.9265,0.0318,0.9178,0.038,0.9831,0.0075
1.0,0.006579,3,4,0.9265,0.0318,0.9178,0.038,0.9831,0.0076
1.0,0.006579,3,5,0.9265,0.0318,0.9178,0.038,0.9829,0.0072
1.0,0.006579,3,6,0.9265,0.0318,0.9178,0.038,0.9825,0.0066
1.0,0.006579,3,7,0.9294,0.0345,0.9207,0.0409,0.9823,0.0066
