alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std
0.01,2e-06,3,0,0.7431,0.0313,0.7396,0.0305,0.8235,0.0298
0.01,2e-06,3,1,0.7599,0.0291,0.7575,0.028,0.8311,0.0256
0.01,2e-06,3,2,0.7605,0.0272,0.7581,0.026,0.832,0.0246
0.01,2e-06,3,3,0.7641,0.0254,0.7617,0.0245,0.8324,0.0248
0.01,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.01,2e-06,3,5,0.7647,0.0234,0.7624,0.0222,0.8325,0.0246
0.01,2e-06,3,6,0.7623,0.0228,0.7601,0.0215,0.8326,0.0243
0.01,2e-06,3,7,0.7629,0.022,0.7608,0.0208,0.8323,0.0243
0.013895,2e-06,3,0,0.7431,0.0313,0.7396,0.0305,0.8235,0.0298
0.013895,2e-06,3,1,0.7599,0.0291,0.7575,0.028,0.8311,0.0256
0.013895,2e-06,3,2,0.7605,0.0272,0.7581,0.026,0.832,0.0246
0.013895,2e-06,3,3,0.7641,0.0254,0.7617,0.0245,0.8324,0.0248
0.013895,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.013895,2e-06,3,5,0.7647,0.0234,0.7624,0.0222,0.8325,0.0246
0.013895,2e-06,3,6,0.7623,0.0228,0.7601,0.0215,0.8326,0.0243
0.013895,2e-06,3,7,0.7629,0.022,0.7608,0.0208,0.8323,0.0243
0.019307,2e-06,3,0,0.7431,0.0313,0.7396,0.0305,0.8235,0.0298
0.019307,2e-06,3,1,0.7599,0.0291,0.7575,0.028,0.8311,0.0256
0.019307,2e-06,3,2,0.7605,0.0272,0.7581,0.026,0.832,0.0246
0.019307,2e-06,3,3,0.7641,0.0254,0.7617,0.0245,0.8324,0.0248
0.019307,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.019307,2e-06,3,5,0.7647,0.0234,0.7624,0.0222,0.8325,0.0246
0.019307,2e-06,3,6,0.7623,0.0228,0.7601,0.0215,0.8326,0.0243
0.019307,2e-06,3,7,0.7629,0.022,0.7608,0.0208,0.8323,0.0243
0.026827,2e-06,3,0,0.7431,0.0313,0.7396,0.0305,0.8235,0.0298
0.026827,2e-06,3,1,0.7599,0.0291,0.7575,0.028,0.8311,0.0256
0.026827,2e-06,3,2,0.7605,0.0272,0.7581,0.026,0.832,0.0246
0.026827,2e-06,3,3,0.7641,0.0254,0.7617,0.0245,0.8324,0.0248
0.026827,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.026827,2e-06,3,5,0.7647,0.0234,0.7624,0.0222,0.8325,0.0246
0.026827,2e-06,3,6,0.7623,0.0228,0.7601,0.0215,0.8326,0.0243
0.026827,2e-06,3,7,0.7629,0.022,0.7608,0.0208,0.8323,0.0243
0.037276,2e-06,3,0,0.7431,0.0313,0.7396,0.0305,0.8235,0.0298
0.037276,2e-06,3,1,0.7599,0.0291,0.7575,0.028,0.8311,0.0256
0.037276,2e-06,3,2,0.7605,0.0272,0.7581,0.026,0.832,0.0246
0.037276,2e-06,3,3,0.7641,0.0254,0.7617,0.0245,0.8324,0.0248
0.037276,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.037276,2e-06,3,5,0.7647,0.0234,0.7624,0.0222,0.8325,0.0246
0.037276,2e-06,3,6,0.7623,0.0228,0.7601,0.0215,0.8326,0.0243
0.037276,2e-06,3,7,0.7629,0.022,0.7608,0.0208,0.8323,0.0243
0.051795,2e-06,3,0,0.7431,0.0313,0.7396,0.0305,0.8235,0.0298
0.051795,2e-06,3,1,0.7599,0.0291,0.7575,0.028,0.8311,0.0256
0.051795,2e-06,3,2,0.7605,0.0272,0.7581,0.026,0.832,0.0246
0.051795,2e-06,3,3,0.7641,0.0254,0.7617,0.0245,0.8324,0.0248
0.051795,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.051795,2e-06,3,5,0.7647,0.0234,0.7624,0.0222,0.8325,0.0246
0.051795,2e-06,3,6,0.7623,0.0228,0.7601,0.0215,0.8326,0.0243
0.051795,2e-06,3,7,0.7629,0.022,0.7608,0.0208,0.8323,0.0243
0.071969,2e-06,3,0,0.7431,0.0313,0.7396,0.0305,0.8235,0.0298
0.071969,2e-06,3,1,0.7599,0.0291,0.7575,0.028,0.8311,0.0256
0.071969,2e-06,3,2,0.7605,0.0272,0.7581,0.026,0.832,0.0246
0.071969,2e-06,3,3,0.7641,0.0254,0.7617,0.0245,0.8324,0.0248
0.071969,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.071969,2e-06,3,5,0.7647,0.0234,0.7624,0.0222,0.8325,0.0246
0.071969,2e-06,3,6,0.7623,0.0228,0.7601,0.0215,0.8326,0.0243
0.071969,2e-06,3,7,0.7629,0.022,0.7608,0.0208,0.8323,0.0243
0.1,2e-06,3,0,0.7431,0.0313,0.7396,0.0305,0.8235,0.0298
0.1,2e-06,3,1,0.7599,0.0291,0.7575,0.028,0.8311,0.0256
0.1,2e-06,3,2,0.7605,0.0272,0.7581,0.026,0.832,0.0246
0.1,2e-06,3,3,0.7641,0.0254,0.7617,0.0245,0.8324,0.0248
0.1,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.1,2e-06,3,5,0.7647,0.0234,0.7624,0.0222,0.8325,0.0246
0.1,2e-06,3,6,0.7623,0.0228,0.7601,0.0215,0.8326,0.0243
0.1,2e-06,3,7,0.7629,0.022,0.7608,0.0208,0.8323,0.0243
0.13895,2e-06,3,0,0.7431,0.0313,0.7396,0.0305,0.8235,0.0298
0.13895,2e-06,3,1,0.7599,0.0291,0.7575,0.028,0.8311,0.0256
0.13895,2e-06,3,2,0.7605,0.0272,0.7581,0.026,0.832,0.0246
0.13895,2e-06,3,3,0.7641,0.0254,0.7617,0.0245,0.8324,0.0248
0.13895,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.13895,2e-06,3,5,0.7647,0.0234,0.7624,0.0222,0.8325,0.0246
0.13895,2e-06,3,6,0.7623,0.0228,0.7601,0.0215,0.8326,0.0243
0.13895,2e-06,3,7,0.7629,0.022,0.7608,0.0208,0.8323,0.0243
0.19307,2e-06,3,0,0.7431,0.0313,0.7396,0.0305,0.8235,0.0298
0.19307,2e-06,3,1,0.7599,0.0291,0.7575,0.028,0.8311,0.0256
0.19307,2e-06,3,2,0.7605,0.0272,0.7581,0.026,0.832,0.0246
0.19307,2e-06,3,3,0.7641,0.0254,0.7617,0.0245,0.8324,0.0248
0.19307,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.19307,2e-06,3,5,0.7647,0.0234,0.7624,0.0222,0.8325,0.0246
0.19307,2e-06,3,6,0.7623,0.0228,0.7601,0.0215,0.8326,0.0243
0.19307,2e-06,3,7,0.7629,0.022,0.7608,0.0208,0.8323,0.0243
0.26827,2e-06,3,0,0.7431,0.0313,0.7396,0.0305,0.8235,0.0298
0.26827,2e-06,3,1,0.7599,0.0291,0.7575,0.028,0.8311,0.0256
0.26827,2e-06,3,2,0.7605,0.0272,0.7581,0.026,0.832,0.0246
0.26827,2e-06,3,3,0.7641,0.0254,0.7617,0.0245,0.8324,0.0248
0.26827,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.26827,2e-06,3,5,0.7647,0.0234,0.7624,0.0222,0.8325,0.0246
0.26827,2e-06,3,6,0.7623,0.0228,0.7601,0.0215,0.8326,0.0243
0.26827,2e-06,3,7,0.7629,0.022,0.7608,0.0208,0.8323,0.0243
0.372759,2e-06,3,0,0.7431,0.0313,0.7396,0.0305,0.8235,0.0298
0.372759,2e-06,3,1,0.7599,0.0291,0.7575,0.028,0.8311,0.0256
0.372759,2e-06,3,2,0.7605,0.0272,0.7581,0.026,0.832,0.0246
0.372759,2e-06,3,3,0.7641,0.0254,0.7617,0.0245,0.8324,0.0248
0.372759,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.372759,2e-06,3,5,0.7647,0.0234,0.7624,0.0222,0.8325,0.0246
0.372759,2e-06,3,6,0.7623,0.0228,0.7601,0.0215,0.8326,0.0243
0.372759,2e-06,3,7,0.7629,0.022,0.7608,0.0208,0.8323,0.0243
0.517947,2e-06,3,0,0.7431,0.0313,0.7396,0.0305,0.8235,0.0298
0.517947,2e-06,3,1,0.7599,0.0291,0.7575,0.028,0.8311,0.0256
0.517947,2e-06,3,2,0.7605,0.0272,0.7581,0.026,0.832,0.0246
0.517947,2e-06,3,3,0.7641,0.0254,0.7617,0.0245,0.8325,0.0248
0.517947,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.517947,2e-06,3,5,0.7647,0.0234,0.7624,0.0222,0.8325,0.0246
0.517947,2e-06,3,6,0.7623,0.0228,0.7601,0.0215,0.8326,0.0243
0.517947,2e-06,3,7,0.7629,0.022,0.7608,0.0208,0.8323,0.0243
0.719686,2e-06,3,0,0.7431,0.0313,0.7396,0.0305,0.8235,0.0298
0.719686,2e-06,3,1,0.7599,0.0291,0.7575,0.028,0.8311,0.0256
0.719686,2e-06,3,2,0.7605,0.0272,0.7581,0.026,0.832,0.0246
0.719686,2e-06,3,3,0.7641,0.0254,0.7617,0.0245,0.8325,0.0248
0.719686,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.719686,2e-06,3,5,0.7647,0.0234,0.7624,0.0222,0.8325,0.0246
0.719686,2e-06,3,6,0.7623,0.0228,0.7601,0.0215,0.8327,0.0243
0.719686,2e-06,3,7,0.7629,0.022,0.7608,0.0208,0.8323,0.0243
