alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std,run_time
0.01,0.0001,3,0,0.859,0.0364,0.8435,0.0464,0.8561,0.0579,12.3858
0.01,0.000127,3,0,0.859,0.0364,0.8435,0.0464,0.8561,0.0579,12.3858
0.01,0.000162,3,0,0.859,0.0364,0.8435,0.0464,0.8561,0.0579,12.3858
0.01,0.000207,3,0,0.859,0.0364,0.8435,0.0464,0.8561,0.0579,12.3858
0.01,0.000264,3,0,0.859,0.0364,0.8435,0.0464,0.8562,0.0578,12.3858
0.01,0.000336,3,0,0.859,0.0364,0.8435,0.0464,0.8562,0.0578,12.3858
0.01,0.000428,3,0,0.859,0.0364,0.8435,0.0464,0.8562,0.0578,12.3858
0.01,0.000546,3,0,0.859,0.0364,0.8435,0.0464,0.8564,0.0577,12.3858
0.01,0.000695,3,0,0.859,0.0364,0.8435,0.0464,0.8566,0.058,12.3858
0.01,0.000886,3,0,0.859,0.0364,0.8435,0.0464,0.8564,0.0581,12.3858
0.01,0.001129,3,0,0.859,0.0364,0.8435,0.0464,0.8564,0.0581,12.3858
0.01,0.001438,3,0,0.859,0.0364,0.8435,0.0464,0.8566,0.0579,12.3858
0.01,0.001833,3,0,0.859,0.0364,0.8435,0.0464,0.8566,0.0579,12.3858
0.01,0.002336,3,0,0.859,0.0364,0.8435,0.0464,0.8567,0.0582,12.3858
0.01,0.002976,3,0,0.859,0.0364,0.8435,0.0464,0.8567,0.0582,12.3858
0.01,0.003793,3,0,0.859,0.0364,0.8435,0.0464,0.857,0.0581,12.3858
0.01,0.004833,3,0,0.859,0.0364,0.8435,0.0464,0.8572,0.058,12.3858
0.01,0.006158,3,0,0.859,0.0364,0.8435,0.0464,0.8574,0.0579,12.3858
0.01,0.007848,3,0,0.859,0.0364,0.8435,0.0464,0.8577,0.0573,12.3858
0.01,0.01,3,0,0.859,0.0364,0.8435,0.0464,0.858,0.0571,12.3858
0.013895,0.0001,3,0,0.859,0.0364,0.8435,0.0464,0.8561,0.0579,12.3858
0.013895,0.000127,3,0,0.859,0.0364,0.8435,0.0464,0.8561,0.0579,12.3858
0.013895,0.000162,3,0,0.859,0.0364,0.8435,0.0464,0.8561,0.0579,12.3858
0.013895,0.000207,3,0,0.859,0.0364,0.8435,0.0464,0.8562,0.0578,12.3858
0.013895,0.000264,3,0,0.859,0.0364,0.8435,0.0464,0.8562,0.0578,12.3858
0.013895,0.000336,3,0,0.859,0.0364,0.8435,0.0464,0.8562,0.0578,12.3858
0.013895,0.000428,3,0,0.859,0.0364,0.8435,0.0464,0.8564,0.0577,12.3858
0.013895,0.000546,3,0,0.859,0.0364,0.8435,0.0464,0.8566,0.058,12.3858
0.013895,0.000695,3,0,0.859,0.0364,0.8435,0.0464,0.8564,0.0581,12.3858
0.013895,0.000886,3,0,0.859,0.0364,0.8435,0.0464,0.8564,0.0581,12.3858
0.013895,0.001129,3,0,0.859,0.0364,0.8435,0.0464,0.8566,0.0579,12.3858
0.013895,0.001438,3,0,0.859,0.0364,0.8435,0.0464,0.8566,0.0579,12.3858
0.013895,0.001833,3,0,0.859,0.0364,0.8435,0.0464,0.8567,0.0582,12.3858
0.013895,0.002336,3,0,0.859,0.0364,0.8435,0.0464,0.857,0.0581,12.3858
0.013895,0.002976,3,0,0.859,0.0364,0.8435,0.0464,0.8572,0.058,12.3858
0.013895,0.003793,3,0,0.859,0.0364,0.8435,0.0464,0.8572,0.058,12.3858
0.013895,0.004833,3,0,0.859,0.0364,0.8435,0.0464,0.8575,0.0578,12.3858
0.013895,0.006158,3,0,0.859,0.0364,0.8435,0.0464,0.858,0.0571,12.3858
0.013895,0.007848,3,0,0.859,0.0364,0.8435,0.0464,0.8582,0.0573,12.3858
