alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std,run_time
0.01,0.0001,3,0,0.6935,0.0728,0.6915,0.073,0.7482,0.0698,244.6393
0.01,0.000113,3,0,0.6935,0.0728,0.6915,0.073,0.7482,0.0698,244.6393
0.01,0.000127,3,0,0.6935,0.0728,0.6915,0.073,0.7482,0.0698,244.6393
0.01,0.000144,3,0,0.6935,0.0728,0.6915,0.073,0.7482,0.0698,244.6393
0.01,0.000162,3,0,0.6935,0.0728,0.6915,0.073,0.7483,0.0697,244.6393
0.01,0.000183,3,0,0.6935,0.0728,0.6915,0.073,0.748,0.0698,244.6393
0.01,0.000207,3,0,0.6935,0.0728,0.6915,0.073,0.748,0.0698,244.6393
0.01,0.000234,3,0,0.6935,0.0728,0.6915,0.073,0.7482,0.0696,244.6393
0.01,0.000264,3,0,0.6935,0.0728,0.6915,0.073,0.7482,0.0696,244.6393
0.01,0.000298,3,0,0.6935,0.0728,0.6915,0.073,0.7483,0.0696,244.6393
0.01,0.000336,3,0,0.6956,0.071,0.6938,0.0713,0.7484,0.0692,244.6393
0.01,0.000379,3,0,0.6956,0.071,0.6938,0.0713,0.7484,0.0692,244.6393
0.01,0.000428,3,0,0.6956,0.071,0.6938,0.0713,0.749,0.0689,244.6393
0.01,0.000483,3,0,0.6956,0.071,0.6938,0.0713,0.749,0.0689,244.6393
0.01,0.000546,3,0,0.6956,0.071,0.6938,0.0713,0.7491,0.0688,244.6393
0.01,0.000616,3,0,0.6956,0.071,0.6938,0.0713,0.7491,0.0688,244.6393
0.01,0.000695,3,0,0.6956,0.071,0.6938,0.0713,0.7488,0.0691,244.6393
0.01,0.000785,3,0,0.6913,0.0655,0.6896,0.0659,0.749,0.069,244.6393
0.01,0.000886,3,0,0.6913,0.0655,0.6896,0.0659,0.749,0.069,244.6393
0.01,0.001,3,0,0.6935,0.066,0.6916,0.0663,0.749,0.0692,244.6393
0.013895,0.0001,3,0,0.6935,0.0728,0.6915,0.073,0.7482,0.0698,244.6393
0.013895,0.000113,3,0,0.6935,0.0728,0.6915,0.073,0.748,0.0698,244.6393
0.013895,0.000127,3,0,0.6935,0.0728,0.6915,0.073,0.748,0.0698,244.6393
0.013895,0.000144,3,0,0.6935,0.0728,0.6915,0.073,0.748,0.0698,244.6393
0.013895,0.000162,3,0,0.6935,0.0728,0.6915,0.073,0.7482,0.0696,244.6393
0.013895,0.000183,3,0,0.6935,0.0728,0.6915,0.073,0.748,0.0695,244.6393
0.013895,0.000207,3,0,0.6935,0.0728,0.6915,0.073,0.748,0.0695,244.6393
0.013895,0.000234,3,0,0.6935,0.0728,0.6915,0.073,0.7481,0.0696,244.6393
0.013895,0.000264,3,0,0.6956,0.071,0.6938,0.0713,0.7482,0.0696,244.6393
0.013895,0.000298,3,0,0.6956,0.071,0.6938,0.0713,0.7484,0.0695,244.6393
0.013895,0.000336,3,0,0.6956,0.071,0.6938,0.0713,0.749,0.0692,244.6393
0.013895,0.000379,3,0,0.6956,0.071,0.6938,0.0713,0.7488,0.0693,244.6393
0.013895,0.000428,3,0,0.6935,0.0706,0.6917,0.071,0.7484,0.0697,244.6393
0.013895,0.000483,3,0,0.6935,0.0706,0.6917,0.071,0.7484,0.0697,244.6393
0.013895,0.000546,3,0,0.6913,0.0655,0.6896,0.0659,0.7482,0.0696,244.6393
0.013895,0.000616,3,0,0.6913,0.0655,0.6896,0.0659,0.7486,0.0697,244.6393
0.013895,0.000695,3,0,0.6913,0.0655,0.6896,0.0659,0.7486,0.0697,244.6393
0.013895,0.000785,3,0,0.6913,0.0655,0.6896,0.0659,0.7484,0.0698,244.6393
0.013895,0.000886,3,0,0.6913,0.0655,0.6896,0.0659,0.7484,0.0698,244.6393
0.013895,0.001,3,0,0.6913,0.0655,0.6896,0.0659,0.7486,0.0697,244.6393
0.019307,0.0001,3,0,0.6935,0.0728,0.6915,0.073,0.748,0.0698,244.6393
0.019307,0.000113,3,0,0.6935,0.0728,0.6915,0.073,0.7482,0.0696,244.6393
0.019307,0.000127,3,0,0.6935,0.0728,0.6915,0.073,0.7481,0.0695,244.6393
0.019307,0.000144,3,0,0.6935,0.0728,0.6915,0.073,0.7477,0.0698,244.6393
0.019307,0.000162,3,0,0.6935,0.0728,0.6915,0.073,0.748,0.0697,244.6393
0.019307,0.000183,3,0,0.6956,0.071,0.6938,0.0713,0.7479,0.0697,244.6393
0.019307,0.000207,3,0,0.6956,0.071,0.6938,0.0713,0.7482,0.0696,244.6393
0.019307,0.000234,3,0,0.6956,0.071,0.6938,0.0713,0.7486,0.0694,244.6393
0.019307,0.000264,3,0,0.6956,0.071,0.6938,0.0713,0.7484,0.0695,244.6393
0.019307,0.000298,3,0,0.6935,0.0706,0.6917,0.071,0.7485,0.0696,244.6393
0.019307,0.000336,3,0,0.6935,0.0706,0.6917,0.071,0.7483,0.0697,244.6393
0.019307,0.000379,3,0,0.6913,0.0655,0.6896,0.0659,0.7483,0.0697,244.6393
0.019307,0.000428,3,0,0.6913,0.0655,0.6896,0.0659,0.7484,0.07,244.6393
0.019307,0.000483,3,0,0.6913,0.0655,0.6896,0.0659,0.7483,0.07,244.6393
0.019307,0.000546,3,0,0.6913,0.0655,0.6896,0.0659,0.7482,0.0698,244.6393
0.019307,0.000616,3,0,0.6913,0.0655,0.6896,0.0659,0.7482,0.0698,244.6393
0.019307,0.000695,3,0,0.6913,0.0655,0.6896,0.0659,0.7482,0.0698,244.6393
0.019307,0.000785,3,0,0.6891,0.068,0.6871,0.069,0.7483,0.0695,244.6393
0.019307,0.000886,3,0,0.6891,0.068,0.6871,0.069,0.7482,0.0696,244.6393
0.019307,0.001,3,0,0.6891,0.068,0.6871,0.069,0.7482,0.0696,244.6393
0.026827,0.0001,3,0,0.6935,0.0728,0.6915,0.073,0.7478,0.0698,244.6393
0.026827,0.000113,3,0,0.6935,0.0728,0.6915,0.073,0.748,0.0697,244.6393
0.026827,0.000127,3,0,0.6935,0.0728,0.6915,0.073,0.748,0.0697,244.6393
0.026827,0.000144,3,0,0.6956,0.071,0.6938,0.0713,0.7482,0.0696,244.6393
0.026827,0.000162,3,0,0.6956,0.071,0.6938,0.0713,0.7484,0.0695,244.6393
0.026827,0.000183,3,0,0.6956,0.071,0.6938,0.0713,0.7485,0.0695,244.6393
0.026827,0.000207,3,0,0.6956,0.071,0.6938,0.0713,0.748,0.0699,244.6393
0.026827,0.000234,3,0,0.6935,0.0706,0.6917,0.071,0.7482,0.0698,244.6393
