alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std,run_time
0.01,0.0001,3,0,0.7254,0.0223,0.6601,0.0473,0.7187,0.0562,333.1876
0.01,0.000113,3,0,0.7254,0.0223,0.6601,0.0473,0.719,0.0568,333.1876
0.01,0.000127,3,0,0.7254,0.0223,0.6601,0.0473,0.7193,0.057,333.1876
0.01,0.000144,3,0,0.7254,0.0223,0.6601,0.0473,0.7196,0.0573,333.1876
0.01,0.000162,3,0,0.7254,0.0223,0.6601,0.0473,0.7199,0.0574,333.1876
0.01,0.000183,3,0,0.7254,0.0223,0.6601,0.0473,0.7207,0.0575,333.1876
0.01,0.000207,3,0,0.7254,0.0223,0.6601,0.0473,0.7209,0.0577,333.1876
0.01,0.000234,3,0,0.7254,0.0223,0.6601,0.0473,0.7216,0.058,333.1876
0.01,0.000264,3,0,0.7254,0.0223,0.6601,0.0473,0.722,0.0584,333.1876
0.01,0.000298,3,0,0.7254,0.0223,0.6601,0.0473,0.7227,0.0591,333.1876
0.01,0.000336,3,0,0.7271,0.0203,0.6636,0.0422,0.724,0.059,333.1876
0.01,0.000379,3,0,0.7271,0.0203,0.6636,0.0422,0.7245,0.059,333.1876
0.01,0.000428,3,0,0.7271,0.0203,0.6636,0.0422,0.7246,0.0597,333.1876
0.01,0.000483,3,0,0.7271,0.0203,0.6636,0.0422,0.7247,0.0599,333.1876
0.01,0.000546,3,0,0.7271,0.0203,0.6636,0.0422,0.7245,0.0602,333.1876
0.01,0.000616,3,0,0.7271,0.0203,0.6636,0.0422,0.7243,0.0604,333.1876
0.01,0.000695,3,0,0.7271,0.0203,0.6636,0.0422,0.7251,0.0601,333.1876
0.01,0.000785,3,0,0.7271,0.0203,0.6636,0.0422,0.7247,0.0599,333.1876
0.01,0.000886,3,0,0.7254,0.0208,0.6623,0.0422,0.7254,0.0596,333.1876
0.01,0.001,3,0,0.7271,0.0203,0.6655,0.0398,0.7255,0.0595,333.1876
0.013895,0.0001,3,0,0.7254,0.0223,0.6601,0.0473,0.7195,0.0571,333.1876
0.013895,0.000113,3,0,0.7254,0.0223,0.6601,0.0473,0.72,0.0574,333.1876
0.013895,0.000127,3,0,0.7254,0.0223,0.6601,0.0473,0.7202,0.0573,333.1876
0.013895,0.000144,3,0,0.7254,0.0223,0.6601,0.0473,0.7208,0.0577,333.1876
0.013895,0.000162,3,0,0.7254,0.0223,0.6601,0.0473,0.7209,0.0577,333.1876
0.013895,0.000183,3,0,0.7254,0.0223,0.6601,0.0473,0.722,0.0583,333.1876
0.013895,0.000207,3,0,0.7254,0.0223,0.6601,0.0473,0.7218,0.0588,333.1876
0.013895,0.000234,3,0,0.7271,0.0203,0.6636,0.0422,0.7232,0.0591,333.1876
0.013895,0.000264,3,0,0.7271,0.0203,0.6636,0.0422,0.7243,0.0591,333.1876
0.013895,0.000298,3,0,0.7271,0.0203,0.6636,0.0422,0.7245,0.0598,333.1876
0.013895,0.000336,3,0,0.7271,0.0203,0.6636,0.0422,0.7247,0.0598,333.1876
0.013895,0.000379,3,0,0.7271,0.0203,0.6636,0.0422,0.7242,0.0607,333.1876
0.013895,0.000428,3,0,0.7271,0.0203,0.6636,0.0422,0.7244,0.0607,333.1876
0.013895,0.000483,3,0,0.7271,0.0203,0.6636,0.0422,0.7249,0.0607,333.1876
0.013895,0.000546,3,0,0.7305,0.0218,0.6696,0.0419,0.7249,0.0601,333.1876
0.013895,0.000616,3,0,0.7288,0.0226,0.6684,0.0421,0.7257,0.0607,333.1876
0.013895,0.000695,3,0,0.7288,0.0226,0.6684,0.0421,0.7266,0.0599,333.1876
0.013895,0.000785,3,0,0.7288,0.0226,0.6684,0.0421,0.727,0.0602,333.1876
0.013895,0.000886,3,0,0.7288,0.0226,0.6684,0.0421,0.727,0.06,333.1876
0.013895,0.001,3,0,0.7271,0.0246,0.6672,0.0436,0.727,0.0605,333.1876
0.019307,0.0001,3,0,0.7254,0.0223,0.6601,0.0473,0.7202,0.0574,333.1876
0.019307,0.000113,3,0,0.7254,0.0223,0.6601,0.0473,0.7206,0.0575,333.1876
0.019307,0.000127,3,0,0.7254,0.0223,0.6601,0.0473,0.721,0.0578,333.1876
0.019307,0.000144,3,0,0.7254,0.0223,0.6601,0.0473,0.7215,0.0583,333.1876
0.019307,0.000162,3,0,0.7254,0.0223,0.6601,0.0473,0.7226,0.0591,333.1876
0.019307,0.000183,3,0,0.7271,0.0203,0.6636,0.0422,0.7236,0.0592,333.1876
0.019307,0.000207,3,0,0.7271,0.0203,0.6636,0.0422,0.7244,0.0592,333.1876
0.019307,0.000234,3,0,0.7271,0.0203,0.6636,0.0422,0.7248,0.0598,333.1876
0.019307,0.000264,3,0,0.7271,0.0203,0.6636,0.0422,0.7243,0.0602,333.1876
0.019307,0.000298,3,0,0.7271,0.0203,0.6636,0.0422,0.7248,0.0603,333.1876
0.019307,0.000336,3,0,0.7271,0.0203,0.6636,0.0422,0.7253,0.0607,333.1876
0.019307,0.000379,3,0,0.7305,0.0218,0.6696,0.0419,0.7252,0.0607,333.1876
0.019307,0.000428,3,0,0.7288,0.0226,0.6684,0.0421,0.7259,0.0606,333.1876
0.019307,0.000483,3,0,0.7288,0.0226,0.6684,0.0421,0.7265,0.06,333.1876
0.019307,0.000546,3,0,0.7288,0.0226,0.6684,0.0421,0.7272,0.0599,333.1876
0.019307,0.000616,3,0,0.7288,0.0226,0.6684,0.0421,0.7276,0.06,333.1876
0.019307,0.000695,3,0,0.7271,0.0246,0.6672,0.0436,0.7284,0.06,333.1876
0.019307,0.000785,3,0,0.7271,0.0246,0.6672,0.0436,0.7291,0.0599,333.1876
0.019307,0.000886,3,0,0.7271,0.0246,0.6672,0.0436,0.7291,0.0602,333.1876
0.019307,0.001,3,0,0.7271,0.0246,0.6672,0.0436,0.7293,0.0597,333.1876
0.026827,0.0001,3,0,0.7254,0.0223,0.6601,0.0473,0.7218,0.0583,333.1876
0.026827,0.000113,3,0,0.7254,0.0223,0.6601,0.0473,0.7219,0.0588,333.1876
0.026827,0.000127,3,0,0.7271,0.0203,0.6636,0.0422,0.723,0.0594,333.1876
0.026827,0.000144,3,0,0.7271,0.0203,0.6636,0.0422,0.7243,0.0589,333.1876
0.026827,0.000162,3,0,0.7271,0.0203,0.6636,0.0422,0.7248,0.0596,333.1876
0.026827,0.000183,3,0,0.7271,0.0203,0.6636,0.0422,0.7243,0.0604,333.1876
0.026827,0.000207,3,0,0.7271,0.0203,0.6636,0.0422,0.7246,0.0602,333.1876
0.026827,0.000234,3,0,0.7271,0.0203,0.6636,0.0422,0.7251,0.0602,333.1876
0.026827,0.000264,3,0,0.7288,0.0196,0.6668,0.0397,0.7253,0.0608,333.1876
0.026827,0.000298,3,0,0.7305,0.0218,0.6696,0.0419,0.7255,0.0607,333.1876
0.026827,0.000336,3,0,0.7288,0.0226,0.6684,0.0421,0.7266,0.0601,333.1876
0.026827,0.000379,3,0,0.7288,0.0226,0.6684,0.0421,0.7273,0.0593,333.1876
0.026827,0.000428,3,0,0.7288,0.0226,0.6684,0.0421,0.728,0.0598,333.1876
0.026827,0.000483,3,0,0.7254,0.025,0.6659,0.0432,0.7294,0.0599,333.1876
0.026827,0.000546,3,0,0.7254,0.025,0.6659,0.0432,0.7295,0.0595,333.1876
0.026827,0.000616,3,0,0.7254,0.025,0.6659,0.0432,0.7306,0.0597,333.1876
0.026827,0.000695,3,0,0.7254,0.025,0.6659,0.0432,0.7316,0.0597,333.1876
0.026827,0.000785,3,0,0.7254,0.025,0.6659,0.0432,0.732,0.0598,333.1876
0.026827,0.000886,3,0,0.7254,0.025,0.6659,0.0432,0.7329,0.06,333.1876
0.026827,0.001,3,0,0.7254,0.025,0.6659,0.0432,0.7324,0.0613,333.1876
0.037276,0.0001,3,0,0.7271,0.0203,0.6636,0.0422,0.7235,0.0594,333.1876
0.037276,0.000113,3,0,0.7271,0.0203,0.6636,0.0422,0.7245,0.0585,333.1876
0.037276,0.000127,3,0,0.7271,0.0203,0.6636,0.0422,0.7246,0.06,333.1876
0.037276,0.000144,3,0,0.7271,0.0203,0.6636,0.0422,0.7243,0.0602,333.1876
0.037276,0.000162,3,0,0.7271,0.0203,0.6636,0.0422,0.7249,0.0603,333.1876
0.037276,0.000183,3,0,0.7271,0.0203,0.6636,0.0422,0.7252,0.0607,333.1876
0.037276,0.000207,3,0,0.7305,0.0218,0.6696,0.0419,0.726,0.0614,333.1876
0.037276,0.000234,3,0,0.7288,0.0226,0.6684,0.0421,0.7263,0.0602,333.1876
0.037276,0.000264,3,0,0.7288,0.0226,0.6684,0.0421,0.7268,0.0595,333.1876
0.037276,0.000298,3,0,0.7288,0.0226,0.6684,0.0421,0.728,0.0601,333.1876
0.037276,0.000336,3,0,0.7254,0.025,0.6659,0.0432,0.7293,0.0603,333.1876
0.037276,0.000379,3,0,0.7254,0.025,0.6659,0.0432,0.7298,0.0599,333.1876
0.037276,0.000428,3,0,0.7254,0.025,0.6659,0.0432,0.7318,0.0586,333.1876
0.037276,0.000483,3,0,0.7254,0.025,0.6659,0.0432,0.7315,0.0602,333.1876
0.037276,0.000546,3,0,0.7254,0.025,0.6659,0.0432,0.7322,0.0615,333.1876
0.037276,0.000616,3,0,0.7254,0.025,0.6659,0.0432,0.7338,0.0624,333.1876
