alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std,run_time
0.01,0.0001,3,0,0.8009,0.043,0.797,0.0431,0.8683,0.0471,47.7709
0.01,0.000127,3,0,0.8009,0.043,0.797,0.0431,0.8683,0.0471,47.7709
0.01,0.000162,3,0,0.8009,0.043,0.797,0.0431,0.8683,0.0471,47.7709
0.01,0.000207,3,0,0.8009,0.043,0.797,0.0431,0.8683,0.0471,47.7709
0.01,0.000264,3,0,0.8009,0.043,0.797,0.0431,0.8683,0.0471,47.7709
0.01,0.000336,3,0,0.8009,0.043,0.797,0.0431,0.8683,0.0471,47.7709
0.01,0.000428,3,0,0.8009,0.043,0.797,0.0431,0.8683,0.047,47.7709
0.01,0.000546,3,0,0.8009,0.043,0.797,0.0431,0.8683,0.047,47.7709
0.01,0.000695,3,0,0.8009,0.043,0.797,0.0431,0.8683,0.047,47.7709
0.01,0.000886,3,0,0.8009,0.043,0.797,0.0431,0.8684,0.0469,47.7709
0.01,0.001129,3,0,0.8009,0.043,0.797,0.0431,0.8684,0.0469,47.7709
0.01,0.001438,3,0,0.8009,0.043,0.797,0.0431,0.8684,0.0469,47.7709
0.01,0.001833,3,0,0.8009,0.043,0.797,0.0431,0.8685,0.0469,47.7709
0.01,0.002336,3,0,0.8009,0.043,0.797,0.0431,0.8685,0.0469,47.7709
0.01,0.002976,3,0,0.8009,0.043,0.797,0.0431,0.8686,0.0469,47.7709
0.01,0.003793,3,0,0.8018,0.0405,0.7978,0.041,0.8686,0.0468,47.7709
0.01,0.004833,3,0,0.8018,0.0405,0.7978,0.041,0.8687,0.0468,47.7709
0.01,0.006158,3,0,0.8026,0.0412,0.7986,0.0416,0.8688,0.0468,47.7709
0.01,0.007848,3,0,0.8026,0.0412,0.7986,0.0416,0.869,0.0468,47.7709
0.01,0.01,3,0,0.8026,0.0412,0.7986,0.0416,0.8692,0.0466,47.7709
0.013895,0.0001,3,0,0.8009,0.043,0.797,0.0431,0.8683,0.0471,47.7709
0.013895,0.000127,3,0,0.8009,0.043,0.797,0.0431,0.8683,0.0471,47.7709
0.013895,0.000162,3,0,0.8009,0.043,0.797,0.0431,0.8683,0.0471,47.7709
0.013895,0.000207,3,0,0.8009,0.043,0.797,0.0431,0.8683,0.0471,47.7709
0.013895,0.000264,3,0,0.8009,0.043,0.797,0.0431,0.8683,0.047,47.7709
0.013895,0.000336,3,0,0.8009,0.043,0.797,0.0431,0.8683,0.047,47.7709
0.013895,0.000428,3,0,0.8009,0.043,0.797,0.0431,0.8683,0.047,47.7709
0.013895,0.000546,3,0,0.8009,0.043,0.797,0.0431,0.8684,0.0469,47.7709
0.013895,0.000695,3,0,0.8009,0.043,0.797,0.0431,0.8684,0.0469,47.7709
0.013895,0.000886,3,0,0.8009,0.043,0.797,0.0431,0.8684,0.0469,47.7709
0.013895,0.001129,3,0,0.8009,0.043,0.797,0.0431,0.8685,0.0469,47.7709
0.013895,0.001438,3,0,0.8009,0.043,0.797,0.0431,0.8685,0.0469,47.7709
0.013895,0.001833,3,0,0.8009,0.043,0.797,0.0431,0.8685,0.0469,47.7709
0.013895,0.002336,3,0,0.8009,0.043,0.797,0.0431,0.8685,0.0468,47.7709
0.013895,0.002976,3,0,0.8018,0.0405,0.7978,0.041,0.8687,0.0469,47.7709
0.013895,0.003793,3,0,0.8018,0.0405,0.7978,0.041,0.8687,0.0468,47.7709
0.013895,0.004833,3,0,0.8026,0.0412,0.7986,0.0416,0.8689,0.0467,47.7709
