alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std,run_time
0.01,0.0001,3,0,0.7298,0.0341,0.7115,0.0418,0.795,0.0496,344.2044
0.01,0.000127,3,0,0.7284,0.035,0.7103,0.0429,0.7951,0.05,344.2044
0.01,0.000162,3,0,0.7284,0.035,0.7103,0.0429,0.7959,0.0512,344.2044
0.01,0.000207,3,0,0.7284,0.035,0.7103,0.0429,0.7964,0.0518,344.2044
0.01,0.000264,3,0,0.7284,0.035,0.7103,0.0429,0.7991,0.0513,344.2044
0.01,0.000336,3,0,0.7284,0.035,0.7103,0.0429,0.8006,0.0517,344.2044
0.01,0.000428,3,0,0.7284,0.035,0.7103,0.0429,0.8013,0.0521,344.2044
0.01,0.000546,3,0,0.7269,0.0359,0.709,0.0435,0.8024,0.052,344.2044
0.01,0.000695,3,0,0.7269,0.0359,0.709,0.0435,0.8038,0.052,344.2044
0.01,0.000886,3,0,0.7269,0.0359,0.709,0.0435,0.8046,0.0521,344.2044
0.01,0.001129,3,0,0.7284,0.035,0.7103,0.0429,0.8043,0.0527,344.2044
0.01,0.001438,3,0,0.7284,0.035,0.7103,0.0429,0.8038,0.0525,344.2044
0.01,0.001833,3,0,0.7298,0.0348,0.7119,0.0432,0.8043,0.0526,344.2044
0.01,0.002336,3,0,0.7298,0.0348,0.7119,0.0432,0.8014,0.0516,344.2044
0.01,0.002976,3,0,0.7284,0.035,0.7103,0.0429,0.7982,0.0504,344.2044
0.01,0.003793,3,0,0.7284,0.035,0.7103,0.0429,0.7968,0.0494,344.2044
0.01,0.004833,3,0,0.7269,0.0359,0.7086,0.0432,0.7942,0.0494,344.2044
0.01,0.006158,3,0,0.7284,0.035,0.7098,0.0422,0.7932,0.0499,344.2044
0.01,0.007848,3,0,0.7284,0.035,0.7098,0.0422,0.7928,0.05,344.2044
0.01,0.01,3,0,0.7284,0.035,0.7098,0.0422,0.7924,0.0503,344.2044
0.013895,0.0001,3,0,0.7284,0.035,0.7103,0.0429,0.7955,0.0504,344.2044
0.013895,0.000127,3,0,0.7284,0.035,0.7103,0.0429,0.7961,0.0515,344.2044
0.013895,0.000162,3,0,0.7284,0.035,0.7103,0.0429,0.7969,0.0517,344.2044
0.013895,0.000207,3,0,0.7284,0.035,0.7103,0.0429,0.7996,0.0514,344.2044
0.013895,0.000264,3,0,0.7284,0.035,0.7103,0.0429,0.8007,0.0524,344.2044
0.013895,0.000336,3,0,0.7269,0.0359,0.709,0.0435,0.802,0.0524,344.2044
0.013895,0.000428,3,0,0.7269,0.0379,0.709,0.0447,0.8041,0.0522,344.2044
0.013895,0.000546,3,0,0.7209,0.0405,0.7038,0.047,0.8054,0.0527,344.2044
0.013895,0.000695,3,0,0.7224,0.0393,0.7054,0.0464,0.8053,0.0543,344.2044
0.013895,0.000886,3,0,0.7254,0.0393,0.7081,0.0462,0.807,0.0535,344.2044
0.013895,0.001129,3,0,0.7254,0.0441,0.7081,0.0508,0.8073,0.0531,344.2044
0.013895,0.001438,3,0,0.7299,0.0413,0.7123,0.0489,0.8067,0.0524,344.2044
0.013895,0.001833,3,0,0.7314,0.0352,0.7136,0.0441,0.8053,0.0525,344.2044
0.013895,0.002336,3,0,0.7314,0.0352,0.7136,0.0441,0.8037,0.052,344.2044
0.013895,0.002976,3,0,0.7314,0.0352,0.7136,0.0441,0.8016,0.0508,344.2044
0.013895,0.003793,3,0,0.7284,0.035,0.7103,0.0429,0.7979,0.0492,344.2044
0.013895,0.004833,3,0,0.7269,0.0359,0.7086,0.0432,0.7958,0.0485,344.2044
0.013895,0.006158,3,0,0.7284,0.035,0.7098,0.0422,0.7938,0.0497,344.2044
0.013895,0.007848,3,0,0.7284,0.035,0.7098,0.0422,0.7929,0.0495,344.2044
0.013895,0.01,3,0,0.7284,0.035,0.7098,0.0422,0.7925,0.0496,344.2044
0.019307,0.0001,3,0,0.7284,0.035,0.7103,0.0429,0.7959,0.0513,344.2044
0.019307,0.000127,3,0,0.7284,0.035,0.7103,0.0429,0.7973,0.0517,344.2044
0.019307,0.000162,3,0,0.7284,0.035,0.7103,0.0429,0.8003,0.0514,344.2044
0.019307,0.000207,3,0,0.7284,0.035,0.7103,0.0429,0.8012,0.0524,344.2044
0.019307,0.000264,3,0,0.7269,0.0359,0.709,0.0435,0.8026,0.0521,344.2044
0.019307,0.000336,3,0,0.7224,0.0346,0.706,0.0416,0.8049,0.0526,344.2044
0.019307,0.000428,3,0,0.7254,0.0353,0.7095,0.0426,0.8053,0.0544,344.2044
0.019307,0.000546,3,0,0.7224,0.0374,0.7068,0.0438,0.8074,0.0541,344.2044
0.019307,0.000695,3,0,0.7224,0.0412,0.7072,0.0476,0.8093,0.0551,344.2044
0.019307,0.000886,3,0,0.7209,0.0434,0.706,0.0499,0.81,0.0551,344.2044
0.019307,0.001129,3,0,0.7209,0.0462,0.7056,0.0525,0.8099,0.0543,344.2044
0.019307,0.001438,3,0,0.7269,0.0445,0.7102,0.0521,0.8089,0.0528,344.2044
0.019307,0.001833,3,0,0.7313,0.0404,0.7146,0.048,0.8083,0.0518,344.2044
0.019307,0.002336,3,0,0.7328,0.0341,0.7156,0.0425,0.8063,0.0523,344.2044
0.019307,0.002976,3,0,0.7314,0.0352,0.7136,0.0441,0.8022,0.0511,344.2044
0.019307,0.003793,3,0,0.7314,0.0352,0.7136,0.0441,0.7996,0.0489,344.2044
0.019307,0.004833,3,0,0.7284,0.035,0.7103,0.0429,0.7974,0.0482,344.2044
0.019307,0.006158,3,0,0.7269,0.0359,0.7086,0.0432,0.7941,0.0493,344.2044
0.019307,0.007848,3,0,0.7284,0.035,0.7098,0.0422,0.7933,0.0496,344.2044
0.019307,0.01,3,0,0.7284,0.035,0.7098,0.0422,0.7926,0.0496,344.2044
0.026827,0.0001,3,0,0.7284,0.035,0.7103,0.0429,0.7979,0.0516,344.2044
0.026827,0.000127,3,0,0.7284,0.035,0.7103,0.0429,0.8005,0.0514,344.2044
0.026827,0.000162,3,0,0.7284,0.035,0.7103,0.0429,0.8024,0.052,344.2044
0.026827,0.000207,3,0,0.7239,0.0381,0.7063,0.045,0.8033,0.0522,344.2044
0.026827,0.000264,3,0,0.7254,0.0353,0.7095,0.0426,0.8044,0.0538,344.2044
0.026827,0.000336,3,0,0.7239,0.036,0.7082,0.0431,0.8074,0.0548,344.2044
0.026827,0.000428,3,0,0.7224,0.0374,0.7074,0.0432,0.8082,0.0556,344.2044
0.026827,0.000546,3,0,0.7284,0.0496,0.7156,0.0557,0.8101,0.0563,344.2044
0.026827,0.000695,3,0,0.7358,0.0467,0.7248,0.0517,0.8104,0.0566,344.2044
0.026827,0.000886,3,0,0.7388,0.0494,0.7281,0.0549,0.8103,0.0562,344.2044
0.026827,0.001129,3,0,0.7343,0.0466,0.7221,0.054,0.8107,0.0561,344.2044
0.026827,0.001438,3,0,0.7239,0.0457,0.7093,0.0516,0.8114,0.054,344.2044
0.026827,0.001833,3,0,0.7298,0.0436,0.7138,0.0511,0.8103,0.052,344.2044
0.026827,0.002336,3,0,0.7358,0.0386,0.7189,0.0475,0.8079,0.0514,344.2044
0.026827,0.002976,3,0,0.7328,0.0341,0.7156,0.0425,0.8055,0.0506,344.2044
0.026827,0.003793,3,0,0.7314,0.0352,0.7136,0.0441,0.8007,0.0494,344.2044
0.026827,0.004833,3,0,0.7284,0.035,0.7103,0.0429,0.7977,0.0479,344.2044
0.026827,0.006158,3,0,0.7269,0.0359,0.7086,0.0432,0.7948,0.0483,344.2044
0.026827,0.007848,3,0,0.7284,0.035,0.7098,0.0422,0.7933,0.049,344.2044
0.026827,0.01,3,0,0.7284,0.035,0.7098,0.0422,0.7924,0.0491,344.2044
0.037276,0.0001,3,0,0.7284,0.035,0.7103,0.0429,0.8008,0.0523,344.2044
0.037276,0.000127,3,0,0.7269,0.0359,0.709,0.0435,0.8025,0.0523,344.2044
0.037276,0.000162,3,0,0.7209,0.0359,0.7043,0.0423,0.804,0.0526,344.2044
0.037276,0.000207,3,0,0.7254,0.0353,0.7095,0.0426,0.8053,0.0549,344.2044
0.037276,0.000264,3,0,0.7209,0.0379,0.7055,0.0441,0.808,0.0556,344.2044
0.037276,0.000336,3,0,0.7298,0.0436,0.7163,0.0495,0.8092,0.0563,344.2044
0.037276,0.000428,3,0,0.7403,0.0488,0.7296,0.0543,0.8104,0.0575,344.2044
0.037276,0.000546,3,0,0.7403,0.0532,0.731,0.0583,0.8099,0.0585,344.2044
0.037276,0.000695,3,0,0.7418,0.0536,0.7336,0.0582,0.8105,0.0578,344.2044
0.037276,0.000886,3,0,0.7418,0.0531,0.7336,0.058,0.8108,0.0576,344.2044
0.037276,0.001129,3,0,0.7433,0.0516,0.7347,0.0568,0.8104,0.0567,344.2044
0.037276,0.001438,3,0,0.7448,0.0524,0.7345,0.0599,0.8109,0.0547,344.2044
0.037276,0.001833,3,0,0.7298,0.0469,0.7154,0.0539,0.8117,0.0531,344.2044
0.037276,0.002336,3,0,0.7313,0.0461,0.7152,0.054,0.8092,0.0513,344.2044
0.037276,0.002976,3,0,0.7343,0.035,0.7172,0.0439,0.8069,0.0514,344.2044
0.037276,0.003793,3,0,0.7328,0.0341,0.7156,0.0425,0.8025,0.0498,344.2044
0.037276,0.004833,3,0,0.7298,0.0348,0.7119,0.0432,0.7985,0.0478,344.2044
0.037276,0.006158,3,0,0.7269,0.0359,0.7086,0.0432,0.7962,0.0473,344.2044
0.037276,0.007848,3,0,0.7284,0.035,0.7098,0.0422,0.7927,0.0483,344.2044
0.037276,0.01,3,0,0.7284,0.035,0.7098,0.0422,0.7922,0.0483,344.2044
0.051795,0.0001,3,0,0.7254,0.0367,0.7077,0.0443,0.8023,0.0523,344.2044
0.051795,0.000127,3,0,0.7254,0.0353,0.7095,0.0426,0.8039,0.0531,344.2044
0.051795,0.000162,3,0,0.7269,0.0366,0.7109,0.0437,0.8064,0.0543,344.2044
0.051795,0.000207,3,0,0.7224,0.0374,0.7074,0.0432,0.808,0.0557,344.2044
0.051795,0.000264,3,0,0.7313,0.0445,0.7189,0.0491,0.8099,0.0563,344.2044
0.051795,0.000336,3,0,0.7433,0.0544,0.7338,0.0593,0.8096,0.0591,344.2044
0.051795,0.000428,3,0,0.7373,0.0585,0.7299,0.0629,0.809,0.0592,344.2044
0.051795,0.000546,3,0,0.7403,0.0559,0.7334,0.0593,0.8092,0.0589,344.2044
0.051795,0.000695,3,0,0.7418,0.0536,0.7354,0.0571,0.8092,0.0579,344.2044
0.051795,0.000886,3,0,0.7418,0.0478,0.7358,0.0504,0.8101,0.0577,344.2044
0.051795,0.001129,3,0,0.7418,0.0478,0.7352,0.0517,0.8101,0.0574,344.2044
0.051795,0.001438,3,0,0.7448,0.049,0.7368,0.0551,0.8103,0.057,344.2044
0.051795,0.001833,3,0,0.7448,0.049,0.7344,0.0568,0.8117,0.0533,344.2044
0.051795,0.002336,3,0,0.7313,0.0451,0.7154,0.0523,0.8112,0.0521,344.2044
0.051795,0.002976,3,0,0.7343,0.035,0.7172,0.0439,0.8081,0.0505,344.2044
0.051795,0.003793,3,0,0.7328,0.0341,0.7156,0.0425,0.8038,0.0495,344.2044
0.051795,0.004833,3,0,0.7298,0.0348,0.7119,0.0432,0.8,0.0476,344.2044
