alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std,run_time
0.01,0.0001,3,0,0.492,0.0219,0.4834,0.0213,0.682,0.0173,74.0469
0.01,0.000113,3,0,0.492,0.0219,0.4834,0.0213,0.682,0.0172,74.0469
0.01,0.000127,3,0,0.492,0.0219,0.4834,0.0213,0.6823,0.0173,74.0469
0.01,0.000144,3,0,0.492,0.0219,0.4834,0.0213,0.6821,0.0172,74.0469
0.01,0.000162,3,0,0.492,0.0219,0.4834,0.0213,0.6811,0.0169,74.0469
0.01,0.000183,3,0,0.492,0.0219,0.4834,0.0213,0.6814,0.0172,74.0469
0.01,0.000207,3,0,0.492,0.0219,0.4834,0.0213,0.6819,0.0167,74.0469
0.01,0.000234,3,0,0.492,0.0219,0.4834,0.0213,0.6821,0.017,74.0469
0.01,0.000264,3,0,0.492,0.0219,0.4834,0.0213,0.682,0.0174,74.0469
0.01,0.000298,3,0,0.492,0.0219,0.4834,0.0213,0.6814,0.0183,74.0469
0.01,0.000336,3,0,0.492,0.0219,0.4834,0.0213,0.6816,0.0175,74.0469
0.01,0.000379,3,0,0.492,0.0219,0.4834,0.0213,0.6809,0.018,74.0469
0.01,0.000428,3,0,0.492,0.0219,0.4834,0.0213,0.681,0.0176,74.0469
0.01,0.000483,3,0,0.492,0.0219,0.4834,0.0213,0.682,0.0174,74.0469
0.01,0.000546,3,0,0.492,0.0219,0.4834,0.0213,0.682,0.0179,74.0469
0.01,0.000616,3,0,0.492,0.0219,0.4834,0.0213,0.6819,0.0173,74.0469
0.01,0.000695,3,0,0.492,0.0219,0.4834,0.0213,0.68,0.0171,74.0469
0.01,0.000785,3,0,0.492,0.0219,0.4834,0.0213,0.6819,0.0178,74.0469
0.01,0.000886,3,0,0.492,0.0219,0.4834,0.0213,0.6809,0.0176,74.0469
0.01,0.001,3,0,0.492,0.0219,0.4834,0.0213,0.6797,0.0196,74.0469
0.013895,0.0001,3,0,0.492,0.0219,0.4834,0.0213,0.6818,0.0173,74.0469
0.013895,0.000113,3,0,0.492,0.0219,0.4834,0.0213,0.682,0.0172,74.0469
0.013895,0.000127,3,0,0.492,0.0219,0.4834,0.0213,0.6818,0.0172,74.0469
0.013895,0.000144,3,0,0.492,0.0219,0.4834,0.0213,0.6822,0.0174,74.0469
0.013895,0.000162,3,0,0.492,0.0219,0.4834,0.0213,0.6823,0.0174,74.0469
0.013895,0.000183,3,0,0.492,0.0219,0.4834,0.0213,0.6819,0.0175,74.0469
0.013895,0.000207,3,0,0.492,0.0219,0.4834,0.0213,0.6818,0.0174,74.0469
0.013895,0.000234,3,0,0.492,0.0219,0.4834,0.0213,0.6818,0.0171,74.0469
0.013895,0.000264,3,0,0.492,0.0219,0.4834,0.0213,0.6816,0.0177,74.0469
0.013895,0.000298,3,0,0.492,0.0219,0.4834,0.0213,0.6808,0.0182,74.0469
0.013895,0.000336,3,0,0.492,0.0219,0.4834,0.0213,0.682,0.0174,74.0469
0.013895,0.000379,3,0,0.492,0.0219,0.4834,0.0213,0.6822,0.016,74.0469
0.013895,0.000428,3,0,0.492,0.0219,0.4834,0.0213,0.6811,0.0177,74.0469
0.013895,0.000483,3,0,0.492,0.0219,0.4834,0.0213,0.6818,0.0174,74.0469
0.013895,0.000546,3,0,0.492,0.0219,0.4834,0.0213,0.682,0.0177,74.0469
0.013895,0.000616,3,0,0.492,0.0219,0.4834,0.0213,0.6806,0.0169,74.0469
0.013895,0.000695,3,0,0.492,0.0219,0.4834,0.0213,0.681,0.0176,74.0469
0.013895,0.000785,3,0,0.492,0.0219,0.4834,0.0213,0.6801,0.0183,74.0469
0.013895,0.000886,3,0,0.492,0.0219,0.4834,0.0213,0.6828,0.017,74.0469
0.013895,0.001,3,0,0.492,0.0219,0.4834,0.0213,0.682,0.0173,74.0469
0.019307,0.0001,3,0,0.492,0.0219,0.4834,0.0213,0.6818,0.0173,74.0469
0.019307,0.000113,3,0,0.492,0.0219,0.4834,0.0213,0.6821,0.0172,74.0469
0.019307,0.000127,3,0,0.492,0.0219,0.4834,0.0213,0.6819,0.0174,74.0469
0.019307,0.000144,3,0,0.492,0.0219,0.4834,0.0213,0.6832,0.019,74.0469
0.019307,0.000162,3,0,0.492,0.0219,0.4834,0.0213,0.6824,0.0181,74.0469
0.019307,0.000183,3,0,0.492,0.0219,0.4834,0.0213,0.6824,0.0175,74.0469
0.019307,0.000207,3,0,0.492,0.0219,0.4834,0.0213,0.6821,0.0177,74.0469
0.019307,0.000234,3,0,0.492,0.0219,0.4834,0.0213,0.6813,0.0178,74.0469
0.019307,0.000264,3,0,0.492,0.0219,0.4834,0.0213,0.6816,0.0174,74.0469
0.019307,0.000298,3,0,0.492,0.0219,0.4834,0.0213,0.6818,0.0177,74.0469
0.019307,0.000336,3,0,0.492,0.0219,0.4834,0.0213,0.6809,0.0169,74.0469
0.019307,0.000379,3,0,0.492,0.0219,0.4834,0.0213,0.6811,0.0171,74.0469
0.019307,0.000428,3,0,0.492,0.0219,0.4834,0.0213,0.6817,0.017,74.0469
0.019307,0.000483,3,0,0.492,0.0219,0.4834,0.0213,0.6823,0.0174,74.0469
0.019307,0.000546,3,0,0.492,0.0219,0.4834,0.0213,0.682,0.0173,74.0469
0.019307,0.000616,3,0,0.492,0.0219,0.4834,0.0213,0.6817,0.0184,74.0469
0.019307,0.000695,3,0,0.492,0.0219,0.4834,0.0213,0.6819,0.0174,74.0469
0.019307,0.000785,3,0,0.492,0.0219,0.4834,0.0213,0.6832,0.0177,74.0469
0.019307,0.000886,3,0,0.492,0.0219,0.4834,0.0213,0.68,0.0191,74.0469
0.019307,0.001,3,0,0.492,0.0219,0.4834,0.0213,0.6824,0.017,74.0469
0.026827,0.0001,3,0,0.492,0.0219,0.4834,0.0213,0.6818,0.0174,74.0469
0.026827,0.000113,3,0,0.492,0.0219,0.4834,0.0213,0.6816,0.0169,74.0469
0.026827,0.000127,3,0,0.492,0.0219,0.4834,0.0213,0.6822,0.017,74.0469
0.026827,0.000144,3,0,0.492,0.0219,0.4834,0.0213,0.6826,0.0169,74.0469
0.026827,0.000162,3,0,0.492,0.0219,0.4834,0.0213,0.682,0.018,74.0469
0.026827,0.000183,3,0,0.492,0.0219,0.4834,0.0213,0.6818,0.0174,74.0469
0.026827,0.000207,3,0,0.492,0.0219,0.4834,0.0213,0.6815,0.0169,74.0469
0.026827,0.000234,3,0,0.492,0.0219,0.4834,0.0213,0.6829,0.0175,74.0469
0.026827,0.000264,3,0,0.492,0.0219,0.4834,0.0213,0.6812,0.0175,74.0469
