alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std,run_time
0.01,1e-05,3,0,0.8912,0.0417,0.8814,0.0457,0.9799,0.0088,5.4195
0.01,1.1e-05,3,0,0.8912,0.0406,0.8814,0.0445,0.9799,0.0085,5.4195
0.01,1.2e-05,3,0,0.8912,0.0417,0.8814,0.0457,0.9799,0.0088,5.4195
0.01,1.3e-05,3,0,0.8912,0.0417,0.8814,0.0457,0.9799,0.0088,5.4195
0.01,1.4e-05,3,0,0.8912,0.0417,0.8814,0.0457,0.9799,0.0088,5.4195
0.01,1.5e-05,3,0,0.8912,0.0417,0.8814,0.0457,0.9799,0.0088,5.4195
0.01,1.6e-05,3,0,0.8912,0.0417,0.8814,0.0457,0.9799,0.0088,5.4195
0.01,1.7e-05,3,0,0.8912,0.0417,0.8814,0.0457,0.9799,0.0088,5.4195
0.01,1.9e-05,3,0,0.8912,0.0417,0.8814,0.0457,0.9799,0.0088,5.4195
0.01,2e-05,3,0,0.8912,0.0417,0.8814,0.0457,0.9799,0.0088,5.4195
0.01,2.2e-05,3,0,0.8912,0.0417,0.8814,0.0457,0.9799,0.0088,5.4195
0.01,2.3e-05,3,0,0.8912,0.0417,0.8814,0.0457,0.9799,0.0088,5.4195
0.01,2.5e-05,3,0,0.8912,0.0417,0.8814,0.0457,0.9799,0.0088,5.4195
0.01,2.7e-05,3,0,0.8912,0.0417,0.8814,0.0457,0.9799,0.0088,5.4195
0.01,2.8e-05,3,0,0.8912,0.0417,0.8814,0.0457,0.9799,0.0088,5.4195
0.01,3.1e-05,3,0,0.8912,0.0417,0.8814,0.0457,0.9799,0.0088,5.4195
0.01,3.3e-05,3,0,0.8912,0.0417,0.8814,0.0457,0.9799,0.0088,5.4195
0.01,3.5e-05,3,0,0.8912,0.0417,0.8814,0.0457,0.9799,0.0088,5.4195
0.01,3.8e-05,3,0,0.8912,0.0417,0.8814,0.0457,0.9799,0.0088,5.4195
0.01,4e-05,3,0,0.8912,0.0417,0.8814,0.0457,0.9799,0.0088,5.4195
