alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std,run_time
0.01,1e-06,3,0,0.8014,0.0177,0.8014,0.0177,0.8599,0.0191,933.0985
0.01,2e-06,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.01,3e-06,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.01,4e-06,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.01,6e-06,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.01,9e-06,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.01,1.3e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.01,1.8e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.01,2.6e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.01,3.8e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.01,5.5e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.01,7.8e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.01,0.000113,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.01,0.000162,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.01,0.000234,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.01,0.000336,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0197,933.0985
0.01,0.000483,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.01,0.000695,3,0,0.8014,0.0182,0.8014,0.0182,0.86,0.0196,933.0985
0.01,0.001,3,0,0.8014,0.0182,0.8014,0.0182,0.86,0.0196,933.0985
0.013895,1e-06,3,0,0.8014,0.0177,0.8014,0.0177,0.8599,0.0191,933.0985
0.013895,2e-06,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.013895,3e-06,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.013895,4e-06,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.013895,6e-06,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.013895,9e-06,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.013895,1.3e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.013895,1.8e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.013895,2.6e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.013895,3.8e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.013895,5.5e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.013895,7.8e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.013895,0.000113,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.013895,0.000162,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.013895,0.000234,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0197,933.0985
0.013895,0.000336,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.013895,0.000483,3,0,0.8014,0.0182,0.8014,0.0182,0.86,0.0196,933.0985
0.013895,0.000695,3,0,0.8014,0.0182,0.8014,0.0182,0.86,0.0196,933.0985
0.013895,0.001,3,0,0.8014,0.0182,0.8014,0.0182,0.86,0.0196,933.0985
0.019307,1e-06,3,0,0.8014,0.0177,0.8014,0.0177,0.8599,0.0191,933.0985
0.019307,2e-06,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.019307,3e-06,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.019307,4e-06,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.019307,6e-06,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.019307,9e-06,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.019307,1.3e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.019307,1.8e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.019307,2.6e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.019307,3.8e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.019307,5.5e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.019307,7.8e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.019307,0.000113,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.019307,0.000162,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.019307,0.000234,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.019307,0.000336,3,0,0.8014,0.0182,0.8014,0.0182,0.86,0.0196,933.0985
0.019307,0.000483,3,0,0.8014,0.0182,0.8014,0.0182,0.86,0.0196,933.0985
0.019307,0.000695,3,0,0.8014,0.0182,0.8014,0.0182,0.86,0.0196,933.0985
0.019307,0.001,3,0,0.8016,0.0184,0.8015,0.0185,0.8601,0.0196,933.0985
0.026827,1e-06,3,0,0.8014,0.0177,0.8014,0.0177,0.8599,0.0191,933.0985
0.026827,2e-06,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.026827,3e-06,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.026827,4e-06,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.026827,6e-06,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.026827,9e-06,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.026827,1.3e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.026827,1.8e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.026827,2.6e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.026827,3.8e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.026827,5.5e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.026827,7.8e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.026827,0.000113,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0197,933.0985
0.026827,0.000162,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.026827,0.000234,3,0,0.8014,0.0182,0.8014,0.0182,0.86,0.0196,933.0985
0.026827,0.000336,3,0,0.8014,0.0182,0.8014,0.0182,0.86,0.0196,933.0985
0.026827,0.000483,3,0,0.8014,0.0182,0.8014,0.0182,0.86,0.0196,933.0985
0.026827,0.000695,3,0,0.8014,0.0182,0.8014,0.0183,0.8601,0.0196,933.0985
0.026827,0.001,3,0,0.8016,0.0184,0.8015,0.0185,0.8602,0.0196,933.0985
0.037276,1e-06,3,0,0.8014,0.0177,0.8014,0.0177,0.8599,0.0191,933.0985
0.037276,2e-06,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.037276,3e-06,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.037276,4e-06,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.037276,6e-06,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.037276,9e-06,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.037276,1.3e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.037276,1.8e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.037276,2.6e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.037276,3.8e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.037276,5.5e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.037276,7.8e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.037276,0.000113,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.037276,0.000162,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.037276,0.000234,3,0,0.8014,0.0182,0.8014,0.0182,0.86,0.0196,933.0985
0.037276,0.000336,3,0,0.8014,0.0182,0.8014,0.0182,0.86,0.0196,933.0985
0.037276,0.000483,3,0,0.8014,0.0182,0.8014,0.0183,0.8601,0.0196,933.0985
0.037276,0.000695,3,0,0.8016,0.0184,0.8015,0.0185,0.8602,0.0196,933.0985
0.037276,0.001,3,0,0.8023,0.0185,0.8022,0.0186,0.8604,0.0196,933.0985
0.051795,1e-06,3,0,0.8014,0.0177,0.8014,0.0177,0.8599,0.0191,933.0985
0.051795,2e-06,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.051795,3e-06,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.051795,4e-06,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.051795,6e-06,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.051795,9e-06,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.051795,1.3e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.051795,1.8e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.051795,2.6e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.051795,3.8e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.051795,5.5e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.051795,7.8e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.051795,0.000113,3,0,0.8014,0.0182,0.8014,0.0182,0.86,0.0196,933.0985
0.051795,0.000162,3,0,0.8014,0.0182,0.8014,0.0182,0.86,0.0196,933.0985
0.051795,0.000234,3,0,0.8014,0.0182,0.8014,0.0182,0.86,0.0196,933.0985
0.051795,0.000336,3,0,0.8014,0.0182,0.8014,0.0183,0.8601,0.0196,933.0985
0.051795,0.000483,3,0,0.8016,0.0184,0.8015,0.0185,0.8602,0.0196,933.0985
0.051795,0.000695,3,0,0.8023,0.0185,0.8022,0.0186,0.8604,0.0196,933.0985
0.051795,0.001,3,0,0.8024,0.0183,0.8023,0.0184,0.8605,0.0196,933.0985
0.071969,1e-06,3,0,0.8014,0.0177,0.8014,0.0177,0.8599,0.0191,933.0985
0.071969,2e-06,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.071969,3e-06,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.071969,4e-06,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.071969,6e-06,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.071969,9e-06,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.071969,1.3e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.071969,1.8e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.071969,2.6e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.071969,3.8e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.071969,5.5e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.071969,7.8e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.86,0.0196,933.0985
0.071969,0.000113,3,0,0.8014,0.0182,0.8014,0.0182,0.86,0.0196,933.0985
0.071969,0.000162,3,0,0.8014,0.0182,0.8014,0.0182,0.86,0.0196,933.0985
0.071969,0.000234,3,0,0.8014,0.0182,0.8014,0.0183,0.8601,0.0196,933.0985
0.071969,0.000336,3,0,0.8016,0.0184,0.8015,0.0185,0.8602,0.0196,933.0985
0.071969,0.000483,3,0,0.8023,0.0185,0.8022,0.0186,0.8603,0.0196,933.0985
0.071969,0.000695,3,0,0.8024,0.0183,0.8023,0.0184,0.8605,0.0196,933.0985
0.071969,0.001,3,0,0.8028,0.0185,0.8026,0.0185,0.8608,0.0196,933.0985
0.1,1e-06,3,0,0.8014,0.0177,0.8014,0.0177,0.8599,0.0191,933.0985
0.1,2e-06,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.1,3e-06,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.1,4e-06,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.1,6e-06,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.1,9e-06,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.1,1.3e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.1,1.8e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.1,2.6e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.1,3.8e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.1,5.5e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.86,0.0196,933.0985
0.1,7.8e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.86,0.0196,933.0985
0.1,0.000113,3,0,0.8014,0.0182,0.8014,0.0182,0.86,0.0196,933.0985
0.1,0.000162,3,0,0.8014,0.0182,0.8014,0.0183,0.8601,0.0196,933.0985
0.1,0.000234,3,0,0.8016,0.0184,0.8015,0.0185,0.8602,0.0196,933.0985
0.1,0.000336,3,0,0.8023,0.0185,0.8022,0.0186,0.8603,0.0196,933.0985
0.1,0.000483,3,0,0.8024,0.0183,0.8023,0.0184,0.8605,0.0196,933.0985
0.1,0.000695,3,0,0.8028,0.0185,0.8026,0.0185,0.8608,0.0196,933.0985
0.1,0.001,3,0,0.8026,0.018,0.8025,0.0181,0.8612,0.0195,933.0985
0.13895,1e-06,3,0,0.8014,0.0177,0.8014,0.0177,0.8599,0.0191,933.0985
0.13895,2e-06,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.13895,3e-06,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.13895,4e-06,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.13895,6e-06,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.13895,9e-06,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.13895,1.3e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.13895,1.8e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.13895,2.6e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.8599,0.0196,933.0985
0.13895,3.8e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.86,0.0196,933.0985
0.13895,5.5e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.86,0.0196,933.0985
0.13895,7.8e-05,3,0,0.8014,0.0182,0.8014,0.0182,0.86,0.0196,933.0985
