dataset,alpha,acc,f1_score,roc_auc_score
MSRC_21,0.01,0.8447,0.8431,0.9898538461538462
MSRC_21,0.013895,0.8447,0.8431,0.989876923076923
MSRC_21,0.019307,0.8447,0.8431,0.9899
MSRC_21,0.026827,0.8447,0.8431153846153846,0.9899
MSRC_21,0.037276,0.8447923076923077,0.843223076923077,0.9899
MSRC_21,0.051795,0.8449769230769231,0.8434307692307692,0.9899076923076924
MSRC_21,0.071969,0.8451615384615384,0.8436384615384616,0.9899307692307692
MSRC_21,0.1,0.8458076923076923,0.8442153846153846,0.9899769230769231
MSRC_21,0.13895,0.8464384615384616,0.8448692307692307,0.9900230769230769
MSRC_21,0.19307,0.8470615384615384,0.8455384615384616,0.9900923076923077
MSRC_21,0.26827,0.8485076923076923,0.8470769230769231,0.9901769230769231
MSRC_21,0.372759,0.850123076923077,0.8489384615384614,0.9903384615384615
MSRC_21,0.517947,0.8533153846153846,0.8522538461538461,0.9906846153846154
MSRC_21,0.719686,0.8606538461538461,0.8593923076923077,0.991576923076923
MSRC_21,1.0,0.9059,0.902,0.9947
COX2_MD,0.01,0.6891,0.68725,0.751
COX2_MD,0.013895,0.6902,0.6883,0.7505
COX2_MD,0.019307,0.6891,0.68725,0.75085
COX2_MD,0.026827,0.68805,0.6862,0.7507
COX2_MD,0.037276,0.68805,0.6862,0.7507
COX2_MD,0.051795,0.6848,0.683,0.7495
COX2_MD,0.071969,0.6848,0.683,0.7502
COX2_MD,0.1,0.687,0.6854,0.749
COX2_MD,0.13895,0.6848,0.6832,0.7494
COX2_MD,0.19307,0.6891,0.6877,0.7474000000000001
COX2_MD,0.26827,0.6935,0.692,0.7452
COX2_MD,0.372759,0.7044,0.7027,0.7427
COX2_MD,0.517947,0.7152,0.7133,0.739
COX2_MD,0.719686,0.7261,0.7244,0.737
COX2_MD,1.0,0.7218,0.7198,0.7355499999999999
IMDB-MULTI,0.01,0.4987,0.4919,0.6799
IMDB-MULTI,0.013895,0.4987,0.4919,0.6789
IMDB-MULTI,0.019307,0.4987,0.4919,0.6787
IMDB-MULTI,0.026827,0.4982,0.4915,0.6797
IMDB-MULTI,0.037276,0.4982,0.4915,0.6778
IMDB-MULTI,0.051795,0.4982,0.4915,0.6791
IMDB-MULTI,0.071969,0.4996,0.4927,0.6765
IMDB-MULTI,0.1,0.5005,0.4935,0.6782
IMDB-MULTI,0.13895,0.4987,0.4915,0.6752
IMDB-MULTI,0.19307,0.4991,0.492,0.6774
IMDB-MULTI,0.26827,0.4978,0.4906,0.6798
IMDB-MULTI,0.372759,0.4978,0.4907,0.6781
IMDB-MULTI,0.517947,0.4965,0.4893,0.6786
IMDB-MULTI,0.719686,0.4929,0.4856,0.6758
IMDB-MULTI,1.0,0.3827,0.3506,0.5665
DHFR,0.01,0.8167,0.8139,0.8938
DHFR,0.013895,0.8167,0.8139,0.8942
DHFR,0.019307,0.8167,0.8139,0.8944
DHFR,0.026827,0.8167,0.8139,0.8947
DHFR,0.037276,0.8167,0.8141,0.8951
DHFR,0.051795,0.8184,0.8158,0.8956
DHFR,0.071969,0.8202,0.8174,0.8963
DHFR,0.1,0.8228,0.8201,0.8975
DHFR,0.13895,0.8246,0.822,0.899
DHFR,0.19307,0.8289,0.8264,0.9011
DHFR,0.26827,0.8316,0.8292,0.9037
DHFR,0.372759,0.8395,0.837,0.9066
DHFR,0.517947,0.8447,0.8425,0.9106
DHFR,0.719686,0.8447,0.8422,0.9138
DHFR,1.0,0.85,0.8476,0.9151
ER_MD,0.01,0.7284,0.7103,0.8043
ER_MD,0.013895,0.7254,0.7081,0.8073
ER_MD,0.019307,0.7209,0.7056,0.8099
ER_MD,0.026827,0.7343,0.7221,0.8107
ER_MD,0.037276,0.7433,0.7347,0.8104
ER_MD,0.051795,0.7418,0.7352,0.8101
ER_MD,0.071969,0.7448,0.7408,0.809
ER_MD,0.1,0.7492,0.7462,0.8066
ER_MD,0.13895,0.7403,0.7379,0.8032
ER_MD,0.19307,0.7268,0.7248,0.801
ER_MD,0.26827,0.7254,0.7234,0.7973
ER_MD,0.372759,0.7194,0.7172,0.7956
ER_MD,0.517947,0.7179,0.7157,0.7913
ER_MD,0.719686,0.7209,0.7179,0.7873
ER_MD,1.0,0.6955,0.6763,0.7569
NCI109,0.01,0.8277,0.8276,0.8868
NCI109,0.013895,0.8277,0.8276,0.8868
NCI109,0.019307,0.8277,0.8276,0.8868
NCI109,0.026827,0.8277,0.8276,0.8868
NCI109,0.037276,0.8277,0.8276,0.8868
NCI109,0.051795,0.8277,0.8276,0.8868
NCI109,0.071969,0.8277,0.8276,0.8868
NCI109,0.1,0.8277,0.8276,0.8868
NCI109,0.13895,0.8277,0.8276,0.8868
NCI109,0.19307,0.8277,0.8276,0.8868
NCI109,0.26827,0.8277,0.8276,0.8868
NCI109,0.372759,0.8277,0.8276,0.8868
NCI109,0.517947,0.8277,0.8276,0.8868
NCI109,0.719686,0.8279,0.8278,0.8868
NCI109,1.0,0.8573,0.8571,0.9121
BZR_MD,0.01,0.6652,0.6645,0.6921
BZR_MD,0.013895,0.6652,0.6644,0.6932
BZR_MD,0.019307,0.6652,0.6644,0.6944
