dataset,gk_gamma,acc,f1_score,roc_auc_score
MSRC_21,0.0001,0.9047,0.9012,0.9947
MSRC_21,0.000113,0.9047,0.9012,0.9947
MSRC_21,0.000127,0.9047,0.9012,0.9947
MSRC_21,0.000144,0.9047,0.9012,0.9947
MSRC_21,0.000162,0.9047,0.9012,0.9947
MSRC_21,0.000183,0.9047,0.9012,0.9947
MSRC_21,0.000207,0.9047,0.9012,0.9947
MSRC_21,0.000234,0.9059,0.902,0.9947
MSRC_21,0.000264,0.9059,0.902,0.9947
MSRC_21,0.000298,0.9059,0.902,0.9947
MSRC_21,0.000336,0.9059,0.902,0.9947
MSRC_21,0.000379,0.9059,0.902,0.9947
MSRC_21,0.000428,0.9059,0.902,0.9947
MSRC_21,0.000483,0.9059,0.902,0.9947
MSRC_21,0.000546,0.9059,0.902,0.9947
MSRC_21,0.000616,0.9059,0.902,0.9947
MSRC_21,0.000695,0.9059,0.902,0.9947
MSRC_21,0.000785,0.9059,0.902,0.9947
MSRC_21,0.000886,0.9059,0.902,0.9947
MSRC_21,0.001,0.9059,0.902,0.9947
ER_MD,0.0001,0.7209,0.7055,0.8078
ER_MD,0.000127,0.7313,0.7189,0.8087
ER_MD,0.000162,0.7433,0.733,0.809
ER_MD,0.000207,0.7358,0.7283,0.8092
ER_MD,0.000264,0.7373,0.7304,0.8074
ER_MD,0.000336,0.7373,0.7319,0.8072
ER_MD,0.000428,0.7388,0.7341,0.8051
ER_MD,0.000546,0.7388,0.735,0.8046
ER_MD,0.000695,0.7418,0.7388,0.8046
ER_MD,0.000886,0.7418,0.7391,0.8048
ER_MD,0.001129,0.7492,0.7462,0.8066
ER_MD,0.001438,0.7492,0.746,0.8084
ER_MD,0.001833,0.7418,0.7363,0.8103
ER_MD,0.002336,0.7358,0.7247,0.8112
ER_MD,0.002976,0.7343,0.718,0.8108
ER_MD,0.003793,0.7343,0.7172,0.8072
ER_MD,0.004833,0.7284,0.7103,0.8013
ER_MD,0.006158,0.7298,0.7115,0.7987
ER_MD,0.007848,0.7254,0.7059,0.7948
ER_MD,0.01,0.7254,0.7055,0.7918
IMDB-MULTI,0.0001,0.4987,0.4919,0.6787
