dataset,alpha,acc,f1_score,roc_auc_score
IMDB-BINARY,0.01,0.7413,0.741,0.815
IMDB-BINARY,0.013895,0.7413,0.741,0.81495
IMDB-BINARY,0.019307,0.7413,0.741,0.81495
IMDB-BINARY,0.026827,0.7413,0.741,0.815
IMDB-BINARY,0.037276,0.741,0.74065,0.815
IMDB-BINARY,0.051795,0.7407,0.7403,0.8150999999999999
IMDB-BINARY,0.071969,0.7403500000000001,0.74,0.81495
IMDB-BINARY,0.1,0.7407,0.7403,0.81505
IMDB-BINARY,0.13895,0.7407,0.7403,0.81515
IMDB-BINARY,0.19307,0.7407,0.7403,0.815
IMDB-BINARY,0.26827,0.7413,0.741,0.8148
IMDB-BINARY,0.372759,0.7413,0.741,0.8146
IMDB-BINARY,0.517947,0.7427,0.7423,0.81455
IMDB-BINARY,0.719686,0.744,0.7437,0.8146
IMDB-BINARY,1.0,0.7373,0.737,0.7881
BZR,0.01,0.877,0.8683,0.8745
BZR,0.013895,0.877,0.8683,0.8745
BZR,0.019307,0.877,0.8683,0.8745
BZR,0.026827,0.877,0.8683,0.8758
BZR,0.037276,0.877,0.8689,0.8764
BZR,0.051795,0.8787,0.8704,0.8771
BZR,0.071969,0.8803,0.8718,0.8779
BZR,0.1,0.8803,0.8718,0.8808
BZR,0.13895,0.8787,0.8704,0.8812
BZR,0.19307,0.8803,0.8727,0.8832
BZR,0.26827,0.8803,0.8735,0.887
BZR,0.372759,0.8803,0.8735,0.8896
BZR,0.517947,0.8787,0.8714,0.8939
BZR,0.719686,0.882,0.8754,0.9021
BZR,1.0,0.8852,0.8793,0.9094
DHFR_MD,0.01,0.7254,0.6601,0.71995
DHFR_MD,0.013895,0.7254,0.6601,0.7209
DHFR_MD,0.019307,0.7262500000000001,0.66185,0.7225
DHFR_MD,0.026827,0.7262500000000001,0.66185,0.72325
DHFR_MD,0.037276,0.7288,0.6666,0.72525
DHFR_MD,0.051795,0.72795,0.6659999999999999,0.7256499999999999
DHFR_MD,0.071969,0.7279500000000001,0.6677500000000001,0.728
DHFR_MD,0.1,0.7271000000000001,0.66715,0.7298
DHFR_MD,0.13895,0.7254,0.6668000000000001,0.7329
DHFR_MD,0.19307,0.72285,0.6649499999999999,0.73535
DHFR_MD,0.26827,0.7237,0.66655,0.738
DHFR_MD,0.372759,0.72035,0.6639999999999999,0.7397
DHFR_MD,0.517947,0.71785,0.6618999999999999,0.74075
DHFR_MD,0.719686,0.717,0.6611,0.73865
DHFR_MD,1.0,0.70765,0.6381,0.6875500000000001
COX2,0.01,0.8042,0.7588,0.7722
COX2,0.013895,0.8042,0.7588,0.7722
COX2,0.019307,0.8042,0.7588,0.7722
COX2,0.026827,0.8042,0.7588,0.7721
COX2,0.037276,0.8042,0.7588,0.7722
COX2,0.051795,0.8042,0.7588,0.7722
COX2,0.071969,0.8042,0.7588,0.7722
COX2,0.1,0.8042,0.7588,0.7722
COX2,0.13895,0.8028,0.7578,0.7722
COX2,0.19307,0.8028,0.7578,0.7723
COX2,0.26827,0.8028,0.7578,0.773
COX2,0.372759,0.8028,0.7578,0.774
COX2,0.517947,0.8056,0.7627,0.7765
COX2,0.719686,0.8113,0.7705,0.7812
COX2,1.0,0.8282,0.7928,0.8099
NCI1,0.01,0.8313,0.831,0.8941250000000001
NCI1,0.013895,0.8313,0.831,0.8941250000000001
NCI1,0.019307,0.8313,0.831,0.89415
NCI1,0.026827,0.8313,0.831,0.8941749999999999
NCI1,0.037276,0.8313,0.831,0.8942
NCI1,0.051795,0.8313,0.831,0.894225
NCI1,0.071969,0.831375,0.8311,0.89425
NCI1,0.1,0.8314250000000001,0.831125,0.8943
NCI1,0.13895,0.831575,0.8312999999999999,0.8943749999999999
NCI1,0.19307,0.83185,0.8316,0.894525
NCI1,0.26827,0.83225,0.832025,0.894725
NCI1,0.372759,0.83285,0.8326,0.8951
NCI1,0.517947,0.8339,0.8336749999999999,0.895825
NCI1,0.719686,0.8364,0.83615,0.89785
NCI1,1.0,0.8608,0.8606,0.9142
PROTEINS,0.01,0.7653,0.7628,0.8327
