dataset,gk_gamma,acc,f1_score,roc_auc_score
IMDB-BINARY,1e-05,0.742,0.7417,0.8148
IMDB-BINARY,1.3e-05,0.742,0.7417,0.8147
IMDB-BINARY,1.6e-05,0.742,0.7417,0.8148
IMDB-BINARY,2.1e-05,0.7427,0.7423,0.8145
IMDB-BINARY,2.6e-05,0.7433,0.743,0.8146
IMDB-BINARY,3.4e-05,0.7433,0.743,0.8146
IMDB-BINARY,4.3e-05,0.744,0.7437,0.8145
IMDB-BINARY,5.5e-05,0.744,0.7437,0.8145
IMDB-BINARY,7e-05,0.744,0.7437,0.8146
IMDB-BINARY,8.9e-05,0.744,0.7437,0.8146
IMDB-BINARY,0.000113,0.7433,0.743,0.8148
IMDB-BINARY,0.000144,0.7433,0.743,0.8141
IMDB-BINARY,0.000183,0.7433,0.743,0.8139
IMDB-BINARY,0.000234,0.7427,0.7423,0.8134
IMDB-BINARY,0.000298,0.7427,0.7423,0.8135
IMDB-BINARY,0.000379,0.742,0.7416,0.8129
IMDB-BINARY,0.000483,0.7413,0.741,0.8118
IMDB-BINARY,0.000616,0.7413,0.741,0.8105
IMDB-BINARY,0.000785,0.74,0.7397,0.8087
IMDB-BINARY,0.001,0.738,0.7377,0.8068
ENZYMES,0.0001,0.5866,0.5853,0.8556
ENZYMES,0.000113,0.5855,0.584,0.8556
ENZYMES,0.000127,0.5866,0.5853,0.8556
ENZYMES,0.000144,0.5866,0.5853,0.8556
ENZYMES,0.000162,0.5866,0.5853,0.8556
ENZYMES,0.000183,0.5855,0.584,0.8556
ENZYMES,0.000207,0.5866,0.5853,0.8556
ENZYMES,0.000234,0.5866,0.5853,0.8556
ENZYMES,0.000264,0.5855,0.5841,0.8557
ENZYMES,0.000298,0.5855,0.5841,0.8556
ENZYMES,0.000336,0.5855,0.5841,0.8556
ENZYMES,0.000379,0.5855,0.5841,0.8556
ENZYMES,0.000428,0.5855,0.5841,0.8555
ENZYMES,0.000483,0.5855,0.5841,0.8556
ENZYMES,0.000546,0.5855,0.5841,0.8556
ENZYMES,0.000616,0.5855,0.5841,0.8557
ENZYMES,0.000695,0.5855,0.5841,0.8557
ENZYMES,0.000785,0.5855,0.5841,0.8557
ENZYMES,0.000886,0.5855,0.5841,0.8557
ENZYMES,0.001,0.5855,0.5841,0.8556
BZR,0.0001,0.882,0.8758,0.9068
BZR,0.000127,0.882,0.8758,0.9066
BZR,0.000162,0.882,0.8758,0.9066
BZR,0.000207,0.882,0.8758,0.9066
BZR,0.000264,0.882,0.8758,0.9066
BZR,0.000336,0.882,0.8758,0.9066
BZR,0.000428,0.882,0.8758,0.9066
BZR,0.000546,0.882,0.8758,0.9066
BZR,0.000695,0.8803,0.8742,0.9066
BZR,0.000886,0.8803,0.8742,0.9066
BZR,0.001129,0.8803,0.8742,0.9066
BZR,0.001438,0.8803,0.8742,0.9069
BZR,0.001833,0.882,0.8763,0.9067
BZR,0.002336,0.882,0.8763,0.9067
BZR,0.002976,0.8836,0.8777,0.9069
BZR,0.003793,0.8836,0.8777,0.9069
BZR,0.004833,0.8836,0.8777,0.9075
BZR,0.006158,0.8836,0.8778,0.9082
BZR,0.007848,0.8852,0.8793,0.9094
BZR,0.01,0.8852,0.8788,0.9088
MSRC_9,1e-05,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,1.1e-05,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,1.2e-05,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,1.3e-05,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,1.4e-05,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,1.5e-05,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,1.6e-05,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,1.7e-05,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,1.9e-05,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,2e-05,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,2.2e-05,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,2.3e-05,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,2.5e-05,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,2.7e-05,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,2.8e-05,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,3.1e-05,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,3.3e-05,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,3.5e-05,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,3.8e-05,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,4e-05,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,4.3e-05,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,4.6e-05,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,5e-05,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,5.3e-05,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,5.7e-05,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,6.1e-05,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,6.6e-05,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,7.1e-05,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,7.6e-05,0.9265,0.9178000000000001,0.9831333333333333
MSRC_9,8.1e-05,0.9265,0.9178000000000001,0.9831333333333333
