dataset,niter_hcc,acc,f1_score,roc_auc_score
NCI1,0,0.76295,0.762875,0.8181499999999999
NCI1,1,0.84895,0.84875,0.9083
NCI1,2,0.8539749999999999,0.853775,0.9114249999999999
NCI1,3,0.85915,0.858875,0.9135
NCI1,4,0.8608,0.8606,0.9142
NCI1,5,0.858525,0.858275,0.914425
NCI1,6,0.8588,0.8586,0.9144
NCI1,7,0.8581,0.8579,0.9139
BZR,0,0.882,0.8765,0.9035
BZR,1,0.8852,0.8793,0.9094
BZR,2,0.8787,0.8721,0.9098
BZR,3,0.8787,0.872,0.9088
BZR,4,0.8803,0.8734,0.9086
BZR,5,0.877,0.8702,0.905
BZR,6,0.8754,0.8677,0.9032
BZR,7,0.8754,0.8677,0.9014
DHFR_MD,0,0.7305,0.6696,0.726
DHFR_MD,1,0.7187,0.6489,0.7222500000000001
DHFR_MD,2,0.7187,0.6489,0.72255
DHFR_MD,3,0.7204,0.6524,0.72325
DHFR_MD,4,0.7204,0.6524,0.72365
DHFR_MD,5,0.71955,0.65175,0.72365
DHFR_MD,6,0.7187,0.6511,0.7238
DHFR_MD,7,0.7187,0.6511,0.7245
ENZYMES,0,0.5866,0.5853,0.8556
ENZYMES,1,0.5678,0.5674,0.8475
ENZYMES,2,0.5570666666666666,0.55535,0.84445
ENZYMES,3,0.555,0.5522999999999999,0.8417
ENZYMES,4,0.5465166666666667,0.5433,0.8392499999999999
ENZYMES,5,0.54,0.5361,0.83645
ENZYMES,6,0.5378,0.5339,0.8339500000000001
ENZYMES,7,0.5303666666666667,0.5256833333333333,0.8319666666666666
MSRC_9,0,0.9265,0.9178000000000001,0.9846
MSRC_9,1,0.9265,0.9178000000000001,0.9832
MSRC_9,2,0.9265,0.9178000000000001,0.9832666666666666
MSRC_9,3,0.9265,0.9178000000000001,0.9831
MSRC_9,4,0.9265,0.9178000000000001,0.9829
MSRC_9,5,0.9274666666666667,0.9187666666666666,0.9825666666666667
MSRC_9,6,0.9265,0.9168,0.9821333333333334
MSRC_9,7,0.9215666666666666,0.9099333333333334,0.9814333333333334
COX2,0,0.8113,0.7798,0.8004
COX2,1,0.8197,0.786,0.8141
COX2,2,0.8225,0.7857,0.8108
COX2,3,0.8268,0.7914,0.8148
COX2,4,0.8239,0.788,0.8112
COX2,5,0.8239,0.7894,0.8105
COX2,6,0.8282,0.7919,0.8101
COX2,7,0.8282,0.7928,0.8099
PROTEINS,0,0.7431,0.7396,0.8235
PROTEINS,1,0.7599,0.7575,0.8311
PROTEINS,2,0.7604999999999998,0.7581,0.832
PROTEINS,3,0.7641,0.7617,0.8324142857142858
PROTEINS,4,0.7653,0.7628,0.8327
PROTEINS,5,0.7647,0.7624000000000001,0.8325000000000001
PROTEINS,6,0.7623,0.7601000000000001,0.8326071428571428
PROTEINS,7,0.7629,0.7608,0.8323
IMDB-BINARY,0,0.736,0.7358,0.81915
IMDB-BINARY,1,0.744,0.7437,0.8146
IMDB-BINARY,2,0.74265,0.7423,0.8145
IMDB-BINARY,3,0.7413,0.741,0.8149
IMDB-BINARY,4,0.7403500000000001,0.73995,0.8144
IMDB-BINARY,5,0.7376499999999999,0.73735,0.81415
IMDB-BINARY,6,0.7393,0.7391,0.8136
IMDB-BINARY,7,0.7393,0.7391,0.81335
